Bus,ZoneBus,Xcoord,Ycoord,Country
A-35,AT,748.7806101,547.1324057,A
A-8,AT,783.8300171,520.664978,A
A-32,AT,784.6199951,419.8424835,A
A_Burs,AT,565.6199951,425.8574982,A
A-21,AT,645.7199707,449.0325165,A
A-19,AT,658.1400147,457.2524872,A
A-22,AT,854.6500244,448.3725128,A
A-29,AT,609.0800171,423.0150147,A
A-6,AT,759.3499756,529.5075073,A
A-15,AT,879.8200073,482.6549835,A
A-33,AT,580.7199707,416.3925018,A
A-36,AT,893.9749756,524.25,A
A-2,AT,858.6274686,549.3764811,A
A-12,AT,718.9400024,499.4250183,A
A-16,AT,814.9299927,472.9949799,A
A-34,AT,797.4799805,414.4199982,A
A-30,AT,713.1300049,422.0999908,A
A-18,AT,710,457,A
A-31,AT,811.6900024,421.2524872,A
A_Westti,AT,607,438.75,A
A-11,AT,867.2199707,508.605011,A
A-7,AT,808.8400269,526.1624908,A
A-20,AT,668.1300049,450.8175201,A
A-1,AT,879,552,A
A-17,AT,806.9500122,460.6575165,A
A-14,AT,780.7399902,483.292511,A
A-27,AT,819.5100098,431.6400147,A
A-4,AT,879.6300049,538.8900147,A
A-5,AT,791.7299805,529.7400055,A
A-13,AT,772.2999878,498.0150147,A
A-24,AT,662.6300049,438.1950073,A
A-25,AT,554.1500244,433.2675018,A
A-26,AT,753.8300171,432.269989,A
A-3,AT,840.0250001,544,A
A_st.Pet,AT,713.8599854,519.3149872,A
A-10,AT,758.1699829,513.6074982,A
B_Aubang,BE,347.1799927,571.1174927,B
B_Moncea,BE,297.5,610.5,B
B-2,BE,267.7399902,668.7375183,B
B_Zandvl,BE,275,681.75,B
B_meerho,BE,323,673.5,B
B_Achene,BE,310,609.75,B
B-10,BE,270.980011,648.2025147,B
B-13,BE,275.019989,627.0374908,B
B_15,BE,319,624.75,B
B-6,BE,246,662,B
B-3,BE,235.4100037,667.2225037,B
B-7,BE,321.3299866,655.792511,B
B-8,BE,281,652.5,B
B-18,BE,349.7999878,620.2200165,B
B-20,BE,341.6099854,597.9824982,B
B-9,BE,222.3300018,648.3825073,B
B-12Avel,BE,234.3600006,638.5950165,B
B-17,BE,291.6300049,621.105011,B
B-15,BE,331.6300049,623.5800018,B
B-5,BE,310.6300049,664.7475128,B
B-4,BE,284.8299866,666.1724854,B
B-11,BE,341.3699951,642.5549927,B
B_new1,BE,338.1667051,667.6680073,B
B-16,BE,300.9299927,623.167511,B
D-92,DE/LX,648.5800171,711.8699799,D
D-96,DE/LX,528.5900269,709.6349945,D
D-93,DE/LX,362.8800049,710.25,D
D-94,DE/LX,709.25,710.2200165,D
D-202,DE/LX,584.9000244,522.0374908,D
D-91,DE/LX,445.4100037,713.2125092,D
D-90,DE/LX,507.519989,714.7200165,D
D-95,DE/LX,398.9700012,709.9275055,D
D-79,DE/LX,602.1300049,727.6724854,D
D-134,DE/LX,589.0499878,656.3175201,D
D-5,DE/LX,598.8770324,899.940033,D
D-9,DE/LX,610.4699707,873.960022,D
D-4,DE/LX,513.960022,901.042511,D
D-11,DE/LX,536.8900147,869.002533,D
D-14,DE/LX,510.9400024,864.4499817,D
D-3,DE/LX,659.6900024,902.107544,D
D-17,DE/LX,526.9699707,849.9899597,D
D-16,DE/LX,501,852,D
D_Eichst,DE/LX,455,477.75,D
E-220,DE/LX,489,479.2200165,D
D-22,DE/LX,423.8338031,840.5549927,D
D-2,DE/LX,641.9500122,912.5474854,D
D_leupol,DE/LX,589.5499878,468.1125183,D
D-229,DE/LX,369,607.5,D
D-214,DE/LX,627.3800049,494.7974854,D
D-213,DE/LX,570.9199829,496.0124817,D
E-211,DE/LX,546.1199951,506.5649872,D
D-210,DE/LX,604.8699951,508.207489,D
D-26,DE/LX,446.3800049,826.3425293,D
D-31,DE/LX,456.1700134,812.1299744,D
