"DynamicProfile","DayType","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96"
"AT_LOAD","AutumnWD",0.602126453,0.597136383,0.59781449,0.588488874,0.587543962,0.58184251,0.584383261,0.580264757,0.600248619,0.596052872,0.594839654,0.589963102,0.589262911,0.587004854,0.585643444,0.587004254,0.593611648,0.595778771,0.596575991,0.603221856,0.619131782,0.631810558,0.632570805,0.650258737,0.672750574,0.696710843,0.703795289,0.715520959,0.761848655,0.769425643,0.771640132,0.778736469,0.792305598,0.795268142,0.795479888,0.797912718,0.791498485,0.795946349,0.799221766,0.801004169,0.794441544,0.800951008,0.805287154,0.809064006,0.803928242,0.80729939,0.807772745,0.803148909,0.786348232,0.777043701,0.777955437,0.778352449,0.773020627,0.772682973,0.76959432,0.768095111,0.770535835,0.769153241,0.764277188,0.760267805,0.769083891,0.765901007,0.762429732,0.762360483,0.777327095,0.7810316,0.778206555,0.779993655,0.796733077,0.797211928,0.79531221,0.793547794,0.793359031,0.78932017,0.787628101,0.785463675,0.771325461,0.764679296,0.763740579,0.753733159,0.733479294,0.723817723,0.720925727,0.709367835,0.680434784,0.671813156,0.667577737,0.658415303,0.661718999,0.657892483,0.653170718,0.642623991,0.628297014,0.616830556,0.614080257,0.608882738
"BE_LOAD","AutumnWD",0.684708973,0.673717683,0.660237799,0.64807134,0.641573344,0.637494815,0.631065948,0.625397484,0.619314254,0.611018941,0.609498134,0.614475321,0.605972625,0.613714918,0.611157196,0.611848472,0.617033043,0.615304853,0.61827734,0.618761233,0.632171989,0.641504217,0.650629061,0.667910964,0.690515692,0.721830499,0.742361399,0.761233237,0.788054749,0.807341352,0.804783631,0.800082953,0.808585649,0.810382967,0.820613853,0.819576939,0.817019217,0.827180976,0.833955482,0.832503802,0.83430112,0.830084336,0.833748099,0.834992396,0.843149454,0.838172266,0.845361537,0.843702475,0.832918568,0.824208489,0.820682981,0.820890364,0.826904466,0.824623255,0.822065533,0.828632656,0.818540025,0.81695009,0.818470897,0.815429282,0.82303332,0.818056132,0.818885663,0.81231854,0.811419881,0.811489009,0.810382967,0.815844048,0.831812526,0.846605834,0.880754873,0.891193143,0.891331398,0.88490253,0.868588414,0.860984377,0.854071616,0.838725287,0.82794138,0.818885663,0.810728605,0.795174893,0.779621181,0.768491636,0.763998341,0.75680907,0.747684225,0.732130513,0.742084889,0.749550671,0.745126504,0.740840592,0.745264759,0.732268768,0.713051293,0.699364026
"DE_LOAD","AutumnWD",0.63250941,0.628093109,0.623989347,0.619219742,0.613933769,0.608566265,0.603552065,0.599285239,0.595874496,0.593387778,0.591906619,0.591431017,0.591770733,0.592667582,0.59386338,0.595195065,0.596771344,0.59878246,0.60143224,0.605128344,0.611188868,0.621149325,0.636558818,0.658246253,0.684227691,0.711826174,0.738351157,0.761642049,0.781576551,0.798548736,0.812939082,0.825073718,0.834966232,0.842548681,0.847753122,0.850688264,0.852115068,0.852943974,0.854099007,0.856286774,0.859303447,0.862741368,0.866179288,0.86920955,0.871506027,0.872783357,0.872701825,0.871098368,0.868271935,0.864630186,0.860621543,0.856599312,0.852780911,0.849302224,0.846326317,0.843921132,0.84186925,0.839844546,0.837575247,0.834816757,0.831691375,0.828362164,0.825019364,0.822043456,0.820589474,0.822016279,0.827682733,0.838241089,0.851625878,0.86507861,0.875827207,0.881779022,0.883504776,0.882227446,0.879197184,0.875270074,0.869766683,0.861654278,0.849900124,0.83400144,0.815751926,0.797488823,0.781549374,0.769645745,0.761016972,0.754263429,0.747999076,0.741041703,0.733078773,0.724015165,0.713769347,0.702314142,0.689948499,0.677039312,0.66398065,0.651139406
"ALS_LOAD","AutumnWD",0.675068925,0.654982276,0.635289484,0.630169358,0.625443088,0.620716818,0.616384403,0.621504529,0.627018511,0.625049232,0.623079953,0.612051989,0.601024025,0.594722332,0.588420638,0.586451359,0.584875935,0.579361954,0.573847972,0.580937377,0.588420638,0.600630169,0.612839701,0.627806223,0.642772745,0.67743206,0.712091375,0.731784167,0.751476959,0.758960221,0.766443482,0.764474202,0.762898779,0.768018905,0.773139031,0.776289878,0.779834581,0.781410004,0.782591571,0.785742418,0.789287121,0.803072076,0.817250886,0.821977156,0.826309571,0.827884994,0.829066562,0.831823553,0.834580544,0.824340291,0.814100039,0.81882631,0.82355258,0.821583301,0.820007877,0.819220165,0.81882631,0.82355258,0.827884994,0.824734147,0.821583301,0.820007877,0.818038598,0.816069319,0.814493895,0.803859787,0.793619535,0.797558094,0.801890508,0.809767625,0.818038598,0.827884994,0.83773139,0.842063805,0.846396219,0.84915321,0.852304057,0.835368255,0.81882631,0.813706184,0.808586058,0.790468688,0.772351319,0.763292635,0.754627806,0.746750689,0.738873572,0.716423789,0.694367861,0.695943285,0.697518708,0.684127609,0.67073651,0.687278456,0.704214258,0.689247735
"AQUI_LOAD","AutumnWD",0.554692292,0.556327949,0.557963607,0.550194234,0.542424862,0.551829892,0.561234921,0.550398691,0.539358004,0.546105091,0.55264772,0.528521775,0.504395829,0.501328972,0.498262114,0.485381313,0.472500511,0.470251482,0.468002453,0.470660397,0.473522797,0.488039256,0.502555715,0.506031486,0.509507258,0.537722347,0.566141893,0.573502351,0.580862809,0.606419955,0.631977101,0.642608873,0.653240646,0.650582703,0.64792476,0.654671846,0.661418933,0.657329789,0.653445103,0.652627275,0.652013903,0.66162339,0.67102842,0.667143733,0.66305459,0.657943161,0.652831732,0.655285218,0.657534247,0.655898589,0.654058475,0.661418933,0.668779391,0.656307504,0.643835616,0.651196074,0.658556532,0.664281333,0.670006134,0.65221836,0.634635044,0.620731957,0.607033327,0.601921897,0.596810468,0.594970354,0.593130239,0.591085668,0.589041096,0.588836639,0.588632182,0.60969127,0.630750358,0.652422817,0.674095277,0.679615621,0.685135964,0.683500307,0.681864649,0.680637906,0.679615621,0.66305459,0.64649356,0.636679616,0.626865672,0.61398487,0.600899612,0.590676753,0.580249438,0.590063382,0.599877326,0.618278471,0.636475158,0.619709671,0.602739726,0.597219383
"AUV_LOAD","AutumnWD",0.584300719,0.578220011,0.572692095,0.571586512,0.569928137,0.585406302,0.600884467,0.589275843,0.577667219,0.57103372,0.564953013,0.557766722,0.551133223,0.563294638,0.576008845,0.566058596,0.556661139,0.553344389,0.55002764,0.548922056,0.547816473,0.557766722,0.567716971,0.579325594,0.590381426,0.613598673,0.636263129,0.662797125,0.689331122,0.699834163,0.710889994,0.72305141,0.735765616,0.739635158,0.74405749,0.74737424,0.750138198,0.748479823,0.746268657,0.745715865,0.744610282,0.741846324,0.739635158,0.738529574,0.737976783,0.741846324,0.745715865,0.741846324,0.737976783,0.729132117,0.71973466,0.719181868,0.718629077,0.724709784,0.731343284,0.723604201,0.71641791,0.711995578,0.707020453,0.701492537,0.695964621,0.697622996,0.698728579,0.69209508,0.685461581,0.681039248,0.676616915,0.676064124,0.676064124,0.679933665,0.683803206,0.70591487,0.728579326,0.746268657,0.764510779,0.773908237,0.783305694,0.774461028,0.765063571,0.758982863,0.752349364,0.734107242,0.715865119,0.696517413,0.677169707,0.673300166,0.668877833,0.655058043,0.641791045,0.644555003,0.647871752,0.661138751,0.674958541,0.65726921,0.64013267,0.631840796
"BNOR_LOAD","AutumnWD",0.658605974,0.652916074,0.647700332,0.62778568,0.607871029,0.602181128,0.596491228,0.589378853,0.582266477,0.569938359,0.557610242,0.550497866,0.543385491,0.542437174,0.541014699,0.534376482,0.527738265,0.525367473,0.523470839,0.52916074,0.535324798,0.54954955,0.564248459,0.571834993,0.579421527,0.597439545,0.614983404,0.628733997,0.642010431,0.681365576,0.720246562,0.715504979,0.711237553,0.717401612,0.723565671,0.719298246,0.71503082,0.722143196,0.729255571,0.731626363,0.733522997,0.730678046,0.727833096,0.716927454,0.706021811,0.70649597,0.707444286,0.704125178,0.701280228,0.696064486,0.690848743,0.701280228,0.71218587,0.684210526,0.656235183,0.659080133,0.662399241,0.66002845,0.657657658,0.635372214,0.613086771,0.620673305,0.628259839,0.62494073,0.621621622,0.618302513,0.614983404,0.617828355,0.620673305,0.644381223,0.6685633,0.676149834,0.684210526,0.713134187,0.742532006,0.752489331,0.761972499,0.763869132,0.765291607,0.747747748,0.730203888,0.708866761,0.687529635,0.681365576,0.674727359,0.667614983,0.660502608,0.64817449,0.635846373,0.660502608,0.684684685,0.720246562,0.756282598,0.739687055,0.723565671,0.706970128
"BOUR_LOAD","AutumnWD",0.56828953,0.554071521,0.539853511,0.529513141,0.51917277,0.514433434,0.509263249,0.518311073,0.527358897,0.523050409,0.518741922,0.510986644,0.502800517,0.514002585,0.524773804,0.510124946,0.495476088,0.49461439,0.493752693,0.498492029,0.503231366,0.517449375,0.531667385,0.545454545,0.559241706,0.578199052,0.597156398,0.6139595,0.630762602,0.653597587,0.676863421,0.688496338,0.700560103,0.712623869,0.724687635,0.717794054,0.710900474,0.710900474,0.710900474,0.714778113,0.718655752,0.710469625,0.702283498,0.697544162,0.692804826,0.706591986,0.720809996,0.723395088,0.725980181,0.723395088,0.720379147,0.709177079,0.69840586,0.691943128,0.685480396,0.680310211,0.675140026,0.663937958,0.652305041,0.652305041,0.651874192,0.653166738,0.654028436,0.65273589,0.651874192,0.644980612,0.638087031,0.637656183,0.637225334,0.647565704,0.657906075,0.686772943,0.71563981,0.730719517,0.746230073,0.751400259,0.757001293,0.741921586,0.727272727,0.719086601,0.710900474,0.71219302,0.713485567,0.70529944,0.697544162,0.693666523,0.690219733,0.670400689,0.650581646,0.646273158,0.64196467,0.65618268,0.669969841,0.647134856,0.624299871,0.621714778
"BRT_LOAD","AutumnWD",0.706685838,0.684639348,0.662592859,0.636232926,0.609633357,0.58974359,0.569614186,0.578480709,0.587107596,0.588545411,0.589983225,0.569614186,0.549245147,0.537982267,0.526479751,0.52312485,0.51976995,0.519290678,0.519051042,0.521687036,0.524323029,0.533189552,0.542056075,0.551162233,0.560508028,0.589024682,0.617541337,0.64222382,0.666906302,0.692786964,0.718667625,0.718427989,0.718188354,0.723939612,0.72969087,0.732806135,0.735921399,0.735921399,0.735681764,0.732806135,0.729930506,0.729930506,0.729930506,0.728253055,0.726575605,0.727054877,0.727773784,0.728971963,0.730170141,0.726096334,0.722262162,0.724898155,0.727773784,0.709801102,0.691588785,0.690869878,0.690390606,0.697579679,0.704768751,0.69470405,0.684878984,0.678408819,0.671938653,0.666906302,0.661873952,0.660196501,0.658758687,0.658758687,0.658758687,0.65971723,0.660436137,0.673855739,0.687275341,0.722981069,0.758686796,0.780254014,0.801821232,0.795351066,0.788880901,0.774023484,0.758926432,0.736640307,0.714593817,0.696621136,0.678648454,0.667145938,0.655643422,0.652048886,0.648214714,0.649652528,0.651090343,0.681524083,0.711957824,0.698538222,0.684878984,0.715073089
"CHAR_LOAD","AutumnWD",0.623364033,0.615608337,0.607852642,0.595734367,0.583616093,0.598642753,0.614154144,0.609306835,0.604459525,0.586524479,0.568589433,0.556955889,0.544837615,0.53708192,0.528841493,0.53223461,0.535627727,0.535142996,0.534173534,0.536597189,0.538536112,0.554047504,0.569558895,0.578768783,0.588463403,0.610276297,0.63208919,0.648085313,0.664566166,0.685894329,0.707222492,0.714978187,0.723218614,0.722733883,0.722733883,0.72661173,0.730004847,0.727581192,0.725157538,0.732428502,0.739214736,0.743092584,0.746970431,0.749878817,0.753271934,0.747939893,0.742607853,0.739214736,0.735821619,0.733882695,0.731943771,0.72661173,0.72127969,0.707707222,0.694619486,0.701890451,0.709161415,0.698497334,0.687348522,0.682016481,0.677169171,0.666989821,0.656325739,0.652932622,0.649054775,0.653902084,0.658264663,0.660203587,0.662142511,0.670382937,0.678138633,0.710130877,0.742123122,0.758603975,0.775084828,0.781871062,0.788657295,0.782355793,0.77605429,0.760058168,0.744062046,0.737275812,0.730489578,0.711100339,0.692195831,0.680077557,0.668444014,0.658264663,0.648085313,0.648570044,0.649054775,0.667474552,0.68637906,0.683955405,0.68153175,0.679108095
