"DynamicProfile","ProfileType"
"ALS_LOAD","deterministic"
"AQUI_LOAD","deterministic"
"AT_LOAD","deterministic"
"AUV_LOAD","deterministic"
"BE_LOAD","deterministic"
"BNOR_LOAD","deterministic"
"BOUR_LOAD","deterministic"
"BRT_LOAD","deterministic"
"CEN_LOAD","deterministic"
"CHAR_LOAD","deterministic"
"DE_LOAD","deterministic"
"FRC_LOAD","deterministic"
"HNOR_LOAD","deterministic"
"IFR_LOAD","deterministic"
"LAN_LOAD","deterministic"
"LIM_LOAD","deterministic"
"LOR_LOAD","deterministic"
"MPY_LOAD","deterministic"
"NL_LOAD","deterministic"
"NPC_LOAD","deterministic"
"PACA_LOAD","deterministic"
"PCD_LOAD","deterministic"
"PCH_LOAD","deterministic"
"PLOI_LOAD","deterministic"
"RAL_LOAD","deterministic"
"RES_GEOTHERMAL_DE_existing","deterministic"
"BLEILOCH","deterministic"
"Brommat","deterministic"
"COO_A_1_H","deterministic"
"COO_A_2_H","deterministic"
"COO_A_3_H","deterministic"
"COO_A_4_H","deterministic"
"COO_A_5_H","deterministic"
"COO_A_6_H","deterministic"
"GAMBSHEIM","deterministic"
"GEESTHACHT","deterministic"
"GOLDISTAHL","deterministic"
"GRAND_MAISON","deterministic"
"Groupe_de_la_Rhine_I","deterministic"
"Groupe_de_la_Rhine_II","deterministic"
"Groupe_de_la_Rhone_I","deterministic"
"Groupe_de_la_Rhone_II","deterministic"
"Groupe_de_la_Rhone_III","deterministic"
"H_OTHERS_F243","deterministic"
"HAUSERN","deterministic"
"HERDECKE","deterministic"
"HOHENW","deterministic"
"Hydro_A27","deterministic"
"HYDRO_BAY","deterministic"
"HYDRO_EON","deterministic"
"Hydro_Languedoc","deterministic"
"Hydro_Midi_Pyrennes","deterministic"
"Hydro_Niederosterreich","deterministic"
"HYDRO_NORDRHEIN","deterministic"
"Hydro_Provance","deterministic"
"Hydro_Rhone_Alpes_I","deterministic"
"Hydro_Rhone_Alpes_II","deterministic"
"Hydro_Rhone_Alpes_III","deterministic"
"Hydro_Rhone_Alpes_IV","deterministic"
"Hydro_Rhone_Alpes_V","deterministic"
"HYDRO_RWE_BADEN-WURTT","deterministic"
"HYDRO_RWE_RHEINLAND","deterministic"
"HYDRO_VEAG","deterministic"
"Hyro_Provance_Alpes","deterministic"
"KOPSWERK_II","deterministic"
"La_Rance","deterministic"
"LAC_NOIR","deterministic"
"LIMBERG_II","deterministic"
"MARKERSB","deterministic"
"MONTEZIC","deterministic"
"NIEDERW","deterministic"
"Ouvrage","deterministic"
"PLATETAILLE","deterministic"
"RES_HYDRO_BE_Existing","deterministic"
"RES_HYDRO_NL_existing","deterministic"
"REVIN","deterministic"
"SACKING","deterministic"
"Salzburg_Hydro","deterministic"
"Silz","deterministic"
"Steiermarj_Hydro_II","deterministic"
"SUPER_BISSORTE","deterministic"
"Tirol_Hydro","deterministic"
"Verbund_Carinthia_I","deterministic"
"Verbund_Carinthia_II","deterministic"
"Verbund_Danube","deterministic"
"Verbund_Danube_II","deterministic"
"Verbund_Hydro","deterministic"
"VIANDEN","deterministic"
"Vorarelberg_Hydro_I","deterministic"
"Vorarelberg_Hydro_III","deterministic"
"Vorarlber_Hydro_II","deterministic"
"Vouglans","deterministic"
"WALSHUT","deterministic"
"WEHR","deterministic"
"WENDEFURTH","deterministic"
"WERFEN_PFARRWERFEN","deterministic"
"WITZNAU","deterministic"
"ALS_PHOTO","stochastic"
"AQUI_PHOTO","stochastic"
"AT_PHOTO","stochastic"
"AUV_PHOTO","stochastic"
"BB_B_PHOTO","stochastic"
"BNOR_PHOTO","stochastic"
"BOUR_PHOTO","stochastic"
"BRT_PHOTO","stochastic"
"BW_PHOTO","stochastic"
"BY_PHOTO","stochastic"
"CEN_PHOTO","stochastic"
"CHAR_PHOTO","stochastic"
"FLA_PHOTO","stochastic"
"FRC_PHOTO","stochastic"
"HE_PHOTO","stochastic"
"HNOR_PHOTO","stochastic"
"IFR_PHOTO","stochastic"
"LAN_PHOTO","stochastic"
"LIM_PHOTO","stochastic"
"LOR_PHOTO","stochastic"
"MPY_PHOTO","stochastic"
"MV_PHOTO","stochastic"
"NI_HB_PHOTO","stochastic"
"NL_PHOTO","stochastic"
"NPC_PHOTO","stochastic"
"NRW_PHOTO","stochastic"
"PACA_PHOTO","stochastic"
"PCD_PHOTO","stochastic"
"PCH_PHOTO","stochastic"
"PLOI_PHOTO","stochastic"
"RAL_PHOTO","stochastic"
"RLP_SL_PHOTO","stochastic"
"SH_HH_PHOTO","stochastic"
"SN_PHOTO","stochastic"
"ST_PHOTO","stochastic"
"TH_PHOTO","stochastic"
"WAL_PHOTO","stochastic"
"50Hertz_WIND","stochastic"
"ALS_WIND","stochastic"
"Amprion_WIND","stochastic"
"AQUI_WIND","stochastic"
"AT_WIND","stochastic"
"AUV_WIND","stochastic"
"BE_WIND","stochastic"
"BNOR_WIND","stochastic"
"BOUR_WIND","stochastic"
"BRT_WIND","stochastic"
"CEN_WIND","stochastic"
"CHAR_WIND","stochastic"
"FRC_WIND","stochastic"
"HNOR_WIND","stochastic"
"IFR_WIND","stochastic"
"LAN_WIND","stochastic"
"LIM_WIND","stochastic"
"LOR_WIND","stochastic"
"MPY_WIND","stochastic"
"NL_WIND","stochastic"
"NPC_WIND","stochastic"
"PACA_WIND","stochastic"
"PCD_WIND","stochastic"
"PCH_WIND","stochastic"
"PLOI_WIND","stochastic"
"RAL_WIND","stochastic"
"TenneT_WIND","stochastic"
"TransnetBW_WIND","stochastic"
"WINDOFF_BELWIND","stochastic"
"WINDOFF_CPOWER","stochastic"
"PRINCES_AMELIA_Q7","stochastic"
"EEMS_WIND_EBL","stochastic"
"NEAR_SHORE_WINDFARM","stochastic"
"RES_WINDOFF_DE_Existing","stochastic"
"ConstantProfile","deterministic"
