"EventID","Generator","DayType","StartSubPeriod","EndSubPeriod","OutProportion"
"ALTBACH_1:AutumnWD","ALTBACH_1","AutumnWD",1,96,0.129176801
"ALTBACH_1:AutumnWE","ALTBACH_1","AutumnWE",1,96,0.129176801
"ALTBACH_1:SpringWD","ALTBACH_1","SpringWD",1,96,0.019948268
"ALTBACH_1:SpringWE","ALTBACH_1","SpringWE",1,96,0.019948268
"ALTBACH_1:SummerWD","ALTBACH_1","SummerWD",1,96,0.27899805
"ALTBACH_1:SummerWE","ALTBACH_1","SummerWE",1,96,0.27899805
"ALTBACH_1:WinterWD","ALTBACH_1","WinterWD",1,96,0.14076529
"ALTBACH_1:WinterWE","ALTBACH_1","WinterWE",1,96,0.14076529
"ALTBACH_2:AutumnWD","ALTBACH_2","AutumnWD",1,96,0.151117754960937
"ALTBACH_2:AutumnWE","ALTBACH_2","AutumnWE",1,96,0.151117754960937
"ALTBACH_2:SpringWD","ALTBACH_2","SpringWD",1,96,0.886078664960937
"ALTBACH_2:SpringWE","ALTBACH_2","SpringWE",1,96,0.886078664960937
"ALTBACH_2:SummerWD","ALTBACH_2","SummerWD",1,96,0.886078664960937
"ALTBACH_2:SummerWE","ALTBACH_2","SummerWE",1,96,0.886078664960937
"AMERCOEUR_1:AutumnWD","AMERCOEUR_1","AutumnWD",1,96,0.235304316433594
"AMERCOEUR_1:AutumnWE","AMERCOEUR_1","AutumnWE",1,96,0.235304316433594
"AMERCOEUR_1:SpringWD","AMERCOEUR_1","SpringWD",1,96,0.0168898554335938
"AMERCOEUR_1:SpringWE","AMERCOEUR_1","SpringWE",1,96,0.0168898554335938
"ARAMON_2:AutumnWD","ARAMON_2","AutumnWD",1,96,0.298875638901838
"ARAMON_2:AutumnWE","ARAMON_2","AutumnWE",1,96,0.298875638901838
"BELLEVILLE_1:AutumnWD","BELLEVILLE_1","AutumnWD",1,96,0.0277835912407304
"BELLEVILLE_1:AutumnWE","BELLEVILLE_1","AutumnWE",1,96,0.0277835912407304
"BERGKAMEN:SummerWD","BERGKAMEN","SummerWD",1,96,0.241905377014114
"BERGKAMEN:SummerWE","BERGKAMEN","SummerWE",1,96,0.241905377014114
