"Generator","GeneratorType","BusGenerator","MinRunCapacity","MaxRunCapacity","RampUp","RampDown","UT","DT","TransitionLevel","ProductionBand","ReservesOffline","NoLoadConsumption","StartupCost","FOR","FuelGenerator","FHGenerator","HRSGenerator","CO2Rate"
"CHOOZB_1","SLOW","F-12choo",750,1500,50,50,168,168,750,1,FALSE,2250,32506.01911,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_01",0.01164
"CHOOZB_2","SLOW","F-12choo",750,1500,50,50,168,168,750,1,FALSE,0,32506.01911,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_02",0.01535
"CIVAUX_1","SLOW","F-247",747.5,1495,49.83333,49.83333,168,168,747.5,1,FALSE,0,32397.66571,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_03",0.03224
"CIVAUX_2","SLOW","F-247",747.5,1495,49.83333,49.83333,168,168,747.5,1,FALSE,1753.2273,32397.66571,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_04",0.02867
"ISAR_2","SLOW","D-190",700,1400,46.66667,46.66667,168,168,700,1,FALSE,1641.8182,,0.0319,"NUCLEAR","FH_GERMANY","NUCLEAR_04",0.03137
"PHILIPPS_2B","SLOW","D-177",696,1392,46.4,46.4,168,168,696,1,FALSE,2277.8182,,0.0319,"NUCLEAR","FH_GERMANY","NUCLEAR_05",0.00243
"STALBAN_1","SLOW","F-255",667.5,1335,44.5,44.5,168,168,667.5,1,FALSE,1565.5909,,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_04",0.09801
"STALBAN_2","SLOW","F-255",667.5,1335,44.5,44.5,168,168,667.5,1,FALSE,1565.5909,,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_04",0.00698
"FLAMANVILLE_1","SLOW","F-34",665,1330,44.33333,44.33333,168,168,665,1,FALSE,0,,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_03",0.0061
"FLAMANVILLE_2","SLOW","F-34",665,1330,44.33333,44.33333,168,168,665,1,FALSE,0,,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_03",0.01094
"PALUEL_1","SLOW","F-19",665,1330,44.33333,44.33333,168,168,665,1,FALSE,0,,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_03",0.01107
"PALUEL_2","SLOW","F-19",665,1330,44.33333,44.33333,168,168,665,1,FALSE,0,,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_03",0.0136
"PALUEL_3","SLOW","F-19",665,1330,44.33333,44.33333,168,168,665,1,FALSE,1559.7273,,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_04",0.03963
"PALUEL_4","SLOW","F-19",665,1330,44.33333,44.33333,168,168,665,1,FALSE,1559.7273,,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_04",0.01374
"PENLY_1","SLOW","F-15",665,1330,44.33333,44.33333,168,168,665,1,FALSE,1559.7273,,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_04",0.0422
"PENLY_2","SLOW","F-15",665,1330,44.33333,44.33333,168,168,665,1,FALSE,1559.7273,,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_04",0.04362
"EMS_LINGEN_1","SLOW","D-56",664.5,1329,44.3,44.3,168,168,664.5,1,FALSE,1558.5545,,0.0319,"NUCLEAR","FH_GERMANY","NUCLEAR_04",0.04464
"BELLEVILLE_1","SLOW","F-142",655,1310,43.66667,43.66667,168,168,655,1,FALSE,0,28388.59002,0.0319,"NUCLEAR","FH_FRANCE","NUCLEAR_03",0.00969
