"Load","BusLoad","DynamicProfileLoad","ReferenceValueLoad","LoadValuation"
"Load_A-8","A-8","AT_LOAD",751.2,3000
"Load_A-21","A-21","AT_LOAD",367.44,3000
"Load_A-22","A-22","AT_LOAD",424.61,3000
"Load_A-15","A-15","AT_LOAD",454.18,3000
"Load_A-36","A-36","AT_LOAD",214.22,3000
"Load_A-2","A-2","AT_LOAD",428.29,3000
"Load_A-12","A-12","AT_LOAD",419.33,3000
"Load_A-16","A-16","AT_LOAD",638.83,3000
"Load_A-30","A-30","AT_LOAD",489.01,3000
"Load_A-18","A-18","AT_LOAD",419.33,3000
"Load_A_Westti","A_Westti","AT_LOAD",581.6,3000
"Load_A-11","A-11","AT_LOAD",428.29,3000
"Load_A-1","A-1","AT_LOAD",855.8,3000
"Load_A-14","A-14","AT_LOAD",638.83,3000
"Load_A-27","A-27","AT_LOAD",419.33,3000
"Load_A-4","A-4","AT_LOAD",641.93,3000
"Load_A-13","A-13","AT_LOAD",751.2,3000
"Load_A-25","A-25","AT_LOAD",332.37,3000
"Load_A-10","A-10","AT_LOAD",751.2,3000
"Load_B_Aubang","B_Aubang","BE_LOAD",653.56,3000
"Load_B_Zandvl","B_Zandvl","BE_LOAD",69.33,3000
"Load_B_Achene","B_Achene","BE_LOAD",558.08,3000
"Load_B-10","B-10","BE_LOAD",3084.51,3000
"Load_B-13","B-13","BE_LOAD",2059.11,3000
"Load_B-3","B-3","BE_LOAD",1653.78,3000
"Load_B-20","B-20","BE_LOAD",200.07,3000
"Load_B-9","B-9","BE_LOAD",1931.12,3000
"Load_B-5","B-5","BE_LOAD",743.35,3000
"Load_B-4","B-4","BE_LOAD",884.95,3000
"Load_B-11","B-11","BE_LOAD",2269.83,3000
"Load_B-16","B-16","BE_LOAD",358.18,3000
"Load_D-96","D-96","DE_LOAD",391.08,3000
"Load_D-93","D-93","DE_LOAD",711.69,3000
"Load_D-90","D-90","DE_LOAD",356.49,3000
"Load_D-79","D-79","DE_LOAD",570.6,3000
"Load_D-134","D-134","DE_LOAD",424.52,3000
"Load_D-9","D-9","DE_LOAD",249.24,3000
"Load_D-11","D-11","DE_LOAD",828.3,3000
"Load_D-14","D-14","DE_LOAD",499.56,3000
"Load_D-3","D-3","DE_LOAD",249.24,3000
"Load_D-17","D-17","DE_LOAD",499.56,3000
"Load_D_Eichst","D_Eichst","DE_LOAD",795.22,3000
"Load_E-220","E-220","DE_LOAD",189.89,3000
"Load_D-2","D-2","DE_LOAD",249.24,3000
"Load_D_leupol","D_leupol","DE_LOAD",468.12,3000
"Load_D-229","D-229","DE_LOAD",213.01,3000
"Load_D-214","D-214","DE_LOAD",468.12,3000
"Load_D-213","D-213","DE_LOAD",468.12,3000
"Load_E-211","E-211","DE_LOAD",400.03,3000
"Load_D-210","D-210","DE_LOAD",468.12,3000
"Load_D-208","D-208","DE_LOAD",400.03,3000
"Load_D-201","D-201","DE_LOAD",400.03,3000
"Load_D-70","D-70","DE_LOAD",570.6,3000
"Load_D-39","D-39","DE_LOAD",324.79,3000
"Load_D-25","D-25","DE_LOAD",324.79,3000
"Load_D-200","D-200","DE_LOAD",400.03,3000
"Load_D-207","D-207","DE_LOAD",468.12,3000
"Load_D-219","D-219","DE_LOAD",468.12,3000
"Load_D-44","D-44","DE_LOAD",391.08,3000
"Load_D-43","D-43","DE_LOAD",390.61,3000
"Load_D-46","D-46","DE_LOAD",324.79,3000
"Load_D-48","D-48","DE_LOAD",390.61,3000
"Load_D-186","D-186","DE_LOAD",400.03,3000
"Load_D-52","D-52","DE_LOAD",570.63,3000
"Load_D-188","D-188","DE_LOAD",468.12,3000
"Load_D-50","D-50","DE_LOAD",390.01,3000
"Load_D-60","D-60","DE_LOAD",390.01,3000
"Load_D-59","D-59","DE_LOAD",390.01,3000
"Load_D-64","D-64","DE_LOAD",390.01,3000
"Load_D-63","D-63","DE_LOAD",390.01,3000
"Load_D-10","D-10","DE_LOAD",828.3,3000
"Load_D-8","D-8","DE_LOAD",249.24,3000
"Load_D-6","D-6","DE_LOAD",828.3,3000
"Load_D_Diele","D_Diele","DE_LOAD",193.7,3000
"Load_D-57","D-57","DE_LOAD",324.79,3000
"Load_D-76","D-76","DE_LOAD",680.77,3000
"Load_D-81","D-81","DE_LOAD",680.77,3000
"Load_D-80","D-80","DE_LOAD",796.45,3000
"Load_D-84","D-84","DE_LOAD",680.77,3000
"Load_D-74","D-74","DE_LOAD",390.01,3000
"Load_D-83","D-83","DE_LOAD",351.85,3000
"Load_D-87","D-87","DE_LOAD",373.64,3000
"Load_D-164","D-164","DE_LOAD",324.87,3000
"Load_D-89","D-89","DE_LOAD",351.85,3000
"Load_D-86","D-86","DE_LOAD",680.77,3000
"Load_E_obermo","E_obermo","DE_LOAD",400.03,3000
"Load_D-73","D-73","DE_LOAD",680.77,3000
"Load_D-103","D-103","DE_LOAD",351.85,3000
"Load_D-106","D-106","DE_LOAD",356.49,3000
"Load_D-105","D-105","DE_LOAD",680.77,3000
"Load_D-99","D-99","DE_LOAD",351.85,3000
"Load_D-109","D-109","DE_LOAD",680.77,3000
"Load_D-110","D-110","DE_LOAD",680.77,3000
"Load_D-112","D-112","DE_LOAD",356.49,3000
