,id,dateTimeUtc,tso,cneName,cneEic,direction,hubFrom,hubTo,substationFrom,substationTo,elementType,fmaxType,contTso,contName,contingencies,presolved,ram,minRamFactor,minRamTarget,justification,imax,u,fmax,frm,frefInit,fnrao,fref,fcore,fall,fuaf,amr,ltaMargin,cva,iva,ftotalLtn,fltn,ptdf_ALBE,ptdf_ALDE,ptdf_AT,ptdf_BE,ptdf_CZ,ptdf_DE,ptdf_FR,ptdf_HR,ptdf_HU,ptdf_NL,ptdf_PL,ptdf_RO,ptdf_SI,ptdf_SK
0,325214865,2023-10-11T00:00:00Z,APG,Ernsthofen 2 - Hausruck 203C ,14T-220-0-0203CD,OPPOSITE,AT,AT,Ernsthofen 2 ,Hausruck,Line,SEASONAL,APG,Ernsthofen 2 - Sattledt 204C,"[{'number': 1, 'branchName': 'Ernsthofen 2 - Sattledt 204C', 'branchEic': '14T-220-0-0204CA', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Ernsthofen 2 ', 'substationTo': 'Sattledt', 'elementType': 'Line'}]",True,274.0,28.7,0.2,,1077.0,220.0,420.0,30.0,13.0,16.0,-3.0,116.0,74.0,42.0,0.0,0.0,0.0,0.0,116.0,0.0,0.04388,0.0443,0.09442,0.0438,0.01735,0.04423,0.04293,-0.00024,-0.0009,0.04386,0.01804,-0.00011,0.00037,0.00453
1,325214886,2023-10-11T00:00:00Z,APG,Hausruck - Sattledt 204B ,14T-220-0-0204BC,DIRECT,AT,AT,Hausruck ,Sattledt,Line,SEASONAL,APG,Ernsthofen 2 - Hausruck 203C,"[{'number': 1, 'branchName': 'Ernsthofen 2 - Hausruck 203C', 'branchEic': '14T-220-0-0203CD', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Ernsthofen 2 ', 'substationTo': 'Hausruck', 'elementType': 'Line'}]",True,273.0,28.7,0.2,,1077.0,220.0,420.0,30.0,16.0,15.0,1.0,117.0,75.0,41.0,0.0,0.0,0.0,0.0,117.0,0.0,0.04387,0.0443,0.09359,0.0438,0.01735,0.04422,0.04292,-0.00024,-0.0009,0.04386,0.01804,-0.00011,0.00037,0.00453
2,325214906,2023-10-11T00:00:00Z,APG,Ernsthofen 2 - Sattledt 204C ,14T-220-0-0204CA,DIRECT,AT,AT,Ernsthofen 2 ,Sattledt,Line,SEASONAL,APG,Ernsthofen 2 - Hausruck 203C,"[{'number': 1, 'branchName': 'Ernsthofen 2 - Hausruck 203C', 'branchEic': '14T-220-0-0203CD', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Ernsthofen 2 ', 'substationTo': 'Hausruck', 'elementType': 'Line'}]",True,505.0,28.7,0.387,,1077.0,220.0,420.0,30.0,-12.0,-15.0,3.0,-115.0,-74.0,-42.0,0.0,0.0,0.0,0.0,-115.0,0.0,-0.04387,-0.0443,-0.09449,-0.0438,-0.01735,-0.04422,-0.04292,0.00024,0.0009,-0.04386,-0.01804,0.00011,-0.00037,-0.00453
3,325215174,2023-10-11T00:00:00Z,APG,Wien Suedost - Gyoer 245 ,10T-AT-HU-00002U,DIRECT,AT,HU,Wien Suedost,Gyoer 245,TieLine,SEASONAL,APG,Neusiedl - Wien Suedost 246A,"[{'number': 1, 'branchName': 'Neusiedl - Wien Suedost 246A', 'branchEic': '14T-220-0-0246AT', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Neusiedl ', 'substationTo': 'Wien Suedost', 'elementType': 'Line'}]",True,182.0,24.6,0.2,,600.0,220.0,234.0,23.0,71.0,1.0,70.0,29.0,17.0,12.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0383,0.03835,0.05038,0.03831,0.04021,0.03855,0.03822,0.01555,-0.01825,0.0382,0.02291,-0.00176,0.02712,0.01246
4,325215176,2023-10-11T00:00:00Z,APG,Wien Suedost - Gyoer 245 ,10T-AT-HU-00002U,DIRECT,AT,HU,Wien Suedost,Gyoer 245,TieLine,SEASONAL,MAVIR,Gyor - Neusiedl Neusiedl - Gyoer 246B,"[{'number': 1, 'branchName': 'Gyor - Neusiedl', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Neusiedl', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Neusiedl - Gyoer 246B', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Neusiedl', 'substationTo': 'Gyoer 246B', 'elementType': 'TieLine'}]",True,201.0,24.6,0.2,,600.0,220.0,234.0,23.0,50.0,1.0,49.0,10.0,-3.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.04019,0.04021,0.05312,0.04021,0.04185,0.0404,0.04018,0.01728,-0.01996,0.04006,0.02365,-0.00193,0.03004,0.01252
5,325215189,2023-10-11T00:00:00Z,APG,Neusiedl - Gyoer 246B ,10T-AT-HU-00001W,OPPOSITE,AT,HU,Neusiedl,Gyoer 246B,TieLine,SEASONAL,MAVIR,Gyor - Wien Wien Suedost - Gyoer 245,"[{'number': 1, 'branchName': 'Gyor - Wien', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Wien', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Wien Suedost - Gyoer 245', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Wien Suedost', 'substationTo': 'Gyoer 245', 'elementType': 'TieLine'}]",True,204.0,24.9,0.3,,600.0,220.0,234.0,23.0,-29.0,0.0,-29.0,7.0,19.0,-12.0,0.0,0.0,0.0,0.0,7.0,0.0,-0.03987,-0.03987,-0.0529,-0.0399,-0.04124,-0.04004,-0.03991,-0.0179,0.02045,-0.03972,-0.02315,0.00198,-0.03107,-0.01197
6,325215204,2023-10-11T00:00:00Z,APG,Obersielach - Podlog 247 ,10T-AT-SI-00003P,DIRECT,AT,SI,Obersielach,Podlog,TieLine,SEASONAL,ELES,400 kV Cirkovce - Podlog,"[{'number': 1, 'branchName': '400 kV Cirkovce - Podlog', 'branchEic': '28T000000000301K', 'hubFrom': 'SI', 'hubTo': 'SI', 'substationFrom': 'Cirkovce', 'substationTo': 'Podlog', 'elementType': 'Line'}]",True,317.0,27.8,0.2,,1171.0,220.0,456.0,37.0,195.0,-5.0,200.0,101.0,37.0,64.0,0.0,0.0,0.0,0.0,102.0,1.0,0.0402,0.04133,0.08647,0.03989,0.04485,0.04369,0.037,-0.03877,0.02064,0.04094,0.03662,0.00311,-0.08153,0.03257
7,325215205,2023-10-11T00:00:00Z,APG,Obersielach - Podlog 247 ,10T-AT-SI-00003P,OPPOSITE,AT,SI,Obersielach,Podlog,TieLine,SEASONAL,ELES,400 kV Cirkovce - Podlog,"[{'number': 1, 'branchName': '400 kV Cirkovce - Podlog', 'branchEic': '28T000000000301K', 'hubFrom': 'SI', 'hubTo': 'SI', 'substationFrom': 'Cirkovce', 'substationTo': 'Podlog', 'elementType': 'Line'}]",True,521.0,27.8,0.418,,1171.0,220.0,456.0,37.0,-195.0,5.0,-200.0,-101.0,-37.0,-64.0,0.0,0.0,0.0,0.0,-102.0,-1.0,-0.0402,-0.04133,-0.08647,-0.03989,-0.04485,-0.04369,-0.037,0.03877,-0.02064,-0.04094,-0.03662,-0.00311,0.08153,-0.03257
8,325215318,2023-10-11T00:00:00Z,APG,Strass - Thaur 273B ,14T-220-0-0273BO,DIRECT,AT,AT,Strass,Thaur,Line,SEASONAL,APG,Strass - Thaur 274B,"[{'number': 1, 'branchName': 'Strass - Thaur 274B', 'branchEic': '14T-220-0-0274BL', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Strass', 'substationTo': 'Thaur', 'elementType': 'Line'}]",True,247.0,25.9,0.2,,1324.0,220.0,516.0,39.0,-121.0,-14.0,-107.0,230.0,186.0,44.0,0.0,0.0,0.0,0.0,230.0,0.0,-0.04266,-0.04199,0.06355,-0.04294,-0.01557,-0.04484,-0.04406,0.00294,-0.00128,-0.04153,-0.01648,-0.00014,0.00419,-0.00679
9,325215595,2023-10-11T00:00:00Z,APG,Duernrohr 1 - Slavetice 437 ,10T-AT-CZ-00003X,OPPOSITE,AT,CZ,Duernrohr 1,Slavetice,TieLine,SEASONAL,CEPS,Slavetice - Durnrohr - V438  Duernrohr 1 - Slavetice 438,"[{'number': 1, 'branchName': 'Slavetice - Durnrohr - V438 ', 'branchEic': '10T-AT-CZ-00004V', 'hubFrom': 'CZ', 'hubTo': 'AT', 'substationFrom': 'Slavetice ', 'substationTo': 'Durnrohr ', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Duernrohr 1 - Slavetice 438', 'branchEic': '10T-AT-CZ-00004V', 'hubFrom': 'AT', 'hubTo': 'CZ', 'substationFrom': 'Duernrohr 1', 'substationTo': 'Slavetice', 'elementType': 'TieLine'}]",True,1465.0,34.5,0.335,,2992.0,380.0,2073.0,148.0,1545.0,-5.0,1550.0,459.0,439.0,20.0,0.0,0.0,0.0,0.0,460.0,1.0,0.03859,0.04139,-0.08177,0.03756,0.21083,0.04412,0.03097,-0.03789,0.01355,0.04211,0.09274,0.00226,-0.05749,0.11111
