,id,dateTimeUtc,tso,cneName,cneEic,direction,hubFrom,hubTo,substationFrom,substationTo,elementType,fmaxType,contTso,contName,contingencies,presolved,ram,minRamFactor,minRamTarget,justification,imax,u,fmax,frm,frefInit,fnrao,fref,fcore,fall,fuaf,amr,ltaMargin,cva,iva,ftotalLtn,fltn,ptdf_ALBE,ptdf_ALDE,ptdf_AT,ptdf_BE,ptdf_CZ,ptdf_DE,ptdf_FR,ptdf_HR,ptdf_HU,ptdf_NL,ptdf_PL,ptdf_RO,ptdf_SI,ptdf_SK
0,171833885,2023-01-11T00:00:00Z,APG,St. Peter 2 - Altheim 233_230 ,10T-AT-DE-00001B,DIRECT,AT,DE,St. Peter 2,Altheim,Tieline,SEASONAL,APG,St. Peter 2 - Simbach 234_230 St. Peter - Altheim_Simbach 234_230 Y-Altheim (-Simbach - St. Peter) 234/230  Y-Simbach (-Altheim - St. Peter) 234/230,"[{'number': 1, 'branchName': 'St. Peter 2 - Simbach 234_230', 'branchEic': '10T-AT-DE-000045', 'hubFrom': 'AT', 'hubTo': 'DE', 'substationFrom': 'St. Peter 2', 'substationTo': 'Simbach', 'elementType': 'Tieline'}, {'number': 2, 'branchName': 'NA', 'branchEic': '10T-AT-DE-000045', 'hubFrom': 'NA', 'hubTo': 'NA', 'substationFrom': 'NA', 'substationTo': 'NA', 'elementType': None}, {'number': 3, 'branchName': 'Y-Altheim (-Simbach - St. Peter) 234/230', 'branchEic': '11T0-0000-0986-7', 'hubFrom': 'DE', 'hubTo': 'AT', 'substationFrom': 'Altheim', 'substationTo': 'St. Peter', 'elementType': 'Tieline'}, {'number': 4, 'branchName': ' Y-Simbach (-Altheim - St. Peter) 234/230', 'branchEic': '11T0-0000-0987-4', 'hubFrom': 'DE', 'hubTo': 'DE', 'substationFrom': 'Y-Simbach', 'substationTo': 'Simbach', 'elementType': 'Tieline'}]",True,123.0,30.2,0.261,,1200.0,220.0,468.0,41.0,141.0,2.0,139.0,348.0,330.0,19.0,44.0,0.0,0.0,0.0,348.0,0.0,-0.02868,-0.02977,0.03677,-0.02835,0.00204,-0.02872,-0.02584,0.01897,0.02011,-0.02922,-0.00066,0.01886,0.01791,0.01558
1,171833964,2023-01-11T00:00:00Z,APG,Wien Suedost - Gyoer 245 ,10T-AT-HU-00002U,OPPOSITE,AT,HU,Wien Suedost,Gyoer 245,Tieline,SEASONAL,MAVIR,Gyor - Neusiedl Neusiedl - Gyoer 246B,"[{'number': 1, 'branchName': 'Gyor - Neusiedl', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Neusiedl', 'elementType': 'Tieline'}, {'number': 2, 'branchName': 'Neusiedl - Gyoer 246B', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Neusiedl', 'substationTo': 'Gyoer 246B', 'elementType': 'Tieline'}]",True,246.0,24.6,1.038,,600.0,220.0,234.0,23.0,-15.0,-1.0,-14.0,-32.0,-19.0,-13.0,0.0,0.0,0.0,0.0,-35.0,-3.0,-0.00911,-0.00909,-0.01888,-0.00913,-0.00905,-0.00912,-0.00918,0.0078,0.03495,-0.009,-1e-05,0.01916,-0.00296,0.00732
2,171833975,2023-01-11T00:00:00Z,APG,Neusiedl - Gyoer 246B ,10T-AT-HU-00001W,DIRECT,AT,HU,Neusiedl,Gyoer 246B,Tieline,SEASONAL,MAVIR,Gyor - Wien Wien Suedost - Gyoer 245,"[{'number': 1, 'branchName': 'Gyor - Wien', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Wien', 'elementType': 'Tieline'}, {'number': 2, 'branchName': 'Wien Suedost - Gyoer 245', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Wien Suedost', 'substationTo': 'Gyoer 245', 'elementType': 'Tieline'}]",True,165.0,24.9,0.718,,600.0,220.0,234.0,23.0,19.0,1.0,18.0,43.0,29.0,15.0,0.0,0.0,0.0,0.0,46.0,3.0,0.00924,0.0092,0.02079,0.00926,0.00896,0.00921,0.00935,-0.00706,-0.03495,0.00911,1e-05,-0.01889,0.00412,-0.00732
3,171833976,2023-01-11T00:00:00Z,APG,Neusiedl - Gyoer 246B ,10T-AT-HU-00001W,OPPOSITE,AT,HU,Neusiedl,Gyoer 246B,Tieline,SEASONAL,MAVIR,Gyor - Wien Wien Suedost - Gyoer 245,"[{'number': 1, 'branchName': 'Gyor - Wien', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Wien', 'elementType': 'Tieline'}, {'number': 2, 'branchName': 'Wien Suedost - Gyoer 245', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Wien Suedost', 'substationTo': 'Gyoer 245', 'elementType': 'Tieline'}]",True,257.0,24.9,1.085,,600.0,220.0,234.0,23.0,-19.0,-1.0,-18.0,-43.0,-29.0,-15.0,0.0,0.0,0.0,0.0,-46.0,-3.0,-0.00924,-0.0092,-0.02079,-0.00926,-0.00896,-0.00921,-0.00935,0.00706,0.03495,-0.00911,-1e-05,0.01889,-0.00412,0.00732
4,171833980,2023-01-11T00:00:00Z,APG,Obersielach - Podlog 247 ,10T-AT-SI-00003P,OPPOSITE,AT,SI,Obersielach,Podlog,Tieline,SEASONAL,APG,Kainachtal - Obersielach 471,"[{'number': 1, 'branchName': 'Kainachtal - Obersielach 471', 'branchEic': '14T-380-0-00471D', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Kainachtal ', 'substationTo': 'Obersielach', 'elementType': 'Line'}]",True,294.0,26.9,0.622,,1236.0,220.0,482.0,37.0,258.0,2.0,256.0,145.0,231.0,-86.0,0.0,0.0,0.0,0.0,151.0,6.0,-0.00908,-0.00931,-0.04613,-0.009,-0.00469,-0.01032,-0.00817,0.05319,0.01521,-0.0091,-0.0001,0.02567,0.07712,0.00617
5,171833988,2023-01-11T00:00:00Z,APG,Obersielach - Podlog 247 ,10T-AT-SI-00003P,OPPOSITE,AT,SI,Obersielach,Podlog,Tieline,SEASONAL,APG,Kainachtal - Maribor 473 400 kV Maribor - Kainachtal 1,"[{'number': 1, 'branchName': 'Kainachtal - Maribor 473', 'branchEic': '10T-AT-SI-00001T', 'hubFrom': 'AT', 'hubTo': 'SI', 'substationFrom': 'Kainachtal', 'substationTo': 'Maribor', 'elementType': 'Tieline'}, {'number': 2, 'branchName': '400 kV Maribor - Kainachtal 1', 'branchEic': '10T-AT-SI-00001T', 'hubFrom': 'SI', 'hubTo': 'AT', 'substationFrom': 'Maribor', 'substationTo': 'Kainachtal ', 'elementType': 'Tieline'}]",True,313.0,26.6,0.664,,1236.0,220.0,482.0,37.0,226.0,2.0,224.0,125.0,217.0,-92.0,0.0,0.0,0.0,0.0,132.0,7.0,-0.00722,-0.00758,-0.0439,-0.00711,-0.00545,-0.0087,-0.00594,0.05793,0.01579,-0.00739,-6e-05,0.02751,0.08453,0.00576
6,171833991,2023-01-11T00:00:00Z,APG,Obersielach - Podlog 247 ,10T-AT-SI-00003P,DIRECT,AT,SI,Obersielach,Podlog,Tieline,SEASONAL,ELES,400 kV Cirkovce - Podlog,"[{'number': 1, 'branchName': '400 kV Cirkovce - Podlog', 'branchEic': '28T000000000301K', 'hubFrom': 'SI', 'hubTo': 'SI', 'substationFrom': 'Cirkovce', 'substationTo': 'Podlog', 'elementType': 'Line'}]",True,578.0,27.8,1.174,,1236.0,220.0,482.0,37.0,-202.0,-2.0,-200.0,-121.0,-226.0,105.0,0.0,0.0,0.0,0.0,-133.0,-12.0,0.00345,0.00402,0.04078,0.00326,0.00484,0.00539,0.00153,-0.06081,-0.01225,0.00385,1e-05,-0.0256,-0.10716,-0.00393
7,171833992,2023-01-11T00:00:00Z,APG,Obersielach - Podlog 247 ,10T-AT-SI-00003P,OPPOSITE,AT,SI,Obersielach,Podlog,Tieline,SEASONAL,ELES,400 kV Cirkovce - Podlog,"[{'number': 1, 'branchName': '400 kV Cirkovce - Podlog', 'branchEic': '28T000000000301K', 'hubFrom': 'SI', 'hubTo': 'SI', 'substationFrom': 'Cirkovce', 'substationTo': 'Podlog', 'elementType': 'Line'}]",True,312.0,27.8,0.672,,1236.0,220.0,482.0,37.0,202.0,2.0,200.0,121.0,226.0,-105.0,0.0,0.0,0.0,0.0,133.0,12.0,-0.00345,-0.00402,-0.04078,-0.00326,-0.00484,-0.00539,-0.00153,0.06081,0.01225,-0.00385,-1e-05,0.0256,0.10716,0.00393
8,171834050,2023-01-11T00:00:00Z,APG,Pleinting - St. Peter 258 ,10T-AT-DE-000037,DIRECT,DE,AT,Pleinting,St. Peter,Tieline,SEASONAL,TENNETGMBH,Pirach - Pleinting 257,"[{'number': 1, 'branchName': 'Pirach - Pleinting 257', 'branchEic': '11TD2L000000201H', 'hubFrom': 'DE', 'hubTo': 'DE', 'substationFrom': 'Pirach', 'substationTo': 'Pleinting', 'elementType': 'Line'}]",True,777.0,23.6,1.124,,1779.0,220.0,693.0,52.0,226.0,-2.0,228.0,-137.0,-86.0,-52.0,0.0,0.0,0.0,0.0,-136.0,1.0,0.04914,0.04974,-0.06566,0.04898,0.00093,0.04989,0.04715,-0.03308,-0.0355,0.04895,0.00108,-0.03313,-0.0309,-0.02715
9,171834078,2023-01-11T00:00:00Z,APG,Rosegg - Villach Sued 267B ,14T-220-0-0267BG,DIRECT,AT,AT,Rosegg,Villach,Line,SEASONAL,APG,Feistritz - Villach 266C,"[{'number': 1, 'branchName': 'Feistritz - Villach 266C', 'branchEic': '14T-220-0-0266CH', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Feistritz ', 'substationTo': 'Villach', 'elementType': 'Line'}]",True,358.0,28.8,0.461,,2000.0,220.0,779.0,76.0,606.0,0.0,606.0,344.0,400.0,-56.0,0.0,0.0,0.0,0.0,345.0,1.0,-0.02822,-0.02734,-0.08548,-0.02855,-0.00155,-0.02762,-0.03063,0.02904,0.02009,-0.02694,-0.00042,0.02196,0.03425,0.01241
