"Time (CET/CEST)","Export/Import (BZN|HU)","Net position [MW]"
"11.10.2023 00:00 - 11.10.2023 01:00","Import","1240"
"11.10.2023 01:00 - 11.10.2023 02:00","Import","1015"
"11.10.2023 02:00 - 11.10.2023 03:00","Import","798"
"11.10.2023 03:00 - 11.10.2023 04:00","Import","847"
"11.10.2023 04:00 - 11.10.2023 05:00","Import","911"
"11.10.2023 05:00 - 11.10.2023 06:00","Import","943"
"11.10.2023 06:00 - 11.10.2023 07:00","Import","1293"
"11.10.2023 07:00 - 11.10.2023 08:00","Import","1631"
"11.10.2023 08:00 - 11.10.2023 09:00","Import","1048"
"11.10.2023 09:00 - 11.10.2023 10:00","Import","350"
"11.10.2023 10:00 - 11.10.2023 11:00","Export","71"
"11.10.2023 11:00 - 11.10.2023 12:00","Export","352"
"11.10.2023 12:00 - 11.10.2023 13:00","Export","474"
"11.10.2023 13:00 - 11.10.2023 14:00","Export","577"
"11.10.2023 14:00 - 11.10.2023 15:00","Export","198"
"11.10.2023 15:00 - 11.10.2023 16:00","Import","273"
"11.10.2023 16:00 - 11.10.2023 17:00","Import","928"
"11.10.2023 17:00 - 11.10.2023 18:00","Import","1496"
"11.10.2023 18:00 - 11.10.2023 19:00","Import","1937"
"11.10.2023 19:00 - 11.10.2023 20:00","Import","1833"
"11.10.2023 20:00 - 11.10.2023 21:00","Import","1912"
"11.10.2023 21:00 - 11.10.2023 22:00","Import","1738"
"11.10.2023 22:00 - 11.10.2023 23:00","Import","1311"
"11.10.2023 23:00 - 12.10.2023 00:00","Import","1319"
