"Time (CET/CEST)","Export/Import (BZN|RO)","Net position [MW]"
"11.10.2023 00:00 - 11.10.2023 01:00","Import","16"
"11.10.2023 01:00 - 11.10.2023 02:00","Import","103"
"11.10.2023 02:00 - 11.10.2023 03:00","Import","95"
"11.10.2023 03:00 - 11.10.2023 04:00","Import","171"
"11.10.2023 04:00 - 11.10.2023 05:00","Import","340"
"11.10.2023 05:00 - 11.10.2023 06:00","Import","704"
"11.10.2023 06:00 - 11.10.2023 07:00","Import","1014"
"11.10.2023 07:00 - 11.10.2023 08:00","Import","1203"
"11.10.2023 08:00 - 11.10.2023 09:00","Import","1059"
"11.10.2023 09:00 - 11.10.2023 10:00","Import","761"
"11.10.2023 10:00 - 11.10.2023 11:00","Import","617"
"11.10.2023 11:00 - 11.10.2023 12:00","Import","488"
"11.10.2023 12:00 - 11.10.2023 13:00","Import","487"
"11.10.2023 13:00 - 11.10.2023 14:00","Import","473"
"11.10.2023 14:00 - 11.10.2023 15:00","Import","504"
"11.10.2023 15:00 - 11.10.2023 16:00","Import","668"
"11.10.2023 16:00 - 11.10.2023 17:00","Import","788"
"11.10.2023 17:00 - 11.10.2023 18:00","Import","872"
"11.10.2023 18:00 - 11.10.2023 19:00","Import","1142"
"11.10.2023 19:00 - 11.10.2023 20:00","Import","701"
"11.10.2023 20:00 - 11.10.2023 21:00","Import","521"
"11.10.2023 21:00 - 11.10.2023 22:00","Import","66"
"11.10.2023 22:00 - 11.10.2023 23:00","Export","307"
"11.10.2023 23:00 - 12.10.2023 00:00","Export","798"
