"Time (CET/CEST)","Export/Import (BZN|SI)","Net position [MW]"
"15.03.2023 00:00 - 15.03.2023 01:00","Import","367"
"15.03.2023 01:00 - 15.03.2023 02:00","Import","322"
"15.03.2023 02:00 - 15.03.2023 03:00","Import","304"
"15.03.2023 03:00 - 15.03.2023 04:00","Import","317"
"15.03.2023 04:00 - 15.03.2023 05:00","Import","344"
"15.03.2023 05:00 - 15.03.2023 06:00","Import","347"
"15.03.2023 06:00 - 15.03.2023 07:00","Import","107"
"15.03.2023 07:00 - 15.03.2023 08:00","Import","158"
"15.03.2023 08:00 - 15.03.2023 09:00","Import","23"
"15.03.2023 09:00 - 15.03.2023 10:00","Import","250"
"15.03.2023 10:00 - 15.03.2023 11:00","Import","185"
"15.03.2023 11:00 - 15.03.2023 12:00","Import","320"
"15.03.2023 12:00 - 15.03.2023 13:00","Import","230"
"15.03.2023 13:00 - 15.03.2023 14:00","Import","14"
"15.03.2023 14:00 - 15.03.2023 15:00","Import","42"
"15.03.2023 15:00 - 15.03.2023 16:00","Export","49"
"15.03.2023 16:00 - 15.03.2023 17:00","Import","82"
"15.03.2023 17:00 - 15.03.2023 18:00","Export","76"
"15.03.2023 18:00 - 15.03.2023 19:00","Export","47"
"15.03.2023 19:00 - 15.03.2023 20:00","Export","11"
"15.03.2023 20:00 - 15.03.2023 21:00","Export","73"
"15.03.2023 21:00 - 15.03.2023 22:00","Import","5"
"15.03.2023 22:00 - 15.03.2023 23:00","Import","99"
"15.03.2023 23:00 - 16.03.2023 00:00","Import","227"
