"Time (CET/CEST)","Export/Import (BZN|RO)","Net position [MW]"
"20.05.2023 00:00 - 20.05.2023 01:00","Export","1282"
"20.05.2023 01:00 - 20.05.2023 02:00","Export","1615"
"20.05.2023 02:00 - 20.05.2023 03:00","Export","1800"
"20.05.2023 03:00 - 20.05.2023 04:00","Export","1864"
"20.05.2023 04:00 - 20.05.2023 05:00","Export","1799"
"20.05.2023 05:00 - 20.05.2023 06:00","Export","1747"
"20.05.2023 06:00 - 20.05.2023 07:00","Export","1589"
"20.05.2023 07:00 - 20.05.2023 08:00","Export","1482"
"20.05.2023 08:00 - 20.05.2023 09:00","Export","1480"
"20.05.2023 09:00 - 20.05.2023 10:00","Export","1575"
"20.05.2023 10:00 - 20.05.2023 11:00","Export","914"
"20.05.2023 11:00 - 20.05.2023 12:00","Export","1063"
"20.05.2023 12:00 - 20.05.2023 13:00","Export","1243"
"20.05.2023 13:00 - 20.05.2023 14:00","Export","193"
"20.05.2023 14:00 - 20.05.2023 15:00","Import","135"
"20.05.2023 15:00 - 20.05.2023 16:00","Export","51"
"20.05.2023 16:00 - 20.05.2023 17:00","Export","816"
"20.05.2023 17:00 - 20.05.2023 18:00","Export","1506"
"20.05.2023 18:00 - 20.05.2023 19:00","Export","1164"
"20.05.2023 19:00 - 20.05.2023 20:00","Export","853"
"20.05.2023 20:00 - 20.05.2023 21:00","Export","512"
"20.05.2023 21:00 - 20.05.2023 22:00","Export","813"
"20.05.2023 22:00 - 20.05.2023 23:00","Export","1105"
"20.05.2023 23:00 - 21.05.2023 00:00","Export","1098"
