"Time (CET/CEST)","Export/Import (BZN|HR)","Net position [MW]"
"11.01.2023 00:00 - 11.01.2023 01:00","Import","79"
"11.01.2023 01:00 - 11.01.2023 02:00","Import","76"
"11.01.2023 02:00 - 11.01.2023 03:00","Export","17"
"11.01.2023 03:00 - 11.01.2023 04:00","Export","111"
"11.01.2023 04:00 - 11.01.2023 05:00","Export","105"
"11.01.2023 05:00 - 11.01.2023 06:00","Export","176"
"11.01.2023 06:00 - 11.01.2023 07:00","Import","235"
"11.01.2023 07:00 - 11.01.2023 08:00","Import","236"
"11.01.2023 08:00 - 11.01.2023 09:00","Import","375"
"11.01.2023 09:00 - 11.01.2023 10:00","Import","490"
"11.01.2023 10:00 - 11.01.2023 11:00","Import","491"
"11.01.2023 11:00 - 11.01.2023 12:00","Import","391"
"11.01.2023 12:00 - 11.01.2023 13:00","Import","420"
"11.01.2023 13:00 - 11.01.2023 14:00","Import","455"
"11.01.2023 14:00 - 11.01.2023 15:00","Import","528"
"11.01.2023 15:00 - 11.01.2023 16:00","Import","499"
"11.01.2023 16:00 - 11.01.2023 17:00","Import","353"
"11.01.2023 17:00 - 11.01.2023 18:00","Import","596"
"11.01.2023 18:00 - 11.01.2023 19:00","Import","557"
"11.01.2023 19:00 - 11.01.2023 20:00","Import","733"
"11.01.2023 20:00 - 11.01.2023 21:00","Import","759"
"11.01.2023 21:00 - 11.01.2023 22:00","Import","557"
"11.01.2023 22:00 - 11.01.2023 23:00","Import","803"
"11.01.2023 23:00 - 12.01.2023 00:00","Import","819"
