DynamicProfile,ProfileType
Aus_Solar,stochastic
Bel_Solar,stochastic
Cro_Solar,stochastic
Cze_Solar,stochastic
Dnk_Solar,stochastic
Fra_Solar,stochastic
Ger_Solar,stochastic
Hun_Solar,stochastic
Lux_Solar,stochastic
Net_Solar,stochastic
Pol_Solar,stochastic
Rom_Solar,stochastic
Slk_Solar,stochastic
Slv_Solar,stochastic
Swi_Solar,stochastic
Aus_Wind,stochastic
Bel_Wind,stochastic
Cro_Wind,stochastic
Cze_Wind,stochastic
Dnk_Wind,stochastic
Fra_Wind,stochastic
Ger_Wind,stochastic
Hun_Wind,stochastic
Lux_Wind,stochastic
Net_Wind,stochastic
Pol_Wind,stochastic
Rom_Wind,stochastic
Slk_Wind,stochastic
Slv_Wind,stochastic
Swi_Wind,stochastic
Aus_Hydro_Pumped_Storage,deterministic
Bel_Hydro_Pumped_Storage,deterministic
Cro_Hydro_Pumped_Storage,deterministic
Cze_Hydro_Pumped_Storage,deterministic
Dnk_Hydro_Pumped_Storage,deterministic
Fra_Hydro_Pumped_Storage,deterministic
Ger_Hydro_Pumped_Storage,deterministic
Hun_Hydro_Pumped_Storage,deterministic
Lux_Hydro_Pumped_Storage,deterministic
Net_Hydro_Pumped_Storage,deterministic
Pol_Hydro_Pumped_Storage,deterministic
Rom_Hydro_Pumped_Storage,deterministic
Slk_Hydro_Pumped_Storage,deterministic
Slv_Hydro_Pumped_Storage,deterministic
Swi_Hydro_Pumped_Storage,deterministic
Aus_Hydro_Water_Reservoir,deterministic
Bel_Hydro_Water_Reservoir,deterministic
Fra_Hydro_Water_Reservoir,deterministic
Cro_Hydro_Water_Reservoir,deterministic
Cze_Hydro_Water_Reservoir,deterministic
Dnk_Hydro_Water_Reservoir,deterministic
Ger_Hydro_Water_Reservoir,deterministic
Hun_Hydro_Water_Reservoir,deterministic
Lux_Hydro_Water_Reservoir,deterministic
Net_Hydro_Water_Reservoir,deterministic
Pol_Hydro_Water_Reservoir,deterministic
Rom_Hydro_Water_Reservoir,deterministic
Slk_Hydro_Water_Reservoir,deterministic
Slv_Hydro_Water_Reservoir,deterministic
Swi_Hydro_Water_Reservoir,deterministic
Aus_Hydro_Run-of-river,deterministic
Bel_Hydro_Run-of-river,deterministic
Cro_Hydro_Run-of-river,deterministic
Cze_Hydro_Run-of-river,deterministic
Dnk_Hydro_Run-of-river,deterministic
Fra_Hydro_Run-of-river,deterministic
Ger_Hydro_Run-of-river,deterministic
Hun_Hydro_Run-of-river,deterministic
Lux_Hydro_Run-of-river,deterministic
Nl_Hydro_Run-of-river,deterministic
Pol_Hydro_Run-of-river,deterministic
Rom_Hydro_Run-of-river,deterministic
Slk_Hydro_Run-of-river,deterministic
Slv_Hydro_Run-of-river,deterministic
Swi_Hydro_Run-of-river,deterministic
Fra_Load,deterministic
Bel_Load,deterministic
Swi_Load,deterministic
Lux_Load,deterministic
Net_Load,deterministic
Ger_Load,deterministic
Aus_Load,deterministic
Dnk_Load,deterministic
Cze_Load,deterministic
Pol_Load,deterministic
Hun_Load,deterministic
Slk_Load,deterministic
Slv_Load,deterministic
Cro_Load,deterministic
Rom_Load,deterministic
