HeatRateCurve,SeriesHRC,InterceptHRC,SlopeHRC
BIOMASSOTHER_05_1,BIOMASSOTHER_05,0,12
CCGT_NAT_GAS_07_1,CCGT_NAT_GAS_07,0,5.7034
CCGT_NAT_GAS_07_2,CCGT_NAT_GAS_07,-0.208964654,6.1213
CCGT_NAT_GAS_07_3,CCGT_NAT_GAS_07,-0.522452579,6.5393
CCGT_NAT_GAS_08_1,CCGT_NAT_GAS_08,0,6.7925
CCGT_NAT_GAS_11_1,CCGT_NAT_GAS_11,0,5.4797
CCGT_NAT_GAS_11_2,CCGT_NAT_GAS_11,-0.200815455,5.8813
CCGT_NAT_GAS_11_3,CCGT_NAT_GAS_11,-0.5019525,6.2828
CCGT_NAT_GAS_19_1,CCGT_NAT_GAS_19,0,7.2
CCGT_NAT_GAS_19_2,CCGT_NAT_GAS_19,-0.405,8.01
CCGT_NAT_GAS_19_3,CCGT_NAT_GAS_19,-0.54,8.19
CHP_COAL_01_1,CHP_COAL_01,0,9.7297
CHP_COAL_04_1,CHP_COAL_04,0,11.6129
CHP_NAT_GAS_06_1,CHP_NAT_GAS_06,0,7.614
CHP_NAT_GAS_06_2,CHP_NAT_GAS_06,-0.279,8.172
CHP_NAT_GAS_06_3,CHP_NAT_GAS_06,-0.6975,8.73
CHP_NAT_GAS_14_1,CHP_NAT_GAS_14,0,5.64
CHP_NAT_GAS_14_2,CHP_NAT_GAS_14,-0.20665,6.0533
CHP_NAT_GAS_14_3,CHP_NAT_GAS_14,-0.516691753,6.4667
CST_COAL_01_1,CST_COAL_01,0,9.2308
CST_COAL_02_1,CST_COAL_02,0,8.1127
CST_COAL_02_2,CST_COAL_02,-0.152111957,8.4169
CST_COAL_02_3,CST_COAL_02,-1.216886685,9.8366
CST_COAL_04_1,CST_COAL_04,0,8.2314
CST_COAL_04_2,CST_COAL_04,-0.301624291,8.8346
CST_COAL_04_3,CST_COAL_04,-0.754025681,9.4378
CST_COAL_05_1,CST_COAL_05,0,7.3846
CST_COAL_05_2,CST_COAL_05,-0.415392332,8.2154
CST_COAL_05_3,CST_COAL_05,-0.553846166,8.4
CST_COAL_06_1,CST_COAL_06,0,8.5714
CST_COAL_07_1,CST_COAL_07,0,8.0147
CST_COAL_07_2,CST_COAL_07,-0.2936815,8.6021
CST_COAL_07_3,CST_COAL_07,-0.734230167,9.1895
CST_COAL_08_1,CST_COAL_08,0,7.05
CST_COAL_08_2,CST_COAL_08,-0.258349915,7.5667
CST_COAL_08_3,CST_COAL_08,-0.645808319,8.0833
CST_COAL_12_1,CST_COAL_12,0,7.3672
CST_COAL_12_2,CST_COAL_12,-0.269950577,7.9071
CST_COAL_12_3,CST_COAL_12,-0.674872692,8.447
CST_COAL_14_1,CST_COAL_14,0,9.0203
CST_COAL_16_1,CST_COAL_16,0,7.7838
CST_COAL_16_2,CST_COAL_16,-0.437858182,8.6595
CST_COAL_16_3,CST_COAL_16,-0.583818182,8.8541
CST_COAL_28_1,CST_COAL_28,0,9.8245
CST_COAL_28_2,CST_COAL_28,-0.35999115,10.5445
CST_COAL_28_3,CST_COAL_28,-0.899987611,11.2645
CST_COAL_29_1,CST_COAL_29,0,9.2903
CST_COAL_29_2,CST_COAL_29,-0.522589474,10.3355
CST_COAL_29_3,CST_COAL_29,-0.696743158,10.5677
CST_LIGNITE_02_1,CST_LIGNITE_02,0,8.3721
CST_LIGNITE_07_1,CST_LIGNITE_07,0,8.2286
CST_LIGNITE_07_2,CST_LIGNITE_07,-0.462864474,9.1543
CST_LIGNITE_07_3,CST_LIGNITE_07,-0.617142982,9.36
CST_LIGNITE_13_1,CST_LIGNITE_13,0,6.443
CST_LIGNITE_13_2,CST_LIGNITE_13,-0.362424324,7.1678
CST_LIGNITE_13_3,CST_LIGNITE_13,-0.483252703,7.3289
GST_FUELOIL_1_02_1,GST_FUELOIL_1_02,0,10.2857
GST_NAT_GAS_02_1,GST_NAT_GAS_02,0,8.7017
GST_NAT_GAS_02_2,GST_NAT_GAS_02,-0.318842926,9.3394
GST_NAT_GAS_02_3,GST_NAT_GAS_02,-0.797110772,9.9771
NUCLEAR_01_1,NUCLEAR_01,0,8
NUCLEAR_01_2,NUCLEAR_01,-0.15,8.3
NUCLEAR_01_3,NUCLEAR_01,-1.2,9.7
NUCLEAR_03_1,NUCLEAR_03,0,10.9091
NUCLEAR_04_1,NUCLEAR_04,0,9.2291
NUCLEAR_04_2,NUCLEAR_04,-0.338204548,9.9055
NUCLEAR_04_3,NUCLEAR_04,-0.845440936,10.5818
NUCLEAR_05_1,NUCLEAR_05,0,8.7273
NUCLEAR_05_2,NUCLEAR_05,-0.163613649,9.0545
NUCLEAR_05_3,NUCLEAR_05,-1.309077299,10.5818
NUCLEAR_06_1,NUCLEAR_06,0,8.7273
NUCLEAR_06_2,NUCLEAR_06,-0.490913615,9.7091
NUCLEAR_06_3,NUCLEAR_06,-0.654565846,9.9273
NUCLEAR_07_1,NUCLEAR_07,0,8.46
NUCLEAR_07_2,NUCLEAR_07,-0.31,9.08
NUCLEAR_07_3,NUCLEAR_07,-0.775,9.7
NUCLEAR_08_1,NUCLEAR_08,0,11.1111
