Line;LineType;FromBus;ToBus;Reactance;FlowLimitForw;FlowLimitBack;FOR
Rom_41.To.Rom_39;AC;Rom_41;Rom_39;2.73912567109;99.0;99.0;3
Slk_13.To.Slk_6;AC;Slk_13;Slk_6;3.86458494358;707.0;707.0;3
Cze_25.To.Cze_24;AC;Cze_25;Cze_24;4.00705241225;821.0;821.0;3
Fra_314.To.Fra_288;AC;Fra_314;Fra_288;4.13804518745;1000.0;1000.0;3
Cro_16.To.Cro_5;AC;Cro_16;Cro_5;4.23513467728;734.0;734.0;3
Rom_52.To.Rom_39;AC;Rom_52;Rom_39;4.87900078064;99.0;99.0;3
Pol_22.To.Pol_19;AC;Pol_22;Pol_19;5.01228008621;679.0;679.0;3
Cze_8.To.Cze_25;AC;Cze_8;Cze_25;5.13769009453;821.0;821.0;3
Pol_22.To.Pol_15;AC;Pol_22;Pol_15;5.31180282588;679.0;679.0;3
Fra_47.To.Fra_100;AC;Fra_47;Fra_100;5.36193029491;1000.0;1000.0;3
Rom_62.To.Rom_59;AC;Rom_62;Rom_59;5.57600089216;99.0;99.0;3
Rom_7.To.Rom_39;AC;Rom_7;Rom_39;5.78268663621;99.0;99.0;3
Rom_82.To.Rom_62;AC;Rom_82;Rom_62;5.78268663621;99.0;99.0;3
Rom_6.To.Rom_46;AC;Rom_6;Rom_46;5.89171036352;99.0;99.0;3
Pol_88.To.Pol_56;AC;Pol_88;Pol_56;6.07791892056;679.0;679.0;3
Pol_18.To.Pol_33;AC;Pol_18;Pol_33;6.22238815257;679.0;679.0;3
Fra_112.To.Fra_140;AC;Fra_112;Fra_140;6.30238860528;1000.0;1000.0;3
Cze_1.To.Cze_30;AC;Cze_1;Cze_30;6.30715862504;821.0;821.0;3
Pol_4.To.Pol_67;AC;Pol_4;Pol_67;6.33793890227;679.0;679.0;3
Rom_37.To.Rom_60;AC;Rom_37;Rom_60;6.50533437419;99.0;99.0;3
Fra_215.To.Fra_182;AC;Fra_215;Fra_182;6.57202944269;1000.0;1000.0;3
Fra_45.To.Fra_62;AC;Fra_45;Fra_62;6.63305916689;1000.0;1000.0;3
Fra_100.To.Fra_145;AC;Fra_100;Fra_145;6.65335994677;1000.0;1000.0;3
Pol_56.To.Pol_8;AC;Pol_56;Pol_8;6.7494600432;679.0;679.0;3
Cro_16.To.Cro_9;AC;Cro_16;Cro_9;6.77093912926;734.0;734.0;3
Pol_57.To.Pol_54;AC;Pol_57;Pol_54;6.80457267284;679.0;679.0;3
Fra_47.To.Fra_88;AC;Fra_47;Fra_88;6.85776985324;1000.0;1000.0;3
Cro_7.To.Cro_18;AC;Cro_7;Cro_18;6.91658597316;734.0;734.0;3
Fra_48.To.Fra_81;AC;Fra_48;Fra_81;6.9285664796;1000.0;1000.0;3
Pol_9.To.Pol_67;AC;Pol_9;Pol_67;7.1007597813;679.0;679.0;3
Cze_15.To.Cze_14;AC;Cze_15;Cze_14;7.22125938764;821.0;821.0;3
Rom_82.To.Rom_50;AC;Rom_82;Rom_50;7.26163677293;99.0;99.0;3
Pol_24.To.Pol_22;AC;Pol_24;Pol_22;7.27008360596;679.0;679.0;3
Pol_26.To.Pol_22;AC;Pol_26;Pol_22;7.3046018992;679.0;679.0;3
Hun_21.To.Hun_4;AC;Hun_21;Hun_4;7.36919675755;1053.0;1053.0;3
Pol_48.To.Pol_25;AC;Pol_48;Pol_25;7.41454734188;679.0;679.0;3
Rom_75.To.Rom_41;AC;Rom_75;Rom_41;7.43494423792;99.0;99.0;3
Rom_78.To.Rom_10;AC;Rom_78;Rom_10;7.43494423792;99.0;99.0;3
Fra_100.To.Fra_85;AC;Fra_100;Fra_85;7.46547219112;1000.0;1000.0;3
Fra_295.To.Fra_297;AC;Fra_295;Fra_297;7.64175454684;1000.0;1000.0;3
Fra_295.To.Fra_281;AC;Fra_295;Fra_281;7.82840144043;1000.0;1000.0;3
Slk_11.To.Cze_25;AC;Slk_11;Cze_25;7.9063883618;707.0;707.0;3
Fra_91.To.Fra_133;AC;Fra_91;Fra_133;7.94723039021;1000.0;1000.0;3
Fra_45.To.Fra_37;AC;Fra_45;Fra_37;8.03212851406;1000.0;1000.0;3
Pol_28.To.Pol_13;AC;Pol_28;Pol_13;8.15860324712;679.0;679.0;3
Rom_32.To.Rom_13;AC;Rom_32;Rom_13;8.21760210371;99.0;99.0;3
Pol_47.To.Pol_40;AC;Pol_47;Pol_40;8.25491167245;679.0;679.0;3
Fra_110.To.Fra_133;AC;Fra_110;Fra_133;8.25832025766;1000.0;1000.0;3
Fra_79.To.Fra_107;AC;Fra_79;Fra_107;8.34863917181;1000.0;1000.0;3
Pol_74.To.Pol_76;AC;Pol_74;Pol_76;8.3970106642;679.0;679.0;3
Pol_18.To.Pol_15;AC;Pol_18;Pol_15;8.5055711491;679.0;679.0;3
Fra_313.To.Fra_289;AC;Fra_313;Fra_289;8.50918992512;1000.0;1000.0;3
Pol_2.To.Pol_88;AC;Pol_2;Pol_88;8.55578370979;679.0;679.0;3
Fra_72.To.Fra_64;AC;Fra_72;Fra_64;8.5601780517;1000.0;1000.0;3
Fra_78.To.Fra_6;AC;Fra_78;Fra_6;8.60067085233;1000.0;1000.0;3
Ger_86.To.Ger_85;AC;Ger_86;Ger_85;8.63632438034;1149.0;1149.0;3
Fra_140.To.Fra_165;AC;Fra_140;Fra_165;8.66250866251;1000.0;1000.0;3
Fra_140.To.Fra_107;AC;Fra_140;Fra_107;8.6692674469;1000.0;1000.0;3
Rom_82.To.Rom_3;AC;Rom_82;Rom_3;8.67377916558;99.0;99.0;3
Fra_284.To.Fra_74;AC;Fra_284;Fra_74;8.68658790827;1000.0;1000.0;3
Hun_17.To.Hun_4;AC;Hun_17;Hun_4;8.71459694989;1053.0;1053.0;3
Fra_200.To.Fra_199;AC;Fra_200;Fra_199;8.73133676766;1000.0;1000.0;3
Cze_9.To.Cze_21;AC;Cze_9;Cze_21;8.75196919307;821.0;821.0;3
Fra_208.To.Fra_203;AC;Fra_208;Fra_203;8.87311446318;1000.0;1000.0;3
Fra_215.To.Fra_186;AC;Fra_215;Fra_186;8.91981090001;1000.0;1000.0;3
Rom_59.To.Rom_15;AC;Rom_59;Rom_15;8.92140244446;99.0;99.0;3
Rom_64.To.Rom_75;AC;Rom_64;Rom_75;8.92140244446;99.0;99.0;3
Fra_70.To.Fra_27;AC;Fra_70;Fra_27;8.97666068223;1000.0;1000.0;3
Pol_9.To.Pol_22;AC;Pol_9;Pol_22;9.01469395114;679.0;679.0;3
Pol_4.To.Pol_12;AC;Pol_4;Pol_12;9.04159132007;679.0;679.0;3
Pol_64.To.Pol_85;AC;Pol_64;Pol_85;9.0991810737;679.0;679.0;3
Fra_164.To.Fra_185;AC;Fra_164;Fra_185;9.19286633572;1000.0;1000.0;3
Pol_27.To.Pol_14;AC;Pol_27;Pol_14;9.19286633572;679.0;679.0;3
Slv_2.To.Cro_8;AC;Slv_2;Cro_8;9.2980009298;754.0;754.0;3
Fra_302.To.Fra_27;AC;Fra_302;Fra_27;9.32227090519;1000.0;1000.0;3
Cze_7.To.Cze_16;AC;Cze_7;Cze_16;9.39937964094;821.0;821.0;3
Rom_83.To.Rom_22;AC;Rom_83;Rom_22;9.46252838759;99.0;99.0;3
Fra_62.To.Fra_37;AC;Fra_62;Fra_37;9.57395883198;1000.0;1000.0;3
Pol_88.To.Pol_14;AC;Pol_88;Pol_14;9.58588957055;679.0;679.0;3
Fra_120.To.Fra_145;AC;Fra_120;Fra_145;9.59232613909;1000.0;1000.0;3
Fra_100.To.Fra_102;AC;Fra_100;Fra_102;9.66370313104;1000.0;1000.0;3
Pol_72.To.Pol_58;AC;Pol_72;Pol_58;9.7200622084;679.0;679.0;3
Fra_153.To.Fra_172;AC;Fra_153;Fra_172;9.72289742343;1000.0;1000.0;3
Slv_3.To.Aus_26;AC;Slv_3;Aus_26;9.74184120799;754.0;754.0;3
Rom_30.To.Rom_39;AC;Rom_30;Rom_39;9.75800156128;99.0;99.0;3
Fra_164.To.Fra_177;AC;Fra_164;Fra_177;9.76944118796;1000.0;1000.0;3
Fra_227.To.Fra_242;AC;Fra_227;Fra_242;9.77039570103;1000.0;1000.0;3
Fra_140.To.Fra_167;AC;Fra_140;Fra_167;9.78377849525;1000.0;1000.0;3
Ger_171.To.Ger_211;AC;Ger_171;Ger_211;9.78760888715;1149.0;1149.0;3
Fra_9.To.Fra_242;AC;Fra_9;Fra_242;9.84348853234;1000.0;1000.0;3
