Load,BusLoad,DynamicProfileLoad,ReferenceValueLoad,LoadValuation
Load_Fra_12,Fra_12,Fra_Load,271.077312000528,3000
Load_Fra_115,Fra_115,Fra_Load,927.678555449151,3000
Load_Fra_223,Fra_223,Fra_Load,276.200939746646,3000
Load_Fra_253,Fra_253,Fra_Load,288.32963983053,3000
Load_Fra_263,Fra_263,Fra_Load,397.247245401322,3000
Load_Fra_284,Fra_284,Fra_Load,1870.46410814814,3000
Load_Fra_285,Fra_285,Fra_Load,363.448550437678,3000
Load_Fra_296,Fra_296,Fra_Load,917.770646648636,3000
Load_Fra_307,Fra_307,Fra_Load,871.086289253002,3000
Load_Fra_13,Fra_13,Fra_Load,759.375731772867,3000
Load_Fra_24,Fra_24,Fra_Load,1295.94907199829,3000
Load_Fra_43,Fra_43,Fra_Load,131.553823572247,3000
Load_Fra_44,Fra_44,Fra_Load,105.580938006429,3000
Load_Fra_55,Fra_55,Fra_Load,342.16980979218,3000
Load_Fra_65,Fra_65,Fra_Load,74.0710667248427,3000
Load_Fra_74,Fra_74,Fra_Load,210.56290101936,3000
Load_Fra_95,Fra_95,Fra_Load,84.9348714919954,3000
Load_Fra_96,Fra_96,Fra_Load,143.705080336922,3000
Load_Fra_106,Fra_106,Fra_Load,79.5204528007581,3000
Load_Fra_116,Fra_116,Fra_Load,715.077853086965,3000
Load_Fra_127,Fra_127,Fra_Load,248.18871282365,3000
Load_Fra_138,Fra_138,Fra_Load,103.808743844629,3000
Load_Fra_148,Fra_148,Fra_Load,212.187163214375,3000
Load_Fra_159,Fra_159,Fra_Load,121.635134671274,3000
Load_Fra_8,Fra_8,Fra_Load,533.264936453857,3000
Load_Fra_180,Fra_180,Fra_Load,173.716789422123,3000
Load_Fra_191,Fra_191,Fra_Load,81.344735683258,3000
Load_Fra_202,Fra_202,Fra_Load,234.186268219872,3000
Load_Fra_212,Fra_212,Fra_Load,41.4923348945115,3000
Load_Fra_224,Fra_224,Fra_Load,98.0895834900319,3000
Load_Fra_234,Fra_234,Fra_Load,123.001942702417,3000
Load_Fra_245,Fra_245,Fra_Load,166.157855452437,3000
Load_Fra_247,Fra_247,Fra_Load,75.9312228828154,3000
Load_Fra_248,Fra_248,Fra_Load,568.933661785136,3000
Load_Fra_249,Fra_249,Fra_Load,33.6796609132104,3000
Load_Fra_250,Fra_250,Fra_Load,260.774615991653,3000
Load_Fra_251,Fra_251,Fra_Load,83.9025183422799,3000
Load_Fra_252,Fra_252,Fra_Load,277.103841101789,3000
Load_Fra_11,Fra_11,Fra_Load,635.483479597354,3000
Load_Fra_254,Fra_254,Fra_Load,299.832188197072,3000
Load_Fra_255,Fra_255,Fra_Load,181.206513335091,3000
Load_Fra_256,Fra_256,Fra_Load,400.502292205074,3000
Load_Fra_257,Fra_257,Fra_Load,66.4763500687624,3000
Load_Fra_258,Fra_258,Fra_Load,145.981130958771,3000
Load_Fra_259,Fra_259,Fra_Load,205.046479024631,3000
Load_Fra_260,Fra_260,Fra_Load,109.638604054345,3000
Load_Fra_261,Fra_261,Fra_Load,659.19797941182,3000
Load_Fra_262,Fra_262,Fra_Load,214.608699897864,3000
Load_Fra_264,Fra_264,Fra_Load,190.141495422028,3000
Load_Fra_265,Fra_265,Fra_Load,708.166178090138,3000
Load_Fra_266,Fra_266,Fra_Load,892.227696854014,3000
Load_Fra_267,Fra_267,Fra_Load,49.8855942861781,3000
Load_Fra_268,Fra_268,Fra_Load,920.42499726638,3000
Load_Fra_269,Fra_269,Fra_Load,106.344422768258,3000
Load_Fra_270,Fra_270,Fra_Load,48.2484684418768,3000
Load_Fra_271,Fra_271,Fra_Load,253.773348395224,3000
Load_Fra_272,Fra_272,Fra_Load,309.912488015831,3000
Load_Fra_273,Fra_273,Fra_Load,165.000127016726,3000
Load_Fra_274,Fra_274,Fra_Load,214.693128919936,3000
Load_Fra_275,Fra_275,Fra_Load,373.977719145245,3000
Load_Fra_276,Fra_276,Fra_Load,197.037860864423,3000
Load_Fra_277,Fra_277,Fra_Load,200.723568152008,3000
Load_Fra_278,Fra_278,Fra_Load,81.8564733932213,3000
Load_Fra_279,Fra_279,Fra_Load,300.888275685611,3000
Load_Fra_280,Fra_280,Fra_Load,176.122835373023,3000
Load_Fra_281,Fra_281,Fra_Load,28.5356506242108,3000
Load_Fra_282,Fra_282,Fra_Load,315.423837022109,3000
Load_Fra_283,Fra_283,Fra_Load,36.4543138284995,3000
Load_Fra_286,Fra_286,Fra_Load,163.256377825881,3000
Load_Fra_287,Fra_287,Fra_Load,299.46919775561,3000
Load_Fra_288,Fra_288,Fra_Load,252.528926210454,3000
Load_Fra_289,Fra_289,Fra_Load,660.034207204468,3000
Load_Fra_290,Fra_290,Fra_Load,318.576246398815,3000
Load_Fra_291,Fra_291,Fra_Load,87.546373475147,3000
