Unnamed: 0,id,dateTimeUtc,tso,cneName,cneEic,direction,hubFrom,hubTo,substationFrom,substationTo,elementType,fmaxType,contTso,contName,contingencies,presolved,ram,minRamFactor,minRamTarget,justification,imax,u,fmax,frm,frefInit,fnrao,fref,fcore,fall,fuaf,amr,ltaMargin,cva,iva,ftotalLtn,fltn,ptdf_Swi,ptdf_ALDE,ptdf_Aus,ptdf_Bel,ptdf_Cze,ptdf_Ger,ptdf_Fra,ptdf_Cro,ptdf_Hun,ptdf_Net,ptdf_Pol,ptdf_Rom,ptdf_Slv,ptdf_Slk,ptdf_Dnk,ptdf_Lux
0,334090982,2023-11-04T00:00:00Z,APG,Salzburg - Tauern 231A ,14T-220-0-0231AB,DIRECT,Aus,Aus,Salzburg ,Tauern,Line,SEASONAL,APG,Salzburg - Tauern 232A,"[{'number': 1, 'branchName': 'Salzburg - Tauern 232A', 'branchEic': '14T-220-0-0232A8', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Salzburg ', 'substationTo': 'Tauern', 'elementType': 'Line'}]",True,255.0,34.1,0.305,LFcalc = 1.4% ; LFaccept = 5.6%,1000.0,220.0,390.0,35.0,151.0,-3.0,154.0,100.0,87.0,14.0,0.0,0.0,0.0,0.0,100.0,0.0,0.00249,-0.00181,-0.04262,-0.00343,0.00892,-0.00272,-0.00541,-0.00533,0.00249,-0.00179,0.00469,0.00042,-0.00879,0.00473,-0.00179,0.00249
1,334091100,2023-11-04T00:00:00Z,APG,Wien Suedost - Gyoer 245 ,10T-AT-HU-00002U,DIRECT,Aus,Hun,Wien Suedost,Gyoer 245,TieLine,SEASONAL,MAVIR,Gyor - Neusiedl Neusiedl - Gyoer 246B,"[{'number': 1, 'branchName': 'Gyor - Neusiedl', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Neusiedl', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Neusiedl - Gyoer 246B', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Neusiedl', 'substationTo': 'Gyoer 246B', 'elementType': 'TieLine'}]",True,158.0,24.6,0.229,,600.0,220.0,234.0,23.0,120.0,0.0,120.0,53.0,49.0,4.0,0.0,0.0,0.0,0.0,53.0,0.0,-0.01466,0.02615,0.03679,0.02624,0.02609,0.02625,0.02636,0.01279,-0.01466,0.02605,0.01423,-0.00118,0.02197,0.00516,0.02605,-0.01466
2,334091128,2023-11-04T00:00:00Z,APG,Obersielach - Podlog 247 ,10T-AT-SI-00003P,DIRECT,Aus,Slv,Obersielach,Podlog,TieLine,SEASONAL,ELES,400 kV Cirkovce - Podlog,"[{'number': 1, 'branchName': '400 kV Cirkovce - Podlog', 'branchEic': '28T000000000301K', 'hubFrom': 'SI', 'hubTo': 'SI', 'substationFrom': 'Cirkovce', 'substationTo': 'Podlog', 'elementType': 'Line'}]",True,239.0,27.8,0.2,,1210.0,220.0,472.0,37.0,240.0,-2.0,242.0,195.0,86.0,109.0,0.0,0.0,0.0,0.0,196.0,1.0,0.01805,0.02752,0.08544,0.02605,0.03188,0.02988,0.02388,-0.04028,0.01805,0.02723,0.02592,0.00308,-0.0817,0.02386,0.02723,0.01805
3,334091129,2023-11-04T00:00:00Z,APG,Obersielach - Podlog 247 ,10T-AT-SI-00003P,OPPOSITE,Aus,Slv,Obersielach,Podlog,TieLine,SEASONAL,ELES,400 kV Cirkovce - Podlog,"[{'number': 1, 'branchName': '400 kV Cirkovce - Podlog', 'branchEic': '28T000000000301K', 'hubFrom': 'SI', 'hubTo': 'SI', 'substationFrom': 'Cirkovce', 'substationTo': 'Podlog', 'elementType': 'Line'}]",True,631.0,27.8,0.509,,1210.0,220.0,472.0,37.0,-240.0,2.0,-242.0,-195.0,-86.0,-109.0,0.0,0.0,0.0,0.0,-196.0,-1.0,-0.01805,-0.02752,-0.08544,-0.02605,-0.03188,-0.02988,-0.02388,0.04028,-0.01805,-0.02723,-0.02592,-0.00308,0.0817,-0.02386,-0.02723,-0.01805
4,334091174,2023-11-04T00:00:00Z,APG,Pleinting - St. Peter 258 ,10T-AT-DE-000037,OPPOSITE,Ger,Aus,Pleinting,St. Peter,TieLine,SEASONAL,TENNETGMBH,Pirach - St. Peter 256 Pirach - St. Peter 256,"[{'number': 1, 'branchName': 'Pirach - St. Peter 256', 'branchEic': '10T-AT-DE-000029', 'hubFrom': 'DE', 'hubTo': 'AT', 'substationFrom': 'Pirach', 'substationTo': 'St. Peter', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Pirach - St. Peter 256', 'branchEic': '10T-AT-DE-000029', 'hubFrom': 'DE', 'hubTo': 'AT', 'substationFrom': 'Pirach', 'substationTo': 'St. Peter', 'elementType': 'TieLine'}]",True,481.0,24.8,0.273,,1733.0,220.0,675.0,52.0,-94.0,4.0,-98.0,142.0,158.0,-17.0,0.0,0.0,0.0,0.0,142.0,0.0,0.00348,-0.07552,0.03395,-0.07451,-0.03277,-0.0758,-0.0731,0.00106,0.00348,-0.07482,-0.032,0.0,-0.00062,-0.00519,-0.07482,0.00348
5,334091187,2023-11-04T00:00:00Z,APG,Pleinting - St. Peter 258 ,10T-AT-DE-000037,DIRECT,Ger,Aus,Pleinting,St. Peter,TieLine,SEASONAL,TENNETGMBH,Pirach - Pleinting 257,"[{'number': 1, 'branchName': 'Pirach - Pleinting 257', 'branchEic': '11TD2L000000201H', 'hubFrom': 'DE', 'hubTo': 'DE', 'substationFrom': 'Pirach', 'substationTo': 'Pleinting', 'elementType': 'Line'}]",True,666.0,23.6,0.209,,1733.0,220.0,675.0,52.0,214.0,-5.0,219.0,-43.0,-61.0,18.0,0.0,0.0,0.0,0.0,-43.0,0.0,-0.00381,0.08252,-0.03712,0.08143,0.03587,0.08284,0.07991,-0.00116,-0.00381,0.08176,0.03497,0.0,0.00069,0.00567,0.08176,-0.00381
6,334091206,2023-11-04T00:00:00Z,APG,Rosegg - Villach Sued 267B ,14T-220-0-0267BG,DIRECT,Aus,Aus,Rosegg,Villach,Line,SEASONAL,APG,Feistritz - Villach 266C,"[{'number': 1, 'branchName': 'Feistritz - Villach 266C', 'branchEic': '14T-220-0-0266CH', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Feistritz ', 'substationTo': 'Villach', 'elementType': 'Line'}]",True,709.0,26.9,0.358,LFcalc = 8% ; LFaccept = 6.1%,2000.0,220.0,779.0,76.0,22.0,0.0,22.0,-6.0,63.0,-69.0,0.0,0.0,0.0,0.0,-6.0,0.0,-0.00257,-0.0398,-0.14917,-0.0403,-0.02048,-0.04139,-0.04076,0.0081,-0.00257,-0.03945,-0.01881,-0.0006,0.0123,-0.00868,-0.03945,-0.00257
7,334091245,2023-11-04T00:00:00Z,APG,Vill_Thaur - Silz 273C ,10T1001C--000332,OPPOSITE,Aus,Ger,Vill_Thaur ,Silz,TieLine,SEASONAL,APG,Vill_Thaur - Silz 274C Vill_Thaur - Silz 274C Vill_Thaur - Silz 274C Vill_Thaur - Silz 274C,"[{'number': 1, 'branchName': 'Vill_Thaur - Silz 274C', 'branchEic': '10T1001C--000324', 'hubFrom': 'AT', 'hubTo': 'DE', 'substationFrom': 'Vill_Thaur ', 'substationTo': 'Silz', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'NA', 'branchEic': '10T1001C--000324', 'hubFrom': 'NA', 'hubTo': 'NA', 'substationFrom': 'NA', 'substationTo': 'NA', 'elementType': None}, {'number': 3, 'branchName': 'NA', 'branchEic': '10T1001C--000324', 'hubFrom': 'NA', 'hubTo': 'NA', 'substationFrom': 'NA', 'substationTo': 'NA', 'elementType': None}, {'number': 4, 'branchName': 'NA', 'branchEic': '10T1001C--000324', 'hubFrom': 'NA', 'hubTo': 'NA', 'substationFrom': 'NA', 'substationTo': 'NA', 'elementType': None}]",True,542.0,34.5,0.425,LFcalc = 4.1% ; LFaccept = 55.5%,1572.0,220.0,613.0,60.0,184.0,1.0,183.0,11.0,60.0,-49.0,0.0,0.0,0.0,0.0,11.0,0.0,-0.00016,0.03703,-0.07142,0.0383,0.01232,0.04037,0.03975,-0.00243,-0.00016,0.03669,0.01363,0.00016,-0.003,0.00386,0.03669,-0.00016
8,334091253,2023-11-04T00:00:00Z,APG,Thaur - Y_Vill 273C-THA ,14T-220-0-0273CM,OPPOSITE,Aus,Aus,Thaur,Y_Vill,Line,SEASONAL,APG,Thaur - Y_Vill 274C-THA,"[{'number': 1, 'branchName': 'Thaur - Y_Vill 274C-THA', 'branchEic': '14T-220-0-0274CJ', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Thaur', 'substationTo': 'Y_Vill', 'elementType': 'Line'}]",True,549.0,30.9,0.392,LFcalc = -10.7% ; LFaccept = 5.9%,1572.0,220.0,613.0,60.0,184.0,1.0,183.0,4.0,55.0,-51.0,0.0,0.0,0.0,0.0,4.0,0.0,-0.00018,0.03966,-0.07122,0.04104,0.01315,0.04301,0.04261,-0.00259,-0.00018,0.0393,0.01457,0.00017,-0.00319,0.00412,0.0393,-0.00018
9,334091559,2023-11-04T00:00:00Z,APG,Sarasdorf - Zurndorf 439A ,14T-380-0-0439AA,OPPOSITE,Aus,Aus,Sarasdorf ,Zurndorf,Line,SEASONAL,APG,Sarasdorf - Zurndorf 440A,"[{'number': 1, 'branchName': 'Sarasdorf - Zurndorf 440A', 'branchEic': '14T-380-0-0440AX', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Sarasdorf ', 'substationTo': 'Zurndorf', 'elementType': 'Line'}]",True,1342.0,19.5,0.235,LFcalc = 11.7% ; LFaccept = 6.5%,2300.0,380.0,1593.0,152.0,-286.0,1.0,-287.0,98.0,161.0,-63.0,0.0,0.0,0.0,0.0,99.0,1.0,0.04343,-0.1523,-0.20246,-0.15188,-0.16584,-0.15356,-0.15129,-0.04588,0.04343,-0.15168,-0.08592,0.00349,-0.0937,-0.01245,-0.15168,0.04343
