Unnamed: 0,id,dateTimeUtc,tso,cneName,cneEic,direction,hubFrom,hubTo,substationFrom,substationTo,elementType,fmaxType,contTso,contName,contingencies,presolved,ram,minRamFactor,minRamTarget,justification,imax,u,fmax,frm,frefInit,fnrao,fref,fcore,fall,fuaf,amr,ltaMargin,cva,iva,ftotalLtn,fltn,ptdf_Swi,ptdf_ALDE,ptdf_Aus,ptdf_Bel,ptdf_Cze,ptdf_Ger,ptdf_Fra,ptdf_Cro,ptdf_Hun,ptdf_Net,ptdf_Pol,ptdf_Rom,ptdf_Slv,ptdf_Slk,ptdf_Dnk,ptdf_Lux
0,248252046,2023-05-20T00:00:00Z,APG,Hausruck - Sattledt 204B ,14T-220-0-0204BC,DIRECT,Aus,Aus,Hausruck ,Sattledt,Line,SEASONAL,APG,Ernsthofen 2 - Hausruck 203C,"[{'number': 1, 'branchName': 'Ernsthofen 2 - Hausruck 203C', 'branchEic': '14T-220-0-0203CD', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Ernsthofen 2 ', 'substationTo': 'Hausruck', 'elementType': 'Line'}]",True,471.0,28.7,0.387,LFcalc = -22.2% ; LFaccept = 6.1%,1077.0,220.0,420.0,30.0,-99.0,-9.0,-90.0,-81.0,-39.0,-42.0,0.0,0.0,0.0,0.0,-81.0,0.0,-0.00243,0.0432,-0.0501,0.04263,0.0163,0.0433,0.04142,-0.00088,-0.00243,0.04278,0.01981,-0.0001,-0.0005,0.00271,0.04278,-0.00243
1,248252095,2023-05-20T00:00:00Z,APG,Ernsthofen 2 - Ybbsfeld 206 ,14T-221-0-00206Q,OPPOSITE,Aus,Aus,Ernsthofen 2 ,Ybbsfeld,Line,SEASONAL,APG,Ernsthofen 2 - Wallsee 205A,"[{'number': 1, 'branchName': 'Ernsthofen 2 - Wallsee 205A', 'branchEic': '14T-220-0-0205AB', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Ernsthofen 2 ', 'substationTo': 'Wallsee', 'elementType': 'Line'}]",True,208.0,22.8,0.306,LFcalc = 13.4% ; LFaccept = 6%,959.0,220.0,374.0,36.0,125.0,17.0,108.0,130.0,158.0,-29.0,0.0,0.0,0.0,0.0,130.0,0.0,0.00309,-0.02633,-0.04762,-0.02629,-0.01035,-0.0265,-0.02613,-0.00143,0.00309,-0.02606,-0.01124,0.00028,-0.00307,-0.00063,-0.02606,0.00309
2,248252103,2023-05-20T00:00:00Z,APG,Bisamberg - Ybbsfeld 207 ,14T-220-0-00207Y,OPPOSITE,Aus,Aus,Bisamberg,Ybbsfeld,Line,SEASONAL,APG,Bisamberg - Ybbsfeld 208,"[{'number': 1, 'branchName': 'Bisamberg - Ybbsfeld 208', 'branchEic': '14T-220-0-00208W', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Bisamberg', 'substationTo': 'Ybbsfeld', 'elementType': 'Line'}]",True,207.0,31.7,0.234,LFcalc = -11.7% ; LFaccept = 5.8%,1018.0,220.0,397.0,30.0,167.0,-16.0,183.0,160.0,127.0,33.0,0.0,0.0,0.0,0.0,160.0,0.0,-0.00286,0.02435,0.0517,0.02432,0.00957,0.02451,0.02417,0.00133,-0.00286,0.0241,0.0104,-0.00026,0.00284,0.00058,0.0241,-0.00286
3,248252286,2023-05-20T00:00:00Z,APG,Hausruck - St. Peter 2 204A ,14T-220-0-0204AE,DIRECT,Aus,Aus,Hausruck ,St. Peter,Line,SEASONAL,APG,Aschach - St. Peter 2 203A,"[{'number': 1, 'branchName': 'Aschach - St. Peter 2 203A', 'branchEic': '14T-220-0-0203AH', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Aschach ', 'substationTo': 'St. Peter', 'elementType': 'Line'}]",True,203.0,20.1,0.2,LFcalc = 17.5% ; LFaccept = 5.8%,1200.0,220.0,468.0,30.0,253.0,8.0,245.0,235.0,191.0,45.0,0.0,0.0,0.0,0.0,235.0,0.0,0.00215,-0.0382,0.05304,-0.0377,-0.01441,-0.03829,-0.03663,0.00078,0.00215,-0.03783,-0.01751,9e-05,0.00044,-0.0024,-0.03783,0.00215
4,248252332,2023-05-20T00:00:00Z,APG,Wien Suedost - Gyoer 245 ,10T-AT-HU-00002U,DIRECT,Aus,Hun,Wien Suedost,Gyoer 245,TieLine,SEASONAL,MAVIR,Gyor - Neusiedl Neusiedl - Gyoer 246B,"[{'number': 1, 'branchName': 'Gyor - Neusiedl', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Neusiedl', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Neusiedl - Gyoer 246B', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Neusiedl', 'substationTo': 'Gyoer 246B', 'elementType': 'TieLine'}]",True,154.0,24.6,0.2,,600.0,220.0,234.0,23.0,94.0,0.0,94.0,54.0,39.0,15.0,0.0,0.0,0.0,0.0,57.0,3.0,-0.01518,0.02764,0.04131,0.0277,0.02975,0.02775,0.0278,0.01003,-0.01518,0.0275,0.01505,-0.00142,0.01971,0.00375,0.0275,-0.01518
5,248252418,2023-05-20T00:00:00Z,APG,Pleinting - St. Peter 258 ,10T-AT-DE-000037,OPPOSITE,Ger,Aus,Pleinting,St. Peter,TieLine,SEASONAL,TENNETGMBH,Pirach - Pleinting 257,"[{'number': 1, 'branchName': 'Pirach - Pleinting 257', 'branchEic': '11TD2L000000201H', 'hubFrom': 'DE', 'hubTo': 'DE', 'substationFrom': 'Pirach', 'substationTo': 'Pleinting', 'elementType': 'Line'}]",True,349.0,23.6,0.2,,1644.0,220.0,641.0,52.0,266.0,22.0,244.0,240.0,207.0,33.0,0.0,0.0,0.0,0.0,240.0,0.0,0.00494,-0.08585,0.05114,-0.08484,-0.02978,-0.08661,-0.08245,0.00128,0.00494,-0.08503,-0.03896,0.00024,0.00016,-0.00395,-0.08503,0.00494
6,248252775,2023-05-20T00:00:00Z,APG,Duernrohr 1 - Slavetice 437 ,10T-AT-CZ-00003X,DIRECT,Aus,Cze,Duernrohr 1,Slavetice,TieLine,SEASONAL,CEPS,Slavetice - Durnrohr - V438  Duernrohr 1 - Slavetice 438,"[{'number': 1, 'branchName': 'Slavetice - Durnrohr - V438 ', 'branchEic': '10T-AT-CZ-00004V', 'hubFrom': 'CZ', 'hubTo': 'AT', 'substationFrom': 'Slavetice ', 'substationTo': 'Durnrohr ', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Duernrohr 1 - Slavetice 438', 'branchEic': '10T-AT-CZ-00004V', 'hubFrom': 'AT', 'hubTo': 'CZ', 'substationFrom': 'Duernrohr 1', 'substationTo': 'Slavetice', 'elementType': 'TieLine'}]",True,2235.0,34.5,0.359,LFcalc = -18.4% ; LFaccept = 55.5%,2867.0,380.0,1986.0,148.0,-378.0,-11.0,-367.0,-401.0,-373.0,-28.0,0.0,0.0,0.0,0.0,-397.0,4.0,-0.00106,-0.04798,0.08233,-0.04478,-0.25218,-0.05055,-0.03837,0.02307,-0.00106,-0.04897,-0.07007,-0.00201,0.03714,-0.05977,-0.04897,-0.00106
7,248252776,2023-05-20T00:00:00Z,APG,Duernrohr 1 - Slavetice 437 ,10T-AT-CZ-00003X,OPPOSITE,Aus,Cze,Duernrohr 1,Slavetice,TieLine,SEASONAL,CEPS,Slavetice - Durnrohr - V438  Duernrohr 1 - Slavetice 438,"[{'number': 1, 'branchName': 'Slavetice - Durnrohr - V438 ', 'branchEic': '10T-AT-CZ-00004V', 'hubFrom': 'CZ', 'hubTo': 'AT', 'substationFrom': 'Slavetice ', 'substationTo': 'Durnrohr ', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Duernrohr 1 - Slavetice 438', 'branchEic': '10T-AT-CZ-00004V', 'hubFrom': 'AT', 'hubTo': 'CZ', 'substationFrom': 'Duernrohr 1', 'substationTo': 'Slavetice', 'elementType': 'TieLine'}]",True,1441.0,34.5,0.331,LFcalc = 18.4% ; LFaccept = 55.5%,2867.0,380.0,1986.0,148.0,378.0,11.0,367.0,401.0,373.0,28.0,0.0,0.0,0.0,0.0,397.0,-4.0,0.00106,0.04798,-0.08233,0.04478,0.25218,0.05055,0.03837,-0.02307,0.00106,0.04897,0.07007,0.00201,-0.03714,0.05977,0.04897,0.00106
8,248252947,2023-05-20T00:00:00Z,APG,Ernsthofen 2 - Ernsthofen 1 EHRHU42 ,14T-38220-EH0417,DIRECT,Aus,Aus,Ernsthofen 2 ,Ernsthofen 1 ,Transformer,SEASONAL,,,"[{'number': 1, 'branchName': None, 'branchEic': None, 'hubFrom': None, 'hubTo': None, 'substationFrom': None, 'substationTo': None, 'elementType': None}]",True,314.0,36.7,0.255,LFcalc = -10.5% ; LFaccept = 5.3%,1556.0,220.0,606.0,60.0,256.0,-16.0,272.0,231.0,163.0,68.0,0.0,0.0,0.0,0.0,232.0,1.0,-0.0031,0.01569,0.11122,0.01616,-0.00986,0.0157,0.017,0.00429,-0.0031,0.0154,0.00191,-0.00052,0.00757,-0.00526,0.0154,-0.0031
9,248253158,2023-05-20T00:00:00Z,APG,Westtirol 1 - Westtirol 2 WTRHU41 ,14T-38220-WT041O,OPPOSITE,Aus,Aus,Westtirol 1 ,Westtirol 2 ,Transformer,SEASONAL,TRANSNETBW,Buers - Westtirol ws (421) Westtirol 1 - Buers 421,"[{'number': 1, 'branchName': 'Buers - Westtirol ws (421)', 'branchEic': '10T-AT-DE-000061', 'hubFrom': 'DE', 'hubTo': 'AT', 'substationFrom': 'Buers', 'substationTo': 'Westtirol', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Westtirol 1 - Buers 421', 'branchEic': '10T-AT-DE-000061', 'hubFrom': 'DE', 'hubTo': 'AT', 'substationFrom': 'Buers', 'substationTo': 'Westtirol', 'elementType': 'TieLine'}]",True,530.0,0.0,0.2,LFcalc = 36.9% ; LFaccept = 6.2%,1443.0,220.0,1000.0,100.0,198.0,4.0,194.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.00174,-0.08591,0.05591,-0.0915,-0.01829,-0.04209,-0.10007,0.00273,0.00174,-0.08458,-0.02891,-7e-05,0.00232,-0.00512,-0.08458,0.00174
