Time (CET/CEST),Export/Import (BZN|Cze),Net position [MW]
11.10.2023 00:00 - 11.10.2023 01:00,Export,2249
11.10.2023 01:00 - 11.10.2023 02:00,Export,1846
11.10.2023 02:00 - 11.10.2023 03:00,Export,1333
11.10.2023 03:00 - 11.10.2023 04:00,Export,1081
11.10.2023 04:00 - 11.10.2023 05:00,Export,1111
11.10.2023 05:00 - 11.10.2023 06:00,Export,1476
11.10.2023 06:00 - 11.10.2023 07:00,Export,701
11.10.2023 07:00 - 11.10.2023 08:00,Export,734
11.10.2023 08:00 - 11.10.2023 09:00,Export,781
11.10.2023 09:00 - 11.10.2023 10:00,Export,826
11.10.2023 10:00 - 11.10.2023 11:00,Export,1038
11.10.2023 11:00 - 11.10.2023 12:00,Export,1020
11.10.2023 12:00 - 11.10.2023 13:00,Export,253
11.10.2023 13:00 - 11.10.2023 14:00,Export,249
11.10.2023 14:00 - 11.10.2023 15:00,Export,313
11.10.2023 15:00 - 11.10.2023 16:00,Export,1040
11.10.2023 16:00 - 11.10.2023 17:00,Export,865
11.10.2023 17:00 - 11.10.2023 18:00,Export,695
11.10.2023 18:00 - 11.10.2023 19:00,Export,799
11.10.2023 19:00 - 11.10.2023 20:00,Export,509
11.10.2023 20:00 - 11.10.2023 21:00,Export,1039
11.10.2023 21:00 - 11.10.2023 22:00,Export,1335
11.10.2023 22:00 - 11.10.2023 23:00,Export,1589
11.10.2023 23:00 - 12.10.2023 00:00,Export,1956
