Time (CET/CEST),Export/Import (BZN|Pol),Net position [MW]
11.10.2023 00:00 - 11.10.2023 01:00,Import,276
11.10.2023 01:00 - 11.10.2023 02:00,,0
11.10.2023 02:00 - 11.10.2023 03:00,,0
11.10.2023 03:00 - 11.10.2023 04:00,,0
11.10.2023 04:00 - 11.10.2023 05:00,,0
11.10.2023 05:00 - 11.10.2023 06:00,,0
11.10.2023 06:00 - 11.10.2023 07:00,Export,83
11.10.2023 07:00 - 11.10.2023 08:00,Export,660
11.10.2023 08:00 - 11.10.2023 09:00,Export,1160
11.10.2023 09:00 - 11.10.2023 10:00,Export,307
11.10.2023 10:00 - 11.10.2023 11:00,Export,387
11.10.2023 11:00 - 11.10.2023 12:00,Export,158
11.10.2023 12:00 - 11.10.2023 13:00,Export,468
11.10.2023 13:00 - 11.10.2023 14:00,Export,414
11.10.2023 14:00 - 11.10.2023 15:00,Export,113
11.10.2023 15:00 - 11.10.2023 16:00,Export,67
11.10.2023 16:00 - 11.10.2023 17:00,Export,66
11.10.2023 17:00 - 11.10.2023 18:00,Export,759
11.10.2023 18:00 - 11.10.2023 19:00,Export,506
11.10.2023 19:00 - 11.10.2023 20:00,Export,1147
11.10.2023 20:00 - 11.10.2023 21:00,Export,1474
11.10.2023 21:00 - 11.10.2023 22:00,Export,1014
11.10.2023 22:00 - 11.10.2023 23:00,Export,938
11.10.2023 23:00 - 12.10.2023 00:00,Export,1172
