Time (CET/CEST),Export/Import (BZN|Pol),Net position [MW]
04.11.2023 00:00 - 04.11.2023 01:00,Export,568
04.11.2023 01:00 - 04.11.2023 02:00,,0
04.11.2023 02:00 - 04.11.2023 03:00,Export,14
04.11.2023 03:00 - 04.11.2023 04:00,,0
04.11.2023 04:00 - 04.11.2023 05:00,,0
04.11.2023 05:00 - 04.11.2023 06:00,,0
04.11.2023 06:00 - 04.11.2023 07:00,,0
04.11.2023 07:00 - 04.11.2023 08:00,,0
04.11.2023 08:00 - 04.11.2023 09:00,,0
04.11.2023 09:00 - 04.11.2023 10:00,,0
04.11.2023 10:00 - 04.11.2023 11:00,,0
04.11.2023 11:00 - 04.11.2023 12:00,,0
04.11.2023 12:00 - 04.11.2023 13:00,,0
04.11.2023 13:00 - 04.11.2023 14:00,,0
04.11.2023 14:00 - 04.11.2023 15:00,,0
04.11.2023 15:00 - 04.11.2023 16:00,Import,794
04.11.2023 16:00 - 04.11.2023 17:00,Import,1064
04.11.2023 17:00 - 04.11.2023 18:00,Import,1166
04.11.2023 18:00 - 04.11.2023 19:00,Import,863
04.11.2023 19:00 - 04.11.2023 20:00,Import,751
04.11.2023 20:00 - 04.11.2023 21:00,Import,190
04.11.2023 21:00 - 04.11.2023 22:00,,0
04.11.2023 22:00 - 04.11.2023 23:00,,0
04.11.2023 23:00 - 05.11.2023 00:00,,0
