Time (CET/CEST),Export/Import (BZN|Slv),Net position [MW]
04.11.2023 00:00 - 04.11.2023 01:00,Import,255
04.11.2023 01:00 - 04.11.2023 02:00,Import,188
04.11.2023 02:00 - 04.11.2023 03:00,Import,157
04.11.2023 03:00 - 04.11.2023 04:00,Import,147
04.11.2023 04:00 - 04.11.2023 05:00,Import,147
04.11.2023 05:00 - 04.11.2023 06:00,Import,165
04.11.2023 06:00 - 04.11.2023 07:00,Import,268
04.11.2023 07:00 - 04.11.2023 08:00,Import,368
04.11.2023 08:00 - 04.11.2023 09:00,Import,426
04.11.2023 09:00 - 04.11.2023 10:00,Import,408
04.11.2023 10:00 - 04.11.2023 11:00,Import,402
04.11.2023 11:00 - 04.11.2023 12:00,Import,539
04.11.2023 12:00 - 04.11.2023 13:00,Import,501
04.11.2023 13:00 - 04.11.2023 14:00,Import,426
04.11.2023 14:00 - 04.11.2023 15:00,Import,407
04.11.2023 15:00 - 04.11.2023 16:00,Import,384
04.11.2023 16:00 - 04.11.2023 17:00,Import,242
04.11.2023 17:00 - 04.11.2023 18:00,Import,338
04.11.2023 18:00 - 04.11.2023 19:00,Import,377
04.11.2023 19:00 - 04.11.2023 20:00,Import,343
04.11.2023 20:00 - 04.11.2023 21:00,Import,475
04.11.2023 21:00 - 04.11.2023 22:00,Import,397
04.11.2023 22:00 - 04.11.2023 23:00,Import,314
04.11.2023 23:00 - 05.11.2023 00:00,Import,224
