Time (CET/CEST),Export/Import (BZN|Cro),Net position [MW]
11.10.2023 00:00 - 11.10.2023 01:00,Import,654
11.10.2023 01:00 - 11.10.2023 02:00,Import,705
11.10.2023 02:00 - 11.10.2023 03:00,Import,622
11.10.2023 03:00 - 11.10.2023 04:00,Import,506
11.10.2023 04:00 - 11.10.2023 05:00,Import,419
11.10.2023 05:00 - 11.10.2023 06:00,Import,440
11.10.2023 06:00 - 11.10.2023 07:00,Import,336
11.10.2023 07:00 - 11.10.2023 08:00,Import,411
11.10.2023 08:00 - 11.10.2023 09:00,Import,373
11.10.2023 09:00 - 11.10.2023 10:00,Import,340
11.10.2023 10:00 - 11.10.2023 11:00,Import,442
11.10.2023 11:00 - 11.10.2023 12:00,Import,630
11.10.2023 12:00 - 11.10.2023 13:00,Import,448
11.10.2023 13:00 - 11.10.2023 14:00,Import,509
11.10.2023 14:00 - 11.10.2023 15:00,Import,376
11.10.2023 15:00 - 11.10.2023 16:00,Import,283
11.10.2023 16:00 - 11.10.2023 17:00,Import,111
11.10.2023 17:00 - 11.10.2023 18:00,Import,284
11.10.2023 18:00 - 11.10.2023 19:00,Import,577
11.10.2023 19:00 - 11.10.2023 20:00,Import,736
11.10.2023 20:00 - 11.10.2023 21:00,Import,669
11.10.2023 21:00 - 11.10.2023 22:00,Import,867
11.10.2023 22:00 - 11.10.2023 23:00,Import,786
11.10.2023 23:00 - 12.10.2023 00:00,Import,656
