Time (CET/CEST),Export/Import (BZN|Slv),Net position [MW]
11.10.2023 00:00 - 11.10.2023 01:00,Import,926
11.10.2023 01:00 - 11.10.2023 02:00,Import,939
11.10.2023 02:00 - 11.10.2023 03:00,Import,921
11.10.2023 03:00 - 11.10.2023 04:00,Import,916
11.10.2023 04:00 - 11.10.2023 05:00,Import,912
11.10.2023 05:00 - 11.10.2023 06:00,Import,684
11.10.2023 06:00 - 11.10.2023 07:00,Import,427
11.10.2023 07:00 - 11.10.2023 08:00,Import,333
11.10.2023 08:00 - 11.10.2023 09:00,Import,414
11.10.2023 09:00 - 11.10.2023 10:00,Import,321
11.10.2023 10:00 - 11.10.2023 11:00,Import,436
11.10.2023 11:00 - 11.10.2023 12:00,Import,563
11.10.2023 12:00 - 11.10.2023 13:00,Import,532
11.10.2023 13:00 - 11.10.2023 14:00,Import,422
11.10.2023 14:00 - 11.10.2023 15:00,Import,408
11.10.2023 15:00 - 11.10.2023 16:00,Import,473
11.10.2023 16:00 - 11.10.2023 17:00,Import,493
11.10.2023 17:00 - 11.10.2023 18:00,Import,273
11.10.2023 18:00 - 11.10.2023 19:00,Import,292
11.10.2023 19:00 - 11.10.2023 20:00,Import,379
11.10.2023 20:00 - 11.10.2023 21:00,Import,511
11.10.2023 21:00 - 11.10.2023 22:00,Import,459
11.10.2023 22:00 - 11.10.2023 23:00,Import,689
11.10.2023 23:00 - 12.10.2023 00:00,Import,840
