Time (CET/CEST),Export/Import (BZN|Cro),Net position [MW]
04.11.2023 00:00 - 04.11.2023 01:00,Import,798
04.11.2023 01:00 - 04.11.2023 02:00,Import,704
04.11.2023 02:00 - 04.11.2023 03:00,Import,640
04.11.2023 03:00 - 04.11.2023 04:00,Import,673
04.11.2023 04:00 - 04.11.2023 05:00,Import,645
04.11.2023 05:00 - 04.11.2023 06:00,Import,845
04.11.2023 06:00 - 04.11.2023 07:00,Import,751
04.11.2023 07:00 - 04.11.2023 08:00,Import,848
04.11.2023 08:00 - 04.11.2023 09:00,Import,959
04.11.2023 09:00 - 04.11.2023 10:00,Import,1039
04.11.2023 10:00 - 04.11.2023 11:00,Import,1206
04.11.2023 11:00 - 04.11.2023 12:00,Import,1206
04.11.2023 12:00 - 04.11.2023 13:00,Import,1243
04.11.2023 13:00 - 04.11.2023 14:00,Import,1091
04.11.2023 14:00 - 04.11.2023 15:00,Import,1056
04.11.2023 15:00 - 04.11.2023 16:00,Import,634
04.11.2023 16:00 - 04.11.2023 17:00,Import,616
04.11.2023 17:00 - 04.11.2023 18:00,Import,789
04.11.2023 18:00 - 04.11.2023 19:00,Import,775
04.11.2023 19:00 - 04.11.2023 20:00,Import,734
04.11.2023 20:00 - 04.11.2023 21:00,Import,482
04.11.2023 21:00 - 04.11.2023 22:00,Import,622
04.11.2023 22:00 - 04.11.2023 23:00,Import,711
04.11.2023 23:00 - 05.11.2023 00:00,Import,298
