Time (CET/CEST),Export/Import (BZN|Rom),Net position [MW]
04.11.2023 00:00 - 04.11.2023 01:00,Export,464
04.11.2023 01:00 - 04.11.2023 02:00,Export,460
04.11.2023 02:00 - 04.11.2023 03:00,Export,446
04.11.2023 03:00 - 04.11.2023 04:00,Export,349
04.11.2023 04:00 - 04.11.2023 05:00,Export,195
04.11.2023 05:00 - 04.11.2023 06:00,Import,1
04.11.2023 06:00 - 04.11.2023 07:00,Import,14
04.11.2023 07:00 - 04.11.2023 08:00,Export,232
04.11.2023 08:00 - 04.11.2023 09:00,Export,468
04.11.2023 09:00 - 04.11.2023 10:00,Export,647
04.11.2023 10:00 - 04.11.2023 11:00,Export,1008
04.11.2023 11:00 - 04.11.2023 12:00,Export,1223
04.11.2023 12:00 - 04.11.2023 13:00,Export,1064
04.11.2023 13:00 - 04.11.2023 14:00,Export,1091
04.11.2023 14:00 - 04.11.2023 15:00,Export,918
04.11.2023 15:00 - 04.11.2023 16:00,Export,693
04.11.2023 16:00 - 04.11.2023 17:00,Export,642
04.11.2023 17:00 - 04.11.2023 18:00,Export,729
04.11.2023 18:00 - 04.11.2023 19:00,Export,663
04.11.2023 19:00 - 04.11.2023 20:00,Export,889
04.11.2023 20:00 - 04.11.2023 21:00,Export,1080
04.11.2023 21:00 - 04.11.2023 22:00,Export,1412
04.11.2023 22:00 - 04.11.2023 23:00,Export,1556
04.11.2023 23:00 - 05.11.2023 00:00,Export,1589
