Time (CET/CEST),Export/Import (BZN|Slk),Net position [MW]
04.11.2023 00:00 - 04.11.2023 01:00,Export,892
04.11.2023 01:00 - 04.11.2023 02:00,Export,986
04.11.2023 02:00 - 04.11.2023 03:00,Export,842
04.11.2023 03:00 - 04.11.2023 04:00,Export,864
04.11.2023 04:00 - 04.11.2023 05:00,Export,794
04.11.2023 05:00 - 04.11.2023 06:00,Export,974
04.11.2023 06:00 - 04.11.2023 07:00,Export,936
04.11.2023 07:00 - 04.11.2023 08:00,Export,896
04.11.2023 08:00 - 04.11.2023 09:00,Export,802
04.11.2023 09:00 - 04.11.2023 10:00,Export,747
04.11.2023 10:00 - 04.11.2023 11:00,Export,408
04.11.2023 11:00 - 04.11.2023 12:00,Export,285
04.11.2023 12:00 - 04.11.2023 13:00,Export,447
04.11.2023 13:00 - 04.11.2023 14:00,Export,633
04.11.2023 14:00 - 04.11.2023 15:00,Export,605
04.11.2023 15:00 - 04.11.2023 16:00,Export,608
04.11.2023 16:00 - 04.11.2023 17:00,Export,777
04.11.2023 17:00 - 04.11.2023 18:00,Export,865
04.11.2023 18:00 - 04.11.2023 19:00,Export,776
04.11.2023 19:00 - 04.11.2023 20:00,Export,579
04.11.2023 20:00 - 04.11.2023 21:00,Export,673
04.11.2023 21:00 - 04.11.2023 22:00,Export,753
04.11.2023 22:00 - 04.11.2023 23:00,Export,733
04.11.2023 23:00 - 05.11.2023 00:00,Export,778
