Time (CET/CEST),Export/Import (BZN|Cze),Net position [MW]
15.03.2023 00:00 - 15.03.2023 01:00,Export,978
15.03.2023 01:00 - 15.03.2023 02:00,Export,1018
15.03.2023 02:00 - 15.03.2023 03:00,Export,1153
15.03.2023 03:00 - 15.03.2023 04:00,Export,1253
15.03.2023 04:00 - 15.03.2023 05:00,Export,1202
15.03.2023 05:00 - 15.03.2023 06:00,Export,1234
15.03.2023 06:00 - 15.03.2023 07:00,Export,616
15.03.2023 07:00 - 15.03.2023 08:00,Export,819
15.03.2023 08:00 - 15.03.2023 09:00,Export,1053
15.03.2023 09:00 - 15.03.2023 10:00,Export,1015
15.03.2023 10:00 - 15.03.2023 11:00,Export,921
15.03.2023 11:00 - 15.03.2023 12:00,Export,472
15.03.2023 12:00 - 15.03.2023 13:00,Import,415
15.03.2023 13:00 - 15.03.2023 14:00,Import,527
15.03.2023 14:00 - 15.03.2023 15:00,Import,401
15.03.2023 15:00 - 15.03.2023 16:00,Export,453
15.03.2023 16:00 - 15.03.2023 17:00,Export,742
15.03.2023 17:00 - 15.03.2023 18:00,Export,983
15.03.2023 18:00 - 15.03.2023 19:00,Export,1018
15.03.2023 19:00 - 15.03.2023 20:00,Export,1050
15.03.2023 20:00 - 15.03.2023 21:00,Export,1085
15.03.2023 21:00 - 15.03.2023 22:00,Export,1232
15.03.2023 22:00 - 15.03.2023 23:00,Export,1368
15.03.2023 23:00 - 16.03.2023 00:00,Export,1648
