Time (CET/CEST),Export/Import (BZN|Pol),Net position [MW]
15.03.2023 00:00 - 15.03.2023 01:00,Export,1226
15.03.2023 01:00 - 15.03.2023 02:00,Export,1679
15.03.2023 02:00 - 15.03.2023 03:00,Export,971
15.03.2023 03:00 - 15.03.2023 04:00,Export,1090
15.03.2023 04:00 - 15.03.2023 05:00,Export,787
15.03.2023 05:00 - 15.03.2023 06:00,Export,1183
15.03.2023 06:00 - 15.03.2023 07:00,Export,1440
15.03.2023 07:00 - 15.03.2023 08:00,Export,715
15.03.2023 08:00 - 15.03.2023 09:00,Export,1652
15.03.2023 09:00 - 15.03.2023 10:00,Export,1328
15.03.2023 10:00 - 15.03.2023 11:00,Import,695
15.03.2023 11:00 - 15.03.2023 12:00,Import,847
15.03.2023 12:00 - 15.03.2023 13:00,Import,1557
15.03.2023 13:00 - 15.03.2023 14:00,Import,1789
15.03.2023 14:00 - 15.03.2023 15:00,Import,2262
15.03.2023 15:00 - 15.03.2023 16:00,Import,2789
15.03.2023 16:00 - 15.03.2023 17:00,Import,2582
15.03.2023 17:00 - 15.03.2023 18:00,Import,2167
15.03.2023 18:00 - 15.03.2023 19:00,Import,638
15.03.2023 19:00 - 15.03.2023 20:00,Import,20
15.03.2023 20:00 - 15.03.2023 21:00,Import,296
15.03.2023 21:00 - 15.03.2023 22:00,Import,1425
15.03.2023 22:00 - 15.03.2023 23:00,Import,871
15.03.2023 23:00 - 16.03.2023 00:00,Export,852
