Time (CET/CEST),Export/Import (BZN|Rom),Net position [MW]
15.03.2023 00:00 - 15.03.2023 01:00,Export,1706
15.03.2023 01:00 - 15.03.2023 02:00,Export,1790
15.03.2023 02:00 - 15.03.2023 03:00,Export,1885
15.03.2023 03:00 - 15.03.2023 04:00,Export,1923
15.03.2023 04:00 - 15.03.2023 05:00,Export,1866
15.03.2023 05:00 - 15.03.2023 06:00,Export,1425
15.03.2023 06:00 - 15.03.2023 07:00,Export,1254
15.03.2023 07:00 - 15.03.2023 08:00,Export,1092
15.03.2023 08:00 - 15.03.2023 09:00,Export,1093
15.03.2023 09:00 - 15.03.2023 10:00,Export,958
15.03.2023 10:00 - 15.03.2023 11:00,Export,970
15.03.2023 11:00 - 15.03.2023 12:00,Export,924
15.03.2023 12:00 - 15.03.2023 13:00,Export,689
15.03.2023 13:00 - 15.03.2023 14:00,Export,678
15.03.2023 14:00 - 15.03.2023 15:00,Export,630
15.03.2023 15:00 - 15.03.2023 16:00,Export,778
15.03.2023 16:00 - 15.03.2023 17:00,Export,649
15.03.2023 17:00 - 15.03.2023 18:00,Export,560
15.03.2023 18:00 - 15.03.2023 19:00,Export,254
15.03.2023 19:00 - 15.03.2023 20:00,Export,300
15.03.2023 20:00 - 15.03.2023 21:00,Export,371
15.03.2023 21:00 - 15.03.2023 22:00,Export,590
15.03.2023 22:00 - 15.03.2023 23:00,Export,434
15.03.2023 23:00 - 16.03.2023 00:00,Export,374
