Time (CET/CEST),Export/Import (BZN|Slv),Net position [MW]
20.05.2023 00:00 - 20.05.2023 01:00,Export,90
20.05.2023 01:00 - 20.05.2023 02:00,Export,146
20.05.2023 02:00 - 20.05.2023 03:00,Export,7
20.05.2023 03:00 - 20.05.2023 04:00,Export,6
20.05.2023 04:00 - 20.05.2023 05:00,Export,4
20.05.2023 05:00 - 20.05.2023 06:00,Export,111
20.05.2023 06:00 - 20.05.2023 07:00,Export,42
20.05.2023 07:00 - 20.05.2023 08:00,Export,19
20.05.2023 08:00 - 20.05.2023 09:00,Export,50
20.05.2023 09:00 - 20.05.2023 10:00,Import,67
20.05.2023 10:00 - 20.05.2023 11:00,Import,257
20.05.2023 11:00 - 20.05.2023 12:00,Import,302
20.05.2023 12:00 - 20.05.2023 13:00,Import,287
20.05.2023 13:00 - 20.05.2023 14:00,Import,299
20.05.2023 14:00 - 20.05.2023 15:00,Import,374
20.05.2023 15:00 - 20.05.2023 16:00,Import,366
20.05.2023 16:00 - 20.05.2023 17:00,Import,165
20.05.2023 17:00 - 20.05.2023 18:00,Import,128
20.05.2023 18:00 - 20.05.2023 19:00,Import,20
20.05.2023 19:00 - 20.05.2023 20:00,Export,43
20.05.2023 20:00 - 20.05.2023 21:00,Export,153
20.05.2023 21:00 - 20.05.2023 22:00,Export,33
20.05.2023 22:00 - 20.05.2023 23:00,Export,83
20.05.2023 23:00 - 21.05.2023 00:00,Export,169
