Time (CET/CEST),Export/Import (BZN|Cro),Net position [MW]
12.06.2023 00:00 - 12.06.2023 01:00,Export,561
12.06.2023 01:00 - 12.06.2023 02:00,Export,709
12.06.2023 02:00 - 12.06.2023 03:00,Export,773
12.06.2023 03:00 - 12.06.2023 04:00,Export,760
12.06.2023 04:00 - 12.06.2023 05:00,Export,734
12.06.2023 05:00 - 12.06.2023 06:00,Export,724
12.06.2023 06:00 - 12.06.2023 07:00,Export,866
12.06.2023 07:00 - 12.06.2023 08:00,Export,745
12.06.2023 08:00 - 12.06.2023 09:00,Export,640
12.06.2023 09:00 - 12.06.2023 10:00,Export,394
12.06.2023 10:00 - 12.06.2023 11:00,Export,209
12.06.2023 11:00 - 12.06.2023 12:00,Export,94
12.06.2023 12:00 - 12.06.2023 13:00,Export,49
12.06.2023 13:00 - 12.06.2023 14:00,Export,112
12.06.2023 14:00 - 12.06.2023 15:00,Export,161
12.06.2023 15:00 - 12.06.2023 16:00,Export,171
12.06.2023 16:00 - 12.06.2023 17:00,Export,194
12.06.2023 17:00 - 12.06.2023 18:00,Export,286
12.06.2023 18:00 - 12.06.2023 19:00,Export,646
12.06.2023 19:00 - 12.06.2023 20:00,Export,737
12.06.2023 20:00 - 12.06.2023 21:00,Export,674
12.06.2023 21:00 - 12.06.2023 22:00,Export,537
12.06.2023 22:00 - 12.06.2023 23:00,Export,647
12.06.2023 23:00 - 13.06.2023 00:00,Export,707
