Time (CET/CEST),Export/Import (BZN|Pol),Net position [MW]
30.06.2023 00:00 - 30.06.2023 01:00,Import,2751
30.06.2023 01:00 - 30.06.2023 02:00,Import,2910
30.06.2023 02:00 - 30.06.2023 03:00,Import,2882
30.06.2023 03:00 - 30.06.2023 04:00,Import,2789
30.06.2023 04:00 - 30.06.2023 05:00,Import,2639
30.06.2023 05:00 - 30.06.2023 06:00,Import,2359
30.06.2023 06:00 - 30.06.2023 07:00,Import,2197
30.06.2023 07:00 - 30.06.2023 08:00,Import,2420
30.06.2023 08:00 - 30.06.2023 09:00,Import,1672
30.06.2023 09:00 - 30.06.2023 10:00,Import,801
30.06.2023 10:00 - 30.06.2023 11:00,,0
30.06.2023 11:00 - 30.06.2023 12:00,,0
30.06.2023 12:00 - 30.06.2023 13:00,,0
30.06.2023 13:00 - 30.06.2023 14:00,,0
30.06.2023 14:00 - 30.06.2023 15:00,,0
30.06.2023 15:00 - 30.06.2023 16:00,Import,834
30.06.2023 16:00 - 30.06.2023 17:00,Import,1350
30.06.2023 17:00 - 30.06.2023 18:00,Import,2087
30.06.2023 18:00 - 30.06.2023 19:00,Import,2595
30.06.2023 19:00 - 30.06.2023 20:00,Import,2339
30.06.2023 20:00 - 30.06.2023 21:00,Import,2467
30.06.2023 21:00 - 30.06.2023 22:00,Import,2679
30.06.2023 22:00 - 30.06.2023 23:00,Import,2693
30.06.2023 23:00 - 01.07.2023 00:00,Import,2279
