Time (CET/CEST),Export/Import (BZN|Rom),Net position [MW]
30.06.2023 00:00 - 30.06.2023 01:00,Export,1156
30.06.2023 01:00 - 30.06.2023 02:00,Export,1207
30.06.2023 02:00 - 30.06.2023 03:00,Export,1228
30.06.2023 03:00 - 30.06.2023 04:00,Export,1146
30.06.2023 04:00 - 30.06.2023 05:00,Export,1093
30.06.2023 05:00 - 30.06.2023 06:00,Export,788
30.06.2023 06:00 - 30.06.2023 07:00,Export,399
30.06.2023 07:00 - 30.06.2023 08:00,Import,10
30.06.2023 08:00 - 30.06.2023 09:00,Import,228
30.06.2023 09:00 - 30.06.2023 10:00,Import,97
30.06.2023 10:00 - 30.06.2023 11:00,Import,94
30.06.2023 11:00 - 30.06.2023 12:00,Import,64
30.06.2023 12:00 - 30.06.2023 13:00,Export,46
30.06.2023 13:00 - 30.06.2023 14:00,Export,168
30.06.2023 14:00 - 30.06.2023 15:00,Export,255
30.06.2023 15:00 - 30.06.2023 16:00,Export,251
30.06.2023 16:00 - 30.06.2023 17:00,Export,228
30.06.2023 17:00 - 30.06.2023 18:00,Export,52
30.06.2023 18:00 - 30.06.2023 19:00,Import,135
30.06.2023 19:00 - 30.06.2023 20:00,Import,141
30.06.2023 20:00 - 30.06.2023 21:00,Import,184
30.06.2023 21:00 - 30.06.2023 22:00,Import,14
30.06.2023 22:00 - 30.06.2023 23:00,Export,510
30.06.2023 23:00 - 01.07.2023 00:00,Export,198
