Time (CET/CEST),Export/Import (BZN|Pol),Net position [MW]
18.02.2023 00:00 - 18.02.2023 01:00,,0
18.02.2023 01:00 - 18.02.2023 02:00,,0
18.02.2023 02:00 - 18.02.2023 03:00,,0
18.02.2023 03:00 - 18.02.2023 04:00,,0
18.02.2023 04:00 - 18.02.2023 05:00,,0
18.02.2023 05:00 - 18.02.2023 06:00,Export,169
18.02.2023 06:00 - 18.02.2023 07:00,Export,7
18.02.2023 07:00 - 18.02.2023 08:00,,0
18.02.2023 08:00 - 18.02.2023 09:00,Export,270
18.02.2023 09:00 - 18.02.2023 10:00,Export,940
18.02.2023 10:00 - 18.02.2023 11:00,Export,1124
18.02.2023 11:00 - 18.02.2023 12:00,Export,1012
18.02.2023 12:00 - 18.02.2023 13:00,,0
18.02.2023 13:00 - 18.02.2023 14:00,,0
18.02.2023 14:00 - 18.02.2023 15:00,,0
18.02.2023 15:00 - 18.02.2023 16:00,Import,249
18.02.2023 16:00 - 18.02.2023 17:00,Import,212
18.02.2023 17:00 - 18.02.2023 18:00,Export,58
18.02.2023 18:00 - 18.02.2023 19:00,Export,392
18.02.2023 19:00 - 18.02.2023 20:00,Export,758
18.02.2023 20:00 - 18.02.2023 21:00,Export,461
18.02.2023 21:00 - 18.02.2023 22:00,Export,206
18.02.2023 22:00 - 18.02.2023 23:00,Export,357
18.02.2023 23:00 - 19.02.2023 00:00,Export,1287
