Time (CET/CEST),Export/Import (BZN|Slk),Net position [MW]
18.02.2023 00:00 - 18.02.2023 01:00,Export,302
18.02.2023 01:00 - 18.02.2023 02:00,Export,246
18.02.2023 02:00 - 18.02.2023 03:00,Export,165
18.02.2023 03:00 - 18.02.2023 04:00,Export,176
18.02.2023 04:00 - 18.02.2023 05:00,Export,81
18.02.2023 05:00 - 18.02.2023 06:00,Export,283
18.02.2023 06:00 - 18.02.2023 07:00,Export,409
18.02.2023 07:00 - 18.02.2023 08:00,Export,294
18.02.2023 08:00 - 18.02.2023 09:00,Export,195
18.02.2023 09:00 - 18.02.2023 10:00,Export,1
18.02.2023 10:00 - 18.02.2023 11:00,Export,6
18.02.2023 11:00 - 18.02.2023 12:00,Import,153
18.02.2023 12:00 - 18.02.2023 13:00,Import,46
18.02.2023 13:00 - 18.02.2023 14:00,Import,73
18.02.2023 14:00 - 18.02.2023 15:00,Export,111
18.02.2023 15:00 - 18.02.2023 16:00,Export,234
18.02.2023 16:00 - 18.02.2023 17:00,Export,155
18.02.2023 17:00 - 18.02.2023 18:00,Export,145
18.02.2023 18:00 - 18.02.2023 19:00,Export,133
18.02.2023 19:00 - 18.02.2023 20:00,Export,375
18.02.2023 20:00 - 18.02.2023 21:00,Export,255
18.02.2023 21:00 - 18.02.2023 22:00,Export,365
18.02.2023 22:00 - 18.02.2023 23:00,Export,500
18.02.2023 23:00 - 19.02.2023 00:00,Export,638
