Time (CET/CEST),Export/Import (BZN|Slk),Net position [MW]
15.03.2023 00:00 - 15.03.2023 01:00,Export,513
15.03.2023 01:00 - 15.03.2023 02:00,Export,303
15.03.2023 02:00 - 15.03.2023 03:00,Export,292
15.03.2023 03:00 - 15.03.2023 04:00,Export,308
15.03.2023 04:00 - 15.03.2023 05:00,Export,537
15.03.2023 05:00 - 15.03.2023 06:00,Export,392
15.03.2023 06:00 - 15.03.2023 07:00,Export,110
15.03.2023 07:00 - 15.03.2023 08:00,Export,106
15.03.2023 08:00 - 15.03.2023 09:00,Export,13
15.03.2023 09:00 - 15.03.2023 10:00,Import,154
15.03.2023 10:00 - 15.03.2023 11:00,Import,58
15.03.2023 11:00 - 15.03.2023 12:00,Import,129
15.03.2023 12:00 - 15.03.2023 13:00,Import,94
15.03.2023 13:00 - 15.03.2023 14:00,Import,34
15.03.2023 14:00 - 15.03.2023 15:00,Export,6
15.03.2023 15:00 - 15.03.2023 16:00,Export,75
15.03.2023 16:00 - 15.03.2023 17:00,Export,26
15.03.2023 17:00 - 15.03.2023 18:00,Export,116
15.03.2023 18:00 - 15.03.2023 19:00,Export,400
15.03.2023 19:00 - 15.03.2023 20:00,Export,423
15.03.2023 20:00 - 15.03.2023 21:00,Export,268
15.03.2023 21:00 - 15.03.2023 22:00,Export,305
15.03.2023 22:00 - 15.03.2023 23:00,Export,470
15.03.2023 23:00 - 16.03.2023 00:00,Export,551
