Time (CET/CEST),Export/Import (BZN|Pol),Net position [MW]
20.05.2023 00:00 - 20.05.2023 01:00,Import,1420
20.05.2023 01:00 - 20.05.2023 02:00,Import,1338
20.05.2023 02:00 - 20.05.2023 03:00,Import,1315
20.05.2023 03:00 - 20.05.2023 04:00,Import,1391
20.05.2023 04:00 - 20.05.2023 05:00,Import,1311
20.05.2023 05:00 - 20.05.2023 06:00,Import,1238
20.05.2023 06:00 - 20.05.2023 07:00,Import,1158
20.05.2023 07:00 - 20.05.2023 08:00,Import,1066
20.05.2023 08:00 - 20.05.2023 09:00,Import,574
20.05.2023 09:00 - 20.05.2023 10:00,,0
20.05.2023 10:00 - 20.05.2023 11:00,,0
20.05.2023 11:00 - 20.05.2023 12:00,,0
20.05.2023 12:00 - 20.05.2023 13:00,,0
20.05.2023 13:00 - 20.05.2023 14:00,,0
20.05.2023 14:00 - 20.05.2023 15:00,,0
20.05.2023 15:00 - 20.05.2023 16:00,,0
20.05.2023 16:00 - 20.05.2023 17:00,,0
20.05.2023 17:00 - 20.05.2023 18:00,,0
20.05.2023 18:00 - 20.05.2023 19:00,Import,558
20.05.2023 19:00 - 20.05.2023 20:00,Import,1010
20.05.2023 20:00 - 20.05.2023 21:00,Import,1589
20.05.2023 21:00 - 20.05.2023 22:00,Import,1025
20.05.2023 22:00 - 20.05.2023 23:00,Import,514
20.05.2023 23:00 - 21.05.2023 00:00,,0
