Time (CET/CEST),Export/Import (BZN|Slk),Net position [MW]
20.05.2023 00:00 - 20.05.2023 01:00,Export,577
20.05.2023 01:00 - 20.05.2023 02:00,Export,674
20.05.2023 02:00 - 20.05.2023 03:00,Export,706
20.05.2023 03:00 - 20.05.2023 04:00,Export,724
20.05.2023 04:00 - 20.05.2023 05:00,Export,707
20.05.2023 05:00 - 20.05.2023 06:00,Export,731
20.05.2023 06:00 - 20.05.2023 07:00,Export,729
20.05.2023 07:00 - 20.05.2023 08:00,Export,722
20.05.2023 08:00 - 20.05.2023 09:00,Export,551
20.05.2023 09:00 - 20.05.2023 10:00,Export,474
20.05.2023 10:00 - 20.05.2023 11:00,Export,189
20.05.2023 11:00 - 20.05.2023 12:00,Import,260
20.05.2023 12:00 - 20.05.2023 13:00,Import,277
20.05.2023 13:00 - 20.05.2023 14:00,Import,261
20.05.2023 14:00 - 20.05.2023 15:00,Import,226
20.05.2023 15:00 - 20.05.2023 16:00,Import,372
20.05.2023 16:00 - 20.05.2023 17:00,Import,152
20.05.2023 17:00 - 20.05.2023 18:00,Export,377
20.05.2023 18:00 - 20.05.2023 19:00,Export,503
20.05.2023 19:00 - 20.05.2023 20:00,Export,639
20.05.2023 20:00 - 20.05.2023 21:00,Export,794
20.05.2023 21:00 - 20.05.2023 22:00,Export,776
20.05.2023 22:00 - 20.05.2023 23:00,Export,605
20.05.2023 23:00 - 21.05.2023 00:00,Export,678
