Time (CET/CEST),Export/Import (BZN|Cze),Net position [MW]
12.06.2023 00:00 - 12.06.2023 01:00,Export,168
12.06.2023 01:00 - 12.06.2023 02:00,Export,78
12.06.2023 02:00 - 12.06.2023 03:00,Export,234
12.06.2023 03:00 - 12.06.2023 04:00,Export,315
12.06.2023 04:00 - 12.06.2023 05:00,Export,330
12.06.2023 05:00 - 12.06.2023 06:00,Export,112
12.06.2023 06:00 - 12.06.2023 07:00,Import,191
12.06.2023 07:00 - 12.06.2023 08:00,Import,381
12.06.2023 08:00 - 12.06.2023 09:00,Import,497
12.06.2023 09:00 - 12.06.2023 10:00,Import,501
12.06.2023 10:00 - 12.06.2023 11:00,Import,446
12.06.2023 11:00 - 12.06.2023 12:00,Import,499
12.06.2023 12:00 - 12.06.2023 13:00,Import,1256
12.06.2023 13:00 - 12.06.2023 14:00,Import,1220
12.06.2023 14:00 - 12.06.2023 15:00,Import,1030
12.06.2023 15:00 - 12.06.2023 16:00,Import,1068
12.06.2023 16:00 - 12.06.2023 17:00,Import,167
12.06.2023 17:00 - 12.06.2023 18:00,Import,13
12.06.2023 18:00 - 12.06.2023 19:00,Export,212
12.06.2023 19:00 - 12.06.2023 20:00,Export,494
12.06.2023 20:00 - 12.06.2023 21:00,Export,675
12.06.2023 21:00 - 12.06.2023 22:00,Export,478
12.06.2023 22:00 - 12.06.2023 23:00,Export,566
12.06.2023 23:00 - 13.06.2023 00:00,Export,583
