Time (CET/CEST),Export/Import (BZN|Hun),Net position [MW]
12.06.2023 00:00 - 12.06.2023 01:00,Import,1325
12.06.2023 01:00 - 12.06.2023 02:00,Import,1043
12.06.2023 02:00 - 12.06.2023 03:00,Import,837
12.06.2023 03:00 - 12.06.2023 04:00,Import,687
12.06.2023 04:00 - 12.06.2023 05:00,Import,791
12.06.2023 05:00 - 12.06.2023 06:00,Import,757
12.06.2023 06:00 - 12.06.2023 07:00,Import,979
12.06.2023 07:00 - 12.06.2023 08:00,Import,739
12.06.2023 08:00 - 12.06.2023 09:00,Import,309
12.06.2023 09:00 - 12.06.2023 10:00,Export,40
12.06.2023 10:00 - 12.06.2023 11:00,Export,517
12.06.2023 11:00 - 12.06.2023 12:00,Export,612
12.06.2023 12:00 - 12.06.2023 13:00,Export,564
12.06.2023 13:00 - 12.06.2023 14:00,Export,387
12.06.2023 14:00 - 12.06.2023 15:00,Export,24
12.06.2023 15:00 - 12.06.2023 16:00,Import,354
12.06.2023 16:00 - 12.06.2023 17:00,Import,719
12.06.2023 17:00 - 12.06.2023 18:00,Import,1040
12.06.2023 18:00 - 12.06.2023 19:00,Import,1526
12.06.2023 19:00 - 12.06.2023 20:00,Import,1527
12.06.2023 20:00 - 12.06.2023 21:00,Import,1902
12.06.2023 21:00 - 12.06.2023 22:00,Import,1930
12.06.2023 22:00 - 12.06.2023 23:00,Import,1558
12.06.2023 23:00 - 13.06.2023 00:00,Import,1798
