Time (CET/CEST),Export/Import (BZN|Slv),Net position [MW]
12.06.2023 00:00 - 12.06.2023 01:00,Export,503
12.06.2023 01:00 - 12.06.2023 02:00,Export,436
12.06.2023 02:00 - 12.06.2023 03:00,Export,378
12.06.2023 03:00 - 12.06.2023 04:00,Export,377
12.06.2023 04:00 - 12.06.2023 05:00,Export,420
12.06.2023 05:00 - 12.06.2023 06:00,Export,444
12.06.2023 06:00 - 12.06.2023 07:00,Export,437
12.06.2023 07:00 - 12.06.2023 08:00,Export,356
12.06.2023 08:00 - 12.06.2023 09:00,Export,424
12.06.2023 09:00 - 12.06.2023 10:00,Export,457
12.06.2023 10:00 - 12.06.2023 11:00,Export,275
12.06.2023 11:00 - 12.06.2023 12:00,Export,5
12.06.2023 12:00 - 12.06.2023 13:00,Import,194
12.06.2023 13:00 - 12.06.2023 14:00,Import,158
12.06.2023 14:00 - 12.06.2023 15:00,Import,117
12.06.2023 15:00 - 12.06.2023 16:00,Export,178
12.06.2023 16:00 - 12.06.2023 17:00,Export,363
12.06.2023 17:00 - 12.06.2023 18:00,Export,446
12.06.2023 18:00 - 12.06.2023 19:00,Export,404
12.06.2023 19:00 - 12.06.2023 20:00,Export,349
12.06.2023 20:00 - 12.06.2023 21:00,Export,312
12.06.2023 21:00 - 12.06.2023 22:00,Export,344
12.06.2023 22:00 - 12.06.2023 23:00,Export,400
12.06.2023 23:00 - 13.06.2023 00:00,Export,467
