Time (CET/CEST),Export/Import (BZN|Slv),Net position [MW]
30.06.2023 00:00 - 30.06.2023 01:00,Export,284
30.06.2023 01:00 - 30.06.2023 02:00,Export,177
30.06.2023 02:00 - 30.06.2023 03:00,Export,61
30.06.2023 03:00 - 30.06.2023 04:00,Import,22
30.06.2023 04:00 - 30.06.2023 05:00,Import,30
30.06.2023 05:00 - 30.06.2023 06:00,Export,141
30.06.2023 06:00 - 30.06.2023 07:00,Export,209
30.06.2023 07:00 - 30.06.2023 08:00,Export,420
30.06.2023 08:00 - 30.06.2023 09:00,Export,482
30.06.2023 09:00 - 30.06.2023 10:00,Export,383
30.06.2023 10:00 - 30.06.2023 11:00,Export,394
30.06.2023 11:00 - 30.06.2023 12:00,Export,336
30.06.2023 12:00 - 30.06.2023 13:00,Export,37
30.06.2023 13:00 - 30.06.2023 14:00,Import,330
30.06.2023 14:00 - 30.06.2023 15:00,Import,323
30.06.2023 15:00 - 30.06.2023 16:00,Import,349
30.06.2023 16:00 - 30.06.2023 17:00,Export,75
30.06.2023 17:00 - 30.06.2023 18:00,Export,316
30.06.2023 18:00 - 30.06.2023 19:00,Export,208
30.06.2023 19:00 - 30.06.2023 20:00,Export,398
30.06.2023 20:00 - 30.06.2023 21:00,Export,395
30.06.2023 21:00 - 30.06.2023 22:00,Export,407
30.06.2023 22:00 - 30.06.2023 23:00,Export,196
30.06.2023 23:00 - 01.07.2023 00:00,Export,149
