Time (CET/CEST),Export/Import (BZN|Rom),Net position [MW]
18.02.2023 00:00 - 18.02.2023 01:00,Export,1443
18.02.2023 01:00 - 18.02.2023 02:00,Export,1705
18.02.2023 02:00 - 18.02.2023 03:00,Export,1869
18.02.2023 03:00 - 18.02.2023 04:00,Export,1988
18.02.2023 04:00 - 18.02.2023 05:00,Export,2025
18.02.2023 05:00 - 18.02.2023 06:00,Export,1918
18.02.2023 06:00 - 18.02.2023 07:00,Export,1699
18.02.2023 07:00 - 18.02.2023 08:00,Export,1455
18.02.2023 08:00 - 18.02.2023 09:00,Export,1331
18.02.2023 09:00 - 18.02.2023 10:00,Export,1376
18.02.2023 10:00 - 18.02.2023 11:00,Export,1322
18.02.2023 11:00 - 18.02.2023 12:00,Export,1387
18.02.2023 12:00 - 18.02.2023 13:00,Export,1461
18.02.2023 13:00 - 18.02.2023 14:00,Export,1507
18.02.2023 14:00 - 18.02.2023 15:00,Export,1488
18.02.2023 15:00 - 18.02.2023 16:00,Export,1297
18.02.2023 16:00 - 18.02.2023 17:00,Export,999
18.02.2023 17:00 - 18.02.2023 18:00,Export,614
18.02.2023 18:00 - 18.02.2023 19:00,Export,700
18.02.2023 19:00 - 18.02.2023 20:00,Export,913
18.02.2023 20:00 - 18.02.2023 21:00,Export,1251
18.02.2023 21:00 - 18.02.2023 22:00,Export,1660
18.02.2023 22:00 - 18.02.2023 23:00,Export,1990
18.02.2023 23:00 - 19.02.2023 00:00,Export,2315
