"Time (CET/CEST)","Export/Import (BZN|HU)","Net position [MW]"
"15.03.2023 00:00 - 15.03.2023 01:00","Import","1076"
"15.03.2023 01:00 - 15.03.2023 02:00","Import","678"
"15.03.2023 02:00 - 15.03.2023 03:00","Import","402"
"15.03.2023 03:00 - 15.03.2023 04:00","Import","288"
"15.03.2023 04:00 - 15.03.2023 05:00","Import","243"
"15.03.2023 05:00 - 15.03.2023 06:00","Import","13"
"15.03.2023 06:00 - 15.03.2023 07:00","Export","348"
"15.03.2023 07:00 - 15.03.2023 08:00","Export","232"
"15.03.2023 08:00 - 15.03.2023 09:00","Export","126"
"15.03.2023 09:00 - 15.03.2023 10:00","Export","158"
"15.03.2023 10:00 - 15.03.2023 11:00","Export","206"
"15.03.2023 11:00 - 15.03.2023 12:00","Export","356"
"15.03.2023 12:00 - 15.03.2023 13:00","Export","368"
"15.03.2023 13:00 - 15.03.2023 14:00","Export","417"
"15.03.2023 14:00 - 15.03.2023 15:00","Export","436"
"15.03.2023 15:00 - 15.03.2023 16:00","Export","311"
"15.03.2023 16:00 - 15.03.2023 17:00","Export","75"
"15.03.2023 17:00 - 15.03.2023 18:00","Import","168"
"15.03.2023 18:00 - 15.03.2023 19:00","Import","527"
"15.03.2023 19:00 - 15.03.2023 20:00","Import","531"
"15.03.2023 20:00 - 15.03.2023 21:00","Import","474"
"15.03.2023 21:00 - 15.03.2023 22:00","Import","391"
"15.03.2023 22:00 - 15.03.2023 23:00","Import","411"
"15.03.2023 23:00 - 16.03.2023 00:00","Import","355"
