"Time (CET/CEST)","Export/Import (BZN|HU)","Net position [MW]"
"20.05.2023 00:00 - 20.05.2023 01:00","Import","1277"
"20.05.2023 01:00 - 20.05.2023 02:00","Import","1044"
"20.05.2023 02:00 - 20.05.2023 03:00","Import","802"
"20.05.2023 03:00 - 20.05.2023 04:00","Import","694"
"20.05.2023 04:00 - 20.05.2023 05:00","Import","648"
"20.05.2023 05:00 - 20.05.2023 06:00","Import","647"
"20.05.2023 06:00 - 20.05.2023 07:00","Import","539"
"20.05.2023 07:00 - 20.05.2023 08:00","Import","311"
"20.05.2023 08:00 - 20.05.2023 09:00","Export","371"
"20.05.2023 09:00 - 20.05.2023 10:00","Export","926"
"20.05.2023 10:00 - 20.05.2023 11:00","Export","1419"
"20.05.2023 11:00 - 20.05.2023 12:00","Export","1691"
"20.05.2023 12:00 - 20.05.2023 13:00","Export","1781"
"20.05.2023 13:00 - 20.05.2023 14:00","Export","1269"
"20.05.2023 14:00 - 20.05.2023 15:00","Export","1059"
"20.05.2023 15:00 - 20.05.2023 16:00","Export","833"
"20.05.2023 16:00 - 20.05.2023 17:00","Export","495"
"20.05.2023 17:00 - 20.05.2023 18:00","Import","311"
"20.05.2023 18:00 - 20.05.2023 19:00","Import","1084"
"20.05.2023 19:00 - 20.05.2023 20:00","Import","1631"
"20.05.2023 20:00 - 20.05.2023 21:00","Import","1960"
"20.05.2023 21:00 - 20.05.2023 22:00","Import","1796"
"20.05.2023 22:00 - 20.05.2023 23:00","Import","1574"
"20.05.2023 23:00 - 21.05.2023 00:00","Import","1421"
