"Time (CET/CEST)","Export/Import (BZN|RO)","Net position [MW]"
"12.06.2023 00:00 - 12.06.2023 01:00","Export","972"
"12.06.2023 01:00 - 12.06.2023 02:00","Export","1131"
"12.06.2023 02:00 - 12.06.2023 03:00","Export","1299"
"12.06.2023 03:00 - 12.06.2023 04:00","Export","1390"
"12.06.2023 04:00 - 12.06.2023 05:00","Export","1412"
"12.06.2023 05:00 - 12.06.2023 06:00","Export","1222"
"12.06.2023 06:00 - 12.06.2023 07:00","Export","732"
"12.06.2023 07:00 - 12.06.2023 08:00","Export","584"
"12.06.2023 08:00 - 12.06.2023 09:00","Export","435"
"12.06.2023 09:00 - 12.06.2023 10:00","Export","296"
"12.06.2023 10:00 - 12.06.2023 11:00","Export","119"
"12.06.2023 11:00 - 12.06.2023 12:00","Export","110"
"12.06.2023 12:00 - 12.06.2023 13:00","Export","13"
"12.06.2023 13:00 - 12.06.2023 14:00","Export","106"
"12.06.2023 14:00 - 12.06.2023 15:00","Export","235"
"12.06.2023 15:00 - 12.06.2023 16:00","Export","245"
"12.06.2023 16:00 - 12.06.2023 17:00","Export","207"
"12.06.2023 17:00 - 12.06.2023 18:00","Export","45"
"12.06.2023 18:00 - 12.06.2023 19:00","Export","137"
"12.06.2023 19:00 - 12.06.2023 20:00","Import","32"
"12.06.2023 20:00 - 12.06.2023 21:00","Import","215"
"12.06.2023 21:00 - 12.06.2023 22:00","Export","60"
"12.06.2023 22:00 - 12.06.2023 23:00","Export","427"
"12.06.2023 23:00 - 13.06.2023 00:00","Export","490"
