"Time (CET/CEST)","Export/Import (BZN|CZ)","Net position [MW]"
"30.06.2023 00:00 - 30.06.2023 01:00","Export","2285"
"30.06.2023 01:00 - 30.06.2023 02:00","Export","1933"
"30.06.2023 02:00 - 30.06.2023 03:00","Export","2104"
"30.06.2023 03:00 - 30.06.2023 04:00","Export","2109"
"30.06.2023 04:00 - 30.06.2023 05:00","Export","2168"
"30.06.2023 05:00 - 30.06.2023 06:00","Export","2271"
"30.06.2023 06:00 - 30.06.2023 07:00","Export","2167"
"30.06.2023 07:00 - 30.06.2023 08:00","Export","1967"
"30.06.2023 08:00 - 30.06.2023 09:00","Export","1867"
"30.06.2023 09:00 - 30.06.2023 10:00","Export","1851"
"30.06.2023 10:00 - 30.06.2023 11:00","Export","1530"
"30.06.2023 11:00 - 30.06.2023 12:00","Export","1008"
"30.06.2023 12:00 - 30.06.2023 13:00","Export","790"
"30.06.2023 13:00 - 30.06.2023 14:00","Export","768"
"30.06.2023 14:00 - 30.06.2023 15:00","Export","270"
"30.06.2023 15:00 - 30.06.2023 16:00","Export","744"
"30.06.2023 16:00 - 30.06.2023 17:00","Export","1198"
"30.06.2023 17:00 - 30.06.2023 18:00","Export","1639"
"30.06.2023 18:00 - 30.06.2023 19:00","Export","2006"
"30.06.2023 19:00 - 30.06.2023 20:00","Export","2136"
"30.06.2023 20:00 - 30.06.2023 21:00","Export","2395"
"30.06.2023 21:00 - 30.06.2023 22:00","Export","2477"
"30.06.2023 22:00 - 30.06.2023 23:00","Export","2458"
"30.06.2023 23:00 - 01.07.2023 00:00","Export","2812"
