"Time (CET/CEST)","Export/Import (BZN|CZ)","Net position [MW]"
"11.01.2023 00:00 - 11.01.2023 01:00","Export","688"
"11.01.2023 01:00 - 11.01.2023 02:00","Export","411"
"11.01.2023 02:00 - 11.01.2023 03:00","Export","525"
"11.01.2023 03:00 - 11.01.2023 04:00","Export","583"
"11.01.2023 04:00 - 11.01.2023 05:00","Export","492"
"11.01.2023 05:00 - 11.01.2023 06:00","Export","511"
"11.01.2023 06:00 - 11.01.2023 07:00","Export","745"
"11.01.2023 07:00 - 11.01.2023 08:00","Export","471"
"11.01.2023 08:00 - 11.01.2023 09:00","Export","921"
"11.01.2023 09:00 - 11.01.2023 10:00","Export","999"
"11.01.2023 10:00 - 11.01.2023 11:00","Export","736"
"11.01.2023 11:00 - 11.01.2023 12:00","Export","603"
"11.01.2023 12:00 - 11.01.2023 13:00","Export","504"
"11.01.2023 13:00 - 11.01.2023 14:00","Export","270"
"11.01.2023 14:00 - 11.01.2023 15:00","Export","503"
"11.01.2023 15:00 - 11.01.2023 16:00","Export","506"
"11.01.2023 16:00 - 11.01.2023 17:00","Export","593"
"11.01.2023 17:00 - 11.01.2023 18:00","Export","609"
"11.01.2023 18:00 - 11.01.2023 19:00","Export","807"
"11.01.2023 19:00 - 11.01.2023 20:00","Export","915"
"11.01.2023 20:00 - 11.01.2023 21:00","Export","1088"
"11.01.2023 21:00 - 11.01.2023 22:00","Export","1302"
"11.01.2023 22:00 - 11.01.2023 23:00","Export","1599"
"11.01.2023 23:00 - 12.01.2023 00:00","Export","1600"
