"Time (CET/CEST)","Export/Import (BZN|PL)","Net position [MW]"
"11.01.2023 00:00 - 11.01.2023 01:00","Import","648"
"11.01.2023 01:00 - 11.01.2023 02:00","","0"
"11.01.2023 02:00 - 11.01.2023 03:00","","0"
"11.01.2023 03:00 - 11.01.2023 04:00","","0"
"11.01.2023 04:00 - 11.01.2023 05:00","","0"
"11.01.2023 05:00 - 11.01.2023 06:00","","0"
"11.01.2023 06:00 - 11.01.2023 07:00","Import","313"
"11.01.2023 07:00 - 11.01.2023 08:00","Import","243"
"11.01.2023 08:00 - 11.01.2023 09:00","Import","169"
"11.01.2023 09:00 - 11.01.2023 10:00","Import","68"
"11.01.2023 10:00 - 11.01.2023 11:00","Export","232"
"11.01.2023 11:00 - 11.01.2023 12:00","Import","98"
"11.01.2023 12:00 - 11.01.2023 13:00","Import","177"
"11.01.2023 13:00 - 11.01.2023 14:00","Import","318"
"11.01.2023 14:00 - 11.01.2023 15:00","Import","442"
"11.01.2023 15:00 - 11.01.2023 16:00","Import","531"
"11.01.2023 16:00 - 11.01.2023 17:00","Import","114"
"11.01.2023 17:00 - 11.01.2023 18:00","Import","229"
"11.01.2023 18:00 - 11.01.2023 19:00","Import","318"
"11.01.2023 19:00 - 11.01.2023 20:00","Import","131"
"11.01.2023 20:00 - 11.01.2023 21:00","Import","214"
"11.01.2023 21:00 - 11.01.2023 22:00","Import","512"
"11.01.2023 22:00 - 11.01.2023 23:00","Import","525"
"11.01.2023 23:00 - 12.01.2023 00:00","","0"
