"Time (CET/CEST)","Export/Import (BZN|SK)","Net position [MW]"
"11.01.2023 00:00 - 11.01.2023 01:00","Export","122"
"11.01.2023 01:00 - 11.01.2023 02:00","Export","220"
"11.01.2023 02:00 - 11.01.2023 03:00","Export","192"
"11.01.2023 03:00 - 11.01.2023 04:00","Export","196"
"11.01.2023 04:00 - 11.01.2023 05:00","Export","122"
"11.01.2023 05:00 - 11.01.2023 06:00","Export","54"
"11.01.2023 06:00 - 11.01.2023 07:00","Import","22"
"11.01.2023 07:00 - 11.01.2023 08:00","Export","15"
"11.01.2023 08:00 - 11.01.2023 09:00","Import","103"
"11.01.2023 09:00 - 11.01.2023 10:00","Export","133"
"11.01.2023 10:00 - 11.01.2023 11:00","Import","106"
"11.01.2023 11:00 - 11.01.2023 12:00","Import","131"
"11.01.2023 12:00 - 11.01.2023 13:00","Import","111"
"11.01.2023 13:00 - 11.01.2023 14:00","Import","57"
"11.01.2023 14:00 - 11.01.2023 15:00","Import","86"
"11.01.2023 15:00 - 11.01.2023 16:00","Import","88"
"11.01.2023 16:00 - 11.01.2023 17:00","Import","58"
"11.01.2023 17:00 - 11.01.2023 18:00","Export","175"
"11.01.2023 18:00 - 11.01.2023 19:00","Export","247"
"11.01.2023 19:00 - 11.01.2023 20:00","Export","82"
"11.01.2023 20:00 - 11.01.2023 21:00","Import","29"
"11.01.2023 21:00 - 11.01.2023 22:00","Export","108"
"11.01.2023 22:00 - 11.01.2023 23:00","Export","274"
"11.01.2023 23:00 - 12.01.2023 00:00","Export","290"
