"Time (CET/CEST)","Export/Import (BZN|HU)","Net position [MW]"
"18.02.2023 00:00 - 18.02.2023 01:00","Import","2860"
"18.02.2023 01:00 - 18.02.2023 02:00","Import","2589"
"18.02.2023 02:00 - 18.02.2023 03:00","Import","2293"
"18.02.2023 03:00 - 18.02.2023 04:00","Import","2209"
"18.02.2023 04:00 - 18.02.2023 05:00","Import","2236"
"18.02.2023 05:00 - 18.02.2023 06:00","Import","2222"
"18.02.2023 06:00 - 18.02.2023 07:00","Import","2180"
"18.02.2023 07:00 - 18.02.2023 08:00","Import","1876"
"18.02.2023 08:00 - 18.02.2023 09:00","Import","2048"
"18.02.2023 09:00 - 18.02.2023 10:00","Import","2086"
"18.02.2023 10:00 - 18.02.2023 11:00","Import","2264"
"18.02.2023 11:00 - 18.02.2023 12:00","Import","2157"
"18.02.2023 12:00 - 18.02.2023 13:00","Import","2161"
"18.02.2023 13:00 - 18.02.2023 14:00","Import","1956"
"18.02.2023 14:00 - 18.02.2023 15:00","Import","2000"
"18.02.2023 15:00 - 18.02.2023 16:00","Import","2170"
"18.02.2023 16:00 - 18.02.2023 17:00","Import","2294"
"18.02.2023 17:00 - 18.02.2023 18:00","Import","2512"
"18.02.2023 18:00 - 18.02.2023 19:00","Import","2545"
"18.02.2023 19:00 - 18.02.2023 20:00","Import","2504"
"18.02.2023 20:00 - 18.02.2023 21:00","Import","2364"
"18.02.2023 21:00 - 18.02.2023 22:00","Import","2792"
"18.02.2023 22:00 - 18.02.2023 23:00","Import","2690"
"18.02.2023 23:00 - 19.02.2023 00:00","Import","2521"
