Generator,GeneratorType,BusGenerator,MinRunCapacity,MaxRunCapacity,RampUp,RampDown,UT,DT,TransitionLevel,ProductionBand,ReservesOffline,NoLoadConsumption,StartupCost,FOR,FuelGenerator,FHGenerator,HRSGenerator,CO2Rate
Salzburg Mitte CHP Power Plant Austria,Fast,Aus_7,33.48,83.7,9.4,9.4,2,4,33.48,1,FALSE,81.189,2862.54,0.0799,Natural Gas,FH_Austria,CHP_NAT_GAS_14,0.1
Salzburg North CHP Power Plant Austria,Fast,Aus_7,5.4,13.5,1.5,1.5,2,4,5.4,1,FALSE,13.095,461.7,0.0799,Natural Gas,FH_Austria,CHP_NAT_GAS_14,0.1
Durnrohr_Evn,Slow,Aus_5,27,338,0.85,0.85,12,8,27,1,FALSE,65.475,2308.5,0.1012,Natural Gas,FH_Austria,CHP_NAT_GAS_14,0.1
Linzmitte_2,Fast,Aus_5,61.6,112,0.84,0.84,8,4,61.6,1,FALSE,108.2707,5266.8,0.0372,Natural Gas,FH_Austria,CHP_NAT_GAS_14,0.1
Linzmitte,Fast,Aus_5,33,100,0.5,0.5,8,4,33,1,FALSE,100.0011,2821.5,0.0372,Natural Gas,FH_Austria,CHP_NAT_GAS_14,0.1
Timelkam CCGT CHP Power Plant Austria,Fast,Aus_5,162.0,405,45.6,45.6,2,4,162,1,FALSE,392.85,13851,0.0799,Natural Gas,FH_Austria,CHP_NAT_GAS_14,0.1
Linzsud_1,Slow,Aus_4,38,112.6,0.563,0.563,8,8,38,0.1,FALSE,116.9293,3249,0.0685,Natural Gas,FH_Austria,CHP_NAT_GAS_14,0.1
Leopoldau CHP Power Plant Austria,Fast,Aus_4,62.0,155,17.5,17.5,2,4,62,1,FALSE,150.35,5301,0.0799,Natural Gas,FH_Austria,CHP_NAT_GAS_14,0.1
Heizkraftwerk,Slow,Aus_32,28,85,0.4,0.4,8,8,28,0.1,FALSE,60.9167,2394,0.0993,Natural Gas,FH_Austria,CHP_NAT_GAS_14,0.1
Simmering CCGT Power Plant Austria,Fast,Aus_32,280.0,700,78.75,78.75,2,4,280,1,FALSE,679,23940,0.0799,Natural Gas,FH_Austria,CHP_NAT_GAS_14,0.1
