GeneratorRE,BusGeneratorRE,DynamicProfileRE,ReferenceValueRE,FuelGeneratorRE
Rodund I Hydroelectric Power Plant Austria,Aus_1,Aus_Hydro_Water_Reservoir,198,Hydro
Luenersee Pumped Storage Power Plant Austria,Aus_1,Aus_Hydro_Pumped_Storage,260,Pumped
Rodund II Pumped Storage Power Plant Austria,Aus_1,Aus_Hydro_Pumped_Storage,295,Pumped
Latschau Hydroelectric Power Plant Austria,Aus_1,Aus_Hydro_Run-of-river,9,Hydro_RoR
Solar_Aus_1,Aus_1,Aus_Solar,15.9795399769425,Solar
Wind_Aus_1,Aus_1,Aus_Wind,18.7160934472399,Wind
Solar_Aus_10,Aus_10,Aus_Solar,55.5394686360236,Solar
Wind_Aus_10,Aus_10,Aus_Wind,175.090577170811,Wind
Solar_Aus_11,Aus_11,Aus_Solar,41.8952233088433,Solar
Wind_Aus_11,Aus_11,Aus_Wind,121.52374490307,Wind
Solar_Aus_12,Aus_12,Aus_Solar,30.1920688081806,Solar
Wind_Aus_12,Aus_12,Aus_Wind,68.5140176102702,Wind
Feldsee Pumped storage Power Plant Austria,Aus_13,Aus_Hydro_Pumped_Storage,140,Pumped
Kaprun Limberg II Pumped Storage Power Plant Austria,Aus_13,Aus_Hydro_Pumped_Storage,480,Pumped
Solar_Aus_13,Aus_13,Aus_Solar,57.196025563553,Solar
Wind_Aus_13,Aus_13,Aus_Wind,102.927599805125,Wind
Solar_Aus_14,Aus_14,Aus_Solar,18.1470384524182,Solar
Wind_Aus_14,Aus_14,Aus_Wind,23.4680985090461,Wind
Altenwoerth Hydroelectric Power Plant Austria,Aus_15,Aus_Hydro_Run-of-river,328,Hydro_RoR
Solar_Aus_15,Aus_15,Aus_Solar,18.5434669848704,Solar
Wind_Aus_15,Aus_15,Aus_Wind,82.6830773992727,Wind
Gerlos I-II Hydroelectric Power Plant Austria,Aus_16,Aus_Hydro_Water_Reservoir,200,Hydro
Mayrhofen Storage Power Plant Austria,Aus_16,Aus_Hydro_Water_Reservoir,345,Hydro
Haeusling Pumped Storage Power Plant Austria,Aus_16,Aus_Hydro_Pumped_Storage,360,Pumped
Funsingau Hydroelectric Power Plant Austria,Aus_16,Aus_Hydro_Run-of-river,25,Hydro_RoR
Solar_Aus_16,Aus_16,Aus_Solar,21.1023403323767,Solar
Wind_Aus_16,Aus_16,Aus_Wind,33.382963934697,Wind
Solar_Aus_17,Aus_17,Aus_Solar,26.808670621498,Solar
Wind_Aus_17,Aus_17,Aus_Wind,34.5713722444424,Wind
Solar_Aus_18,Aus_18,Aus_Solar,43.2301922644148,Solar
Wind_Aus_18,Aus_18,Aus_Wind,88.2809831260516,Wind
Rosshag Pumped Storage Power Plant Austria,Aus_19,Aus_Hydro_Pumped_Storage,231,Pumped
Boesdornau Hydroelectric Power Plant Austria,Aus_19,Aus_Hydro_Water_Reservoir,25.3,Hydro
Tuxbach Hydroelectric Power Plant Austria,Aus_19,Aus_Hydro_Run-of-river,1,Hydro_RoR
Solar_Aus_19,Aus_19,Aus_Solar,43.6160648721096,Solar
Wind_Aus_19,Aus_19,Aus_Wind,64.9157281599273,Wind
Solar_Aus_2,Aus_2,Aus_Solar,18.4710250820401,Solar
Wind_Aus_2,Aus_2,Aus_Wind,62.4622619687807,Wind
Walgau Hydroelectric Power Plant Austria,Aus_20,Aus_Hydro_Run-of-river,94,Hydro_RoR
Solar_Aus_20,Aus_20,Aus_Solar,6.26125943448083,Solar
Wind_Aus_20,Aus_20,Aus_Wind,8.13693173390556,Wind
Malta Oberstufe Pumped Storage Power Plant Austria,Aus_21,Aus_Hydro_Pumped_Storage,120,Pumped
Malta Haupstufe (Rottau)  Pumped Storage Power Plant Austria,Aus_21,Aus_Hydro_Pumped_Storage,730,Pumped
Kellersberg Hydroelectric Power Plant Austria,Aus_21,Aus_Hydro_Run-of-river,24.6,Hydro_RoR
Kolbnitz (Reisseck/Kreuzeck) Hydroelectric Power Plant Austria,Aus_21,Aus_Hydro_Water_Reservoir,138.1,Hydro
Paternion Hydroelectric Power Plant Austria,Aus_21,Aus_Hydro_Run-of-river,24,Hydro_RoR
Malta Unterstufe (Moellbruecke) Hydroelectric Power Plant Austria,Aus_21,Aus_Hydro_Pumped_Storage,41,Pumped
Solar_Aus_21,Aus_21,Aus_Solar,55.4583262586392,Solar
Wind_Aus_21,Aus_21,Aus_Wind,99.9274239240824,Wind
Lavamuend Hydroelectric Power Plant Austria,Aus_22,Aus_Hydro_Run-of-river,28,Hydro_RoR
Koralpe Pumped Storage Power Plant Austria,Aus_22,Aus_Hydro_Run-of-river,50,Hydro_RoR
Schwabeck Hydroelectric Power Plant Austria,Aus_22,Aus_Hydro_Run-of-river,79,Hydro_RoR
Solar_Aus_22,Aus_22,Aus_Solar,23.5434231092604,Solar
Wind_Aus_22,Aus_22,Aus_Wind,28.4137314103619,Wind
Solar_Aus_23,Aus_23,Aus_Solar,31.7343049790364,Solar
Wind_Aus_23,Aus_23,Aus_Wind,59.6797608516883,Wind
Melk Hydroelectric Power Plant Austria,Aus_24,Aus_Hydro_Run-of-river,187,Hydro_RoR
Solar_Aus_24,Aus_24,Aus_Solar,40.8244790070272,Solar
Wind_Aus_24,Aus_24,Aus_Wind,191.186826190016,Wind
Innerfragant Pumped Storage Power Plant Austria,Aus_25,Aus_Hydro_Run-of-river,108,Hydro_RoR
Solar_Aus_25,Aus_25,Aus_Solar,53.3472328589916,Solar
Wind_Aus_25,Aus_25,Aus_Wind,60.9239744868295,Wind
Edling Hydroelectric Power Plant Austria,Aus_26,Aus_Hydro_Run-of-river,87,Hydro_RoR
Annabruecke Hydroelectric Power Plant Austria,Aus_26,Aus_Hydro_Run-of-river,90,Hydro_RoR
Solar_Aus_26,Aus_26,Aus_Solar,15.2674194096908,Solar
Wind_Aus_26,Aus_26,Aus_Wind,22.1079443453502,Wind
Villach Hydroelectric Power Plant Austria,Aus_27,Aus_Hydro_Run-of-river,24.6,Hydro_RoR
Rosegg-St Jakob Hydroelectric Power Plant Austria,Aus_27,Aus_Hydro_Run-of-river,80,Hydro_RoR
Feistritz-Ludmannsdorf Hydroelectric Power Plant Austria,Aus_27,Aus_Hydro_Run-of-river,88,Hydro_RoR
Solar_Aus_27,Aus_27,Aus_Solar,28.3753938522708,Solar
Wind_Aus_27,Aus_27,Aus_Wind,43.9760456682807,Wind
Vermunt Hydroelectric Power Plant Austria,Aus_28,Aus_Hydro_Water_Reservoir,157,Hydro
Kops I Hydroelectric Power Plant Austria,Aus_28,Aus_Hydro_Water_Reservoir,247,Hydro
Kops II Pumped Storage Power Plant Austria,Aus_28,Aus_Hydro_Pumped_Storage,450,Pumped
Rifa Pumped Storage Power Plant Austria,Aus_28,Aus_Hydro_Run-of-river,7,Hydro_RoR
Obervermunt Hydroelectric Power Plant Austria,Aus_28,Aus_Hydro_Run-of-river,29,Hydro_RoR
Solar_Aus_28,Aus_28,Aus_Solar,19.3612749722424,Solar
Wind_Aus_28,Aus_28,Aus_Wind,26.6207504987842,Wind
Ferlach-Maria Rain Hydroelectric Power Plant Austria,Aus_29,Aus_Hydro_Run-of-river,75,Hydro_RoR
Solar_Aus_29,Aus_29,Aus_Solar,7.7095420767144,Solar
Wind_Aus_29,Aus_29,Aus_Wind,9.05121584025739,Wind
Solar_Aus_3,Aus_3,Aus_Solar,25.5255810301576,Solar
Wind_Aus_3,Aus_3,Aus_Wind,26.98861118815,Wind
Jochenstein Hydroelectric Power Plant Austria,Aus_30,Aus_Hydro_Run-of-river,132,Hydro_RoR
Solar_Aus_30,Aus_30,Aus_Solar,31.2968185073865,Solar
Wind_Aus_30,Aus_30,Aus_Wind,101.319873250439,Wind
Solar_Aus_31,Aus_31,Aus_Solar,29.6568568729563,Solar
Wind_Aus_31,Aus_31,Aus_Wind,181.786518428055,Wind
Freudenau Hydroelectric Power Plant Austria,Aus_32,Aus_Hydro_Run-of-river,172,Hydro_RoR
Solar_Aus_32,Aus_32,Aus_Solar,12.6536699017374,Solar
Wind_Aus_32,Aus_32,Aus_Wind,79.2601479983692,Wind
Abwinden-Asten Hydroelectric Power Plant Austria,Aus_33,Aus_Hydro_Run-of-river,168,Hydro_RoR
Wallsee- Mitterkirchen Hydroelectric Power Plant Austria,Aus_33,Aus_Hydro_Run-of-river,210,Hydro_RoR
Solar_Aus_33,Aus_33,Aus_Solar,20.3075179550863,Solar
Wind_Aus_33,Aus_33,Aus_Wind,75.2497150178931,Wind
Ottenheim-Wilhering Hydroelectric Power Plant Austria,Aus_34,Aus_Hydro_Run-of-river,179,Hydro_RoR
Aschach Hydroelectric Power Plant Austria,Aus_34,Aus_Hydro_Run-of-river,287,Hydro_RoR
Solar_Aus_34,Aus_34,Aus_Solar,14.7376731180744,Solar
Wind_Aus_34,Aus_34,Aus_Wind,61.4889340747388,Wind
Ybbs-Persenburg Hydroelectric Power Plant Austria,Aus_35,Aus_Hydro_Run-of-river,236.5,Hydro_RoR
Solar_Aus_35,Aus_35,Aus_Solar,34.1528965256623,Solar
Wind_Aus_35,Aus_35,Aus_Wind,125.55534418683,Wind
Solar_Aus_36,Aus_36,Aus_Solar,14.7950211776408,Solar
Wind_Aus_36,Aus_36,Aus_Wind,54.7722022474043,Wind
Greifenstein Hydroelectric Power Plant Austria,Aus_4,Aus_Hydro_Run-of-river,293,Hydro_RoR
Solar_Aus_4,Aus_4,Aus_Solar,19.6135582170426,Solar
Wind_Aus_4,Aus_4,Aus_Wind,103.538041001613,Wind
Solar_Aus_5,Aus_5,Aus_Solar,17.7761101533493,Solar
Wind_Aus_5,Aus_5,Aus_Wind,59.8910481513344,Wind
