Line,LineType,FromBus,ToBus,Reactance,FlowLimitForw,FlowLimitBack,FOR
Aus_1.To.Ger_222,AC,Aus_1,Ger_222,772218933177,1053,1053,0.003
Aus_1.To.Aus_28,AC,Aus_1,Aus_28,3475,1053,1053,0.003
Aus_2.To.Aus_30,AC,Aus_2,Aus_30,4117,1053,1053,0.003
Aus_2.To.Ger_106,AC,Aus_2,Ger_106,3237,1053,1053,0.003
Aus_2.To.Ger_141,AC,Aus_2,Ger_141,203,1053,1053,0.003
Aus_3.To.Aus_1,AC,Aus_3,Aus_1,1792,1053,1053,0.003
Aus_3.To.Aus_16,AC,Aus_3,Aus_16,6754,1053,1053,0.003
Aus_3.To.Aus_17,AC,Aus_3,Aus_17,3022,1053,1053,0.003
Aus_3.To.Aus_23,AC,Aus_3,Aus_23,1603,1053,1053,0.003
Aus_3.To.Swi_4,AC,Aus_3,Swi_4,1176,1053,1053,0.003
Aus_3.To.Ger_10,AC,Aus_3,Ger_10,1829,1053,1053,0.003
Aus_3.To.Ger_11,AC,Aus_3,Ger_11,1299,1053,1053,0.003
Aus_4.To.Aus_24,AC,Aus_4,Aus_24,5001,1053,1053,0.003
Aus_4.To.Aus_32,AC,Aus_4,Aus_32,1261,1053,1053,0.003
Aus_5.To.Aus_2,AC,Aus_5,Aus_2,2469,1053,1053,0.003
Aus_5.To.Aus_34,AC,Aus_5,Aus_34,2118,1053,1053,0.003
Aus_6.To.Aus_11,AC,Aus_6,Aus_11,7008,1053,1053,0.003
Aus_6.To.Aus_32,AC,Aus_6,Aus_32,3454,1053,1053,0.003
Aus_7.To.Aus_2,AC,Aus_7,Aus_2,1925,1053,1053,0.003
Aus_9.To.Aus_8,AC,Aus_9,Aus_8,2018,1053,1053,0.003
Aus_9.To.Aus_11,AC,Aus_9,Aus_11,4024,1053,1053,0.003
Aus_10.To.Aus_32,AC,Aus_10,Aus_32,1795,1053,1053,0.003
Aus_12.To.Aus_11,AC,Aus_12,Aus_11,1782,1053,1053,0.003
Aus_12.To.Aus_22,AC,Aus_12,Aus_22,4007,1053,1053,0.003
Aus_13.To.Aus_7,AC,Aus_13,Aus_7,5314,1053,1053,0.003
Aus_13.To.Aus_9,AC,Aus_13,Aus_9,8739,1053,1053,0.003
Aus_13.To.Aus_25,AC,Aus_13,Aus_25,1601,1053,1053,0.003
Aus_14.To.Aus_16,AC,Aus_14,Aus_16,1721,1053,1053,0.003
Aus_14.To.Aus_17,AC,Aus_14,Aus_17,1405,1053,1053,0.003
Aus_15.To.Aus_4,AC,Aus_15,Aus_4,2017,1053,1053,0.003
Aus_16.To.Aus_13,AC,Aus_16,Aus_13,1596,1053,1053,0.003
Aus_18.To.Aus_10,AC,Aus_18,Aus_10,126,1053,1053,0.003
Aus_18.To.Aus_26,AC,Aus_18,Aus_26,1897,1053,1053,0.003
Aus_18.To.Slv_1,AC,Aus_18,Slv_1,1049,1053,1053,0.003
Aus_19.To.Aus_16,AC,Aus_19,Aus_16,1338,1053,1053,0.003
Aus_20.To.Aus_1,AC,Aus_20,Aus_1,508,1053,1053,0.003
Aus_20.To.Swi_46,AC,Aus_20,Swi_46,327,1053,1053,0.003
Aus_25.To.Aus_21,AC,Aus_25,Aus_21,4621,1053,1053,0.003
Aus_25.To.Aus_27,AC,Aus_25,Aus_27,8239,1053,1053,0.003
Aus_25.To.Ita_36,AC,Aus_25,Ita_36,11983,1053,1053,0.003
Aus_26.To.Aus_22,AC,Aus_26,Aus_22,199,1053,1053,0.003
Aus_26.To.Aus_29,AC,Aus_26,Aus_29,215,1053,1053,0.003
Aus_27.To.Aus_29,AC,Aus_27,Aus_29,1817,1053,1053,0.003
Aus_31.To.Hun_6,AC,Aus_31,Hun_6,587,1053,1053,0.003
Aus_32.To.Aus_31,AC,Aus_32,Aus_31,2746,1053,1053,0.003
Aus_32.To.Hun_6,AC,Aus_32,Hun_6,2705,1053,1053,0.003
Aus_35.To.Aus_4,AC,Aus_35,Aus_4,8666,1053,1053,0.003
Aus_35.To.Aus_33,AC,Aus_35,Aus_33,2438,1053,1053,0.003
Aus_36.To.Aus_2,AC,Aus_36,Aus_2,2484,1053,1053,0.003
Aus_36.To.Aus_5,AC,Aus_36,Aus_5,2973,1053,1053,0.003
Aus_36.To.Aus_8,AC,Aus_36,Aus_8,2557,1053,1053,0.003
Aus_36.To.Aus_24,AC,Aus_36,Aus_24,2812,1053,1053,0.003
Aus_36.To.Aus_33,AC,Aus_36,Aus_33,1477,1053,1053,0.003
Bel_1.To.Bel_13,AC,Bel_1,Bel_13,747,1945,1945,0.003
Bel_2.To.Bel_1,AC,Bel_2,Bel_1,1076,1945,1945,0.003
Bel_2.To.Fra_43,AC,Bel_2,Fra_43,1751,1945,1945,0.003
Bel_3.To.Bel_17,AC,Bel_3,Bel_17,885,1945,1945,0.003
Bel_3.To.Fra_8,AC,Bel_3,Fra_8,5988,1945,1945,0.003
Bel_3.To.Lux_3,AC,Bel_3,Lux_3,179,1945,1945,0.003
Bel_4.To.Bel_6,AC,Bel_4,Bel_6,162,1945,1945,0.003
Bel_4.To.Bel_20,AC,Bel_4,Bel_20,1562,1945,1945,0.003
Bel_5.To.Fra_43,AC,Bel_5,Fra_43,2699,1945,1945,0.003
Bel_6.To.Bel_1,AC,Bel_6,Bel_1,3974,1945,1945,0.003
Bel_6.To.Net_5,AC,Bel_6,Net_5,3743,1945,1945,0.003
Bel_8.To.Bel_11,AC,Bel_8,Bel_11,713,1945,1945,0.003
Bel_8.To.Bel_16,AC,Bel_8,Bel_16,655,1945,1945,0.003
Bel_9.To.Bel_12,AC,Bel_9,Bel_12,3154,1945,1945,0.003
Bel_10.To.Bel_18,AC,Bel_10,Bel_18,998,1945,1945,0.003
Bel_10.To.Fra_284,AC,Bel_10,Fra_284,1865,1945,1945,0.003
Bel_14.To.Bel_11,AC,Bel_14,Bel_11,738,1945,1945,0.003
Bel_14.To.Bel_13,AC,Bel_14,Bel_13,581,1945,1945,0.003
Bel_15.To.Bel_1,AC,Bel_15,Bel_1,2322,1945,1945,0.003
Bel_15.To.Bel_17,AC,Bel_15,Bel_17,793,1945,1945,0.003
Bel_16.To.Bel_7,AC,Bel_16,Bel_7,52,1945,1945,0.003
Bel_16.To.Bel_21,AC,Bel_16,Bel_21,837,1945,1945,0.003
Bel_17.To.Bel_12,AC,Bel_17,Bel_12,2688,1945,1945,0.003
Bel_18.To.Bel_21,AC,Bel_18,Bel_21,666,1945,1945,0.003
Bel_19.To.Bel_16,AC,Bel_19,Bel_16,434,1945,1945,0.003
Bel_19.To.Bel_20,AC,Bel_19,Bel_20,1083,1945,1945,0.003
Bel_22.To.Bel_9,AC,Bel_22,Bel_9,1731,1945,1945,0.003
Bel_23.To.Bel_16,AC,Bel_23,Bel_16,753,1945,1945,0.003
