Unnamed: 0,id,dateTimeUtc,tso,cneName,cneEic,direction,hubFrom,hubTo,substationFrom,substationTo,elementType,fmaxType,contTso,contName,contingencies,presolved,ram,minRamFactor,minRamTarget,justification,imax,u,fmax,frm,frefInit,fnrao,fref,fcore,fall,fuaf,amr,ltaMargin,cva,iva,ftotalLtn,fltn,ptdf_Swi,ptdf_ALDE,ptdf_Aus,ptdf_Bel,ptdf_Cze,ptdf_Ger,ptdf_Fra,ptdf_Cro,ptdf_Hun,ptdf_Net,ptdf_Pol,ptdf_Rom,ptdf_Slv,ptdf_Slk,ptdf_Dnk,ptdf_Lux
0,211917316,2023-03-15T00:00:00Z,APG,Ernsthofen 2 - Hausruck 203C ,14T-220-0-0203CD,DIRECT,Aus,Aus,Ernsthofen 2 ,Hausruck,Line,SEASONAL,APG,Kronstorf - St. Peter 1 431,"[{'number': 1, 'branchName': 'Kronstorf - St. Peter 1 431', 'branchEic': '14T-380-0-00431P', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Kronstorf', 'substationTo': 'St. Peter 1', 'elementType': 'Line'}]",True,219.0,31.9,0.321,,1077.0,220.0,420.0,30.0,120.0,4.0,116.0,172.0,173.0,-1.0,0.0,0.0,0.0,0.0,171.0,-1.0,0.00225,-0.05326,-0.03095,-0.05259,-0.01955,-0.05256,-0.05141,-5e-05,0.00225,-0.05263,-0.02641,3e-05,-0.00197,-0.00341,-0.05263,0.00225
1,211917600,2023-03-15T00:00:00Z,APG,Wien Suedost - Gyoer 245 ,10T-AT-HU-00002U,DIRECT,Aus,Hun,Wien Suedost,Gyoer 245,TieLine,SEASONAL,MAVIR,Gyor - Neusiedl Neusiedl - Gyoer 246B,"[{'number': 1, 'branchName': 'Gyor - Neusiedl', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Neusiedl', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Neusiedl - Gyoer 246B', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Neusiedl', 'substationTo': 'Gyoer 246B', 'elementType': 'TieLine'}]",True,170.0,24.6,0.203,,600.0,220.0,234.0,23.0,51.0,1.0,50.0,38.0,27.0,10.0,0.0,0.0,0.0,0.0,41.0,3.0,-0.01895,0.02866,0.03795,0.02869,0.02902,0.02864,0.02877,0.01186,-0.01895,0.02853,0.01858,-0.00111,0.02139,0.00833,0.02853,-0.01895
2,211917601,2023-03-15T00:00:00Z,APG,Wien Suedost - Gyoer 245 ,10T-AT-HU-00002U,OPPOSITE,Aus,Hun,Wien Suedost,Gyoer 245,TieLine,SEASONAL,MAVIR,Gyor - Neusiedl Neusiedl - Gyoer 246B,"[{'number': 1, 'branchName': 'Gyor - Neusiedl', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Neusiedl', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Neusiedl - Gyoer 246B', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Neusiedl', 'substationTo': 'Gyoer 246B', 'elementType': 'TieLine'}]",True,252.0,24.6,0.289,,600.0,220.0,234.0,23.0,-51.0,-1.0,-50.0,-38.0,-27.0,-10.0,0.0,0.0,0.0,0.0,-41.0,-3.0,0.01895,-0.02866,-0.03795,-0.02869,-0.02902,-0.02864,-0.02877,-0.01186,0.01895,-0.02853,-0.01858,0.00111,-0.02139,-0.00833,-0.02853,0.01895
3,211917612,2023-03-15T00:00:00Z,APG,Neusiedl - Gyoer 246B ,10T-AT-HU-00001W,DIRECT,Aus,Hun,Neusiedl,Gyoer 246B,TieLine,SEASONAL,MAVIR,Gyor - Wien Wien Suedost - Gyoer 245,"[{'number': 1, 'branchName': 'Gyor - Wien', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Wien', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Wien Suedost - Gyoer 245', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Wien Suedost', 'substationTo': 'Gyoer 245', 'elementType': 'TieLine'}]",True,157.0,24.9,0.2,,600.0,220.0,234.0,23.0,57.0,1.0,56.0,51.0,37.0,14.0,0.0,0.0,0.0,0.0,54.0,3.0,-0.01931,0.02844,0.04135,0.0285,0.02853,0.02841,0.02862,0.01242,-0.01931,0.02831,0.01824,-0.00116,0.02234,0.00793,0.02831,-0.01931
4,211917613,2023-03-15T00:00:00Z,APG,Neusiedl - Gyoer 246B ,10T-AT-HU-00001W,OPPOSITE,Aus,Hun,Neusiedl,Gyoer 246B,TieLine,SEASONAL,MAVIR,Gyor - Wien Wien Suedost - Gyoer 245,"[{'number': 1, 'branchName': 'Gyor - Wien', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Wien', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Wien Suedost - Gyoer 245', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Wien Suedost', 'substationTo': 'Gyoer 245', 'elementType': 'TieLine'}]",True,265.0,24.9,0.309,,600.0,220.0,234.0,23.0,-57.0,-1.0,-56.0,-51.0,-37.0,-14.0,0.0,0.0,0.0,0.0,-54.0,-3.0,0.01931,-0.02844,-0.04135,-0.0285,-0.02853,-0.02841,-0.02862,-0.01242,0.01931,-0.02831,-0.01824,0.00116,-0.02234,-0.00793,-0.02831,0.01931
5,211917628,2023-03-15T00:00:00Z,APG,Obersielach - Podlog 247 ,10T-AT-SI-00003P,DIRECT,Aus,Slv,Obersielach,Podlog,TieLine,SEASONAL,ELES,400 kV Cirkovce - Podlog,"[{'number': 1, 'branchName': '400 kV Cirkovce - Podlog', 'branchEic': '28T000000000301K', 'hubFrom': 'SI', 'hubTo': 'SI', 'substationFrom': 'Cirkovce', 'substationTo': 'Podlog', 'elementType': 'Line'}]",True,401.0,27.8,0.2,,1230.0,220.0,479.0,37.0,50.0,-1.0,51.0,49.0,-29.0,78.0,0.0,0.0,0.0,0.0,41.0,-8.0,0.01514,0.03292,0.06684,0.03216,0.03411,0.034,0.03052,-0.03368,0.01514,0.03274,0.02859,0.00301,-0.06475,0.02464,0.03274,0.01514
6,211917629,2023-03-15T00:00:00Z,APG,Obersielach - Podlog 247 ,10T-AT-SI-00003P,OPPOSITE,Aus,Slv,Obersielach,Podlog,TieLine,SEASONAL,ELES,400 kV Cirkovce - Podlog,"[{'number': 1, 'branchName': '400 kV Cirkovce - Podlog', 'branchEic': '28T000000000301K', 'hubFrom': 'SI', 'hubTo': 'SI', 'substationFrom': 'Cirkovce', 'substationTo': 'Podlog', 'elementType': 'Line'}]",True,483.0,27.8,0.441,,1230.0,220.0,479.0,37.0,-50.0,1.0,-51.0,-49.0,29.0,-78.0,0.0,0.0,0.0,0.0,-41.0,8.0,-0.01514,-0.03292,-0.06684,-0.03216,-0.03411,-0.034,-0.03052,0.03368,-0.01514,-0.03274,-0.02859,-0.00301,0.06475,-0.02464,-0.03274,-0.01514
7,211917687,2023-03-15T00:00:00Z,APG,Pleinting - St. Peter 258 ,10T-AT-DE-000037,DIRECT,Ger,Aus,Pleinting,St. Peter,TieLine,SEASONAL,TENNETGMBH,Pirach - Pleinting 257,"[{'number': 1, 'branchName': 'Pirach - Pleinting 257', 'branchEic': '11TD2L000000201H', 'hubFrom': 'DE', 'hubTo': 'DE', 'substationFrom': 'Pirach', 'substationTo': 'Pleinting', 'elementType': 'Line'}]",True,700.0,23.6,0.33,,1780.0,220.0,694.0,52.0,131.0,4.0,127.0,-59.0,6.0,-65.0,0.0,0.0,0.0,0.0,-58.0,1.0,-0.00291,0.07686,-0.01495,0.07604,0.03081,0.07623,0.07435,-0.00037,-0.00291,0.07603,0.03894,0.0,0.00204,0.00502,0.07603,-0.00291
8,211917715,2023-03-15T00:00:00Z,APG,Rosegg - Villach Sued 267B ,14T-220-0-0267BG,DIRECT,Aus,Aus,Rosegg,Villach,Line,SEASONAL,APG,Feistritz - Villach 266C,"[{'number': 1, 'branchName': 'Feistritz - Villach 266C', 'branchEic': '14T-220-0-0266CH', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Feistritz ', 'substationTo': 'Villach', 'elementType': 'Line'}]",True,553.0,28.8,0.33,,2000.0,220.0,779.0,76.0,222.0,-3.0,225.0,149.0,182.0,-33.0,0.0,0.0,0.0,0.0,150.0,1.0,-0.0014,-0.05185,-0.10014,-0.05304,-0.02447,-0.05218,-0.05517,0.00693,-0.0014,-0.05129,-0.02698,-0.00055,0.00965,-0.00985,-0.05129,-0.0014
9,211917736,2023-03-15T00:00:00Z,APG,Strass - Zell 273A ,14T-220-0-0273AQ,OPPOSITE,Aus,Aus,Strass ,Zell,Line,SEASONAL,APG,Strass - Zell 274A,"[{'number': 1, 'branchName': 'Strass - Zell 274A', 'branchEic': '14T-220-0-0274AN', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Strass ', 'substationTo': 'Zell', 'elementType': 'Line'}]",True,306.0,30.9,0.2,,1706.0,220.0,665.0,60.0,105.0,3.0,102.0,299.0,211.0,89.0,0.0,0.0,0.0,0.0,299.0,0.0,0.00012,-0.04216,0.05913,-0.043,-0.01423,-0.04515,-0.04414,0.00273,0.00012,-0.04144,-0.01934,-0.00022,0.0034,-0.00473,-0.04144,0.00012
10,211917747,2023-03-15T00:00:00Z,APG,Strass - Thaur 273B ,14T-220-0-0273BO,DIRECT,Aus,Aus,Strass,Thaur,Line,SEASONAL,APG,Strass - Thaur 274B,"[{'number': 1, 'branchName': 'Strass - Thaur 274B', 'branchEic': '14T-220-0-0274BL', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Strass', 'substationTo': 'Thaur', 'elementType': 'Line'}]",True,296.0,25.9,0.2,,1398.0,220.0,545.0,39.0,23.0,2.0,21.0,210.0,121.0,89.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0001,-0.03649,0.06165,-0.03722,-0.01232,-0.03911,-0.0382,0.00237,0.0001,-0.03586,-0.01675,-0.00019,0.00295,-0.0041,-0.03586,0.0001
11,211917754,2023-03-15T00:00:00Z,APG,Vill_Thaur - Silz 273C ,10T1001C--000332,OPPOSITE,Aus,Ger,Vill_Thaur ,Silz,TieLine,SEASONAL,APG,Vill_Thaur - Silz 274C Vill_Thaur - Silz 274C Vill_Thaur - Silz 274C Vill_Thaur - Silz 274C,"[{'number': 1, 'branchName': 'Vill_Thaur - Silz 274C', 'branchEic': '10T1001C--000324', 'hubFrom': 'AT', 'hubTo': 'DE', 'substationFrom': 'Vill_Thaur ', 'substationTo': 'Silz', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'NA', 'branchEic': '10T1001C--000324', 'hubFrom': 'NA', 'hubTo': 'NA', 'substationFrom': 'NA', 'substationTo': 'NA', 'elementType': None}, {'number': 3, 'branchName': 'NA', 'branchEic': '10T1001C--000324', 'hubFrom': 'NA', 'hubTo': 'NA', 'substationFrom': 'NA', 'substationTo': 'NA', 'elementType': None}, {'number': 4, 'branchName': 'NA', 'branchEic': '10T1001C--000324', 'hubFrom': 'NA', 'hubTo': 'NA', 'substationFrom': 'NA', 'substationTo': 'NA', 'elementType': None}]",True,691.0,34.5,0.51,,1572.0,220.0,613.0,60.0,70.0,-2.0,72.0,-138.0,-37.0,-101.0,0.0,0.0,0.0,0.0,-138.0,0.0,-9e-05,0.03661,-0.07248,0.03731,0.01244,0.03954,0.03825,-0.0024,-9e-05,0.03598,0.01686,0.00019,-0.00301,0.00414,0.03598,-9e-05
12,211917908,2023-03-15T00:00:00Z,APG,Westtirol 2 - Voehringen 411 ,10T1001C--00037V,OPPOSITE,Aus,Ger,Westtirol 2 ,Voehringen,TieLine,SEASONAL,APG,Westtirol 1 - Westtirol 2 WTRHU41,"[{'number': 1, 'branchName': 'Westtirol 1 - Westtirol 2 WTRHU41', 'branchEic': '14T-38220-WT041O', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Westtirol 1 ', 'substationTo': 'Westtirol 2 ', 'elementType': 'Transformer'}]",True,349.0,32.7,0.533,,1282.0,220.0,500.0,68.0,150.0,-1.0,151.0,83.0,186.0,-103.0,0.0,0.0,0.0,0.0,83.0,0.0,-0.00011,0.0295,-0.04819,0.02929,0.00826,0.0175,0.02877,-0.00167,-0.00011,0.02858,0.01255,0.00013,-0.00208,0.00286,0.02858,-0.00011
