Unnamed: 0,id,dateTimeUtc,tso,cneName,cneEic,direction,hubFrom,hubTo,substationFrom,substationTo,elementType,fmaxType,contTso,contName,contingencies,presolved,ram,minRamFactor,minRamTarget,justification,imax,u,fmax,frm,frefInit,fnrao,fref,fcore,fall,fuaf,amr,ltaMargin,cva,iva,ftotalLtn,fltn,ptdf_Swi,ptdf_ALDE,ptdf_Aus,ptdf_Bel,ptdf_Cze,ptdf_Ger,ptdf_Fra,ptdf_Cro,ptdf_Hun,ptdf_Net,ptdf_Pol,ptdf_Rom,ptdf_Slv,ptdf_Slk,ptdf_Dnk,ptdf_Lux
0,269833901,2023-06-30T00:00:00Z,APG,Hausruck - Sattledt 204B ,14T-220-0-0204BC,DIRECT,Aus,Aus,Hausruck ,Sattledt,Line,SEASONAL,APG,Ernsthofen 2 - Hausruck 203C,"[{'number': 1, 'branchName': 'Ernsthofen 2 - Hausruck 203C', 'branchEic': '14T-220-0-0203CD', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Ernsthofen 2 ', 'substationTo': 'Hausruck', 'elementType': 'Line'}]",True,241.0,28.7,0.206,LFcalc = -8.5% ; LFaccept = 6.1%,1077.0,220.0,420.0,30.0,72.0,0.0,72.0,149.0,114.0,34.0,0.0,0.0,0.0,0.0,149.0,0.0,-0.00222,0.03897,0.09505,0.03847,0.01357,0.03859,0.03749,-0.00043,-0.00222,0.03844,0.01489,-4e-05,0.00079,0.00231,0.03844,-0.00222
1,269833921,2023-06-30T00:00:00Z,APG,Ernsthofen 2 - Sattledt 204C ,14T-220-0-0204CA,DIRECT,Aus,Aus,Ernsthofen 2 ,Sattledt,Line,SEASONAL,APG,Ernsthofen 2 - Hausruck 203C,"[{'number': 1, 'branchName': 'Ernsthofen 2 - Hausruck 203C', 'branchEic': '14T-220-0-0203CD', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Ernsthofen 2 ', 'substationTo': 'Hausruck', 'elementType': 'Line'}]",True,537.0,28.7,0.368,,1077.0,220.0,420.0,30.0,-69.0,0.0,-69.0,-147.0,-113.0,-34.0,0.0,0.0,0.0,0.0,-147.0,0.0,0.00222,-0.03897,-0.09655,-0.03847,-0.01357,-0.03859,-0.03749,0.00043,0.00222,-0.03844,-0.01489,4e-05,-0.00079,-0.00231,-0.03844,0.00222
2,269833922,2023-06-30T00:00:00Z,APG,Ernsthofen 2 - Sattledt 204C ,14T-220-0-0204CA,OPPOSITE,Aus,Aus,Ernsthofen 2 ,Sattledt,Line,SEASONAL,APG,Ernsthofen 2 - Hausruck 203C,"[{'number': 1, 'branchName': 'Ernsthofen 2 - Hausruck 203C', 'branchEic': '14T-220-0-0203CD', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Ernsthofen 2 ', 'substationTo': 'Hausruck', 'elementType': 'Line'}]",True,243.0,28.7,0.206,,1077.0,220.0,420.0,30.0,69.0,0.0,69.0,147.0,113.0,34.0,0.0,0.0,0.0,0.0,147.0,0.0,-0.00222,0.03897,0.09655,0.03847,0.01357,0.03859,0.03749,-0.00043,-0.00222,0.03844,0.01489,-4e-05,0.00079,0.00231,0.03844,-0.00222
3,269833978,2023-06-30T00:00:00Z,APG,Hessenberg - Weissenbach 223 ,14T-221-0-00223Q,OPPOSITE,Aus,Aus,Hessenberg ,Weissenbach,Line,SEASONAL,APG,Hessenberg - Weissenbach 224,"[{'number': 1, 'branchName': 'Hessenberg - Weissenbach 224', 'branchEic': '14T-220-0-00224Y', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Hessenberg ', 'substationTo': 'Weissenbach', 'elementType': 'Line'}]",True,244.0,27.3,0.224,LFcalc = 5% ; LFaccept = 6.3%,1002.0,220.0,390.0,30.0,96.0,0.0,96.0,117.0,98.0,19.0,0.0,0.0,0.0,0.0,116.0,-1.0,0.00051,0.03615,0.0408,0.03609,0.0222,0.03662,0.03592,-0.00661,0.00051,0.03578,0.01825,0.00053,-0.01099,0.00924,0.03578,0.00051
4,269834126,2023-06-30T00:00:00Z,APG,Hausruck - St. Peter 2 204A ,14T-220-0-0204AE,OPPOSITE,Aus,Aus,Hausruck ,St. Peter,Line,SEASONAL,APG,Aschach - Hausruck 203B,"[{'number': 1, 'branchName': 'Aschach - Hausruck 203B', 'branchEic': '14T-220-0-0203BF', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Aschach ', 'substationTo': 'Hausruck', 'elementType': 'Line'}]",True,429.0,31.8,0.284,LFcalc = -6.7% ; LFaccept = 5.8%,1200.0,220.0,468.0,30.0,38.0,0.0,38.0,9.0,-7.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0,-0.00197,0.03447,-0.0592,0.03403,0.012,0.03413,0.03316,-0.00038,-0.00197,0.034,0.01317,-3e-05,0.0007,0.00204,0.034,-0.00197
5,269834127,2023-06-30T00:00:00Z,APG,Hausruck - St. Peter 2 204A ,14T-220-0-0204AE,DIRECT,Aus,Aus,Hausruck ,St. Peter,Line,SEASONAL,APG,Aschach - St. Peter 2 203A,"[{'number': 1, 'branchName': 'Aschach - St. Peter 2 203A', 'branchEic': '14T-220-0-0203AH', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Aschach ', 'substationTo': 'St. Peter', 'elementType': 'Line'}]",True,382.0,30.9,0.343,LFcalc = 6.7% ; LFaccept = 5.8%,1200.0,220.0,468.0,30.0,26.0,-1.0,27.0,56.0,72.0,-16.0,0.0,0.0,0.0,0.0,56.0,0.0,0.00197,-0.03447,0.0592,-0.03403,-0.012,-0.03413,-0.03316,0.00038,0.00197,-0.034,-0.01317,3e-05,-0.0007,-0.00204,-0.034,0.00197
6,269834171,2023-06-30T00:00:00Z,APG,Wien Suedost - Gyoer 245 ,10T-AT-HU-00002U,DIRECT,Aus,Hun,Wien Suedost,Gyoer 245,TieLine,SEASONAL,APG,Neusiedl - Wien Suedost 246A,"[{'number': 1, 'branchName': 'Neusiedl - Wien Suedost 246A', 'branchEic': '14T-220-0-0246AT', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Neusiedl ', 'substationTo': 'Wien Suedost', 'elementType': 'Line'}]",True,171.0,24.6,0.2,,600.0,220.0,234.0,23.0,57.0,0.0,57.0,37.0,19.0,18.0,0.0,0.0,0.0,0.0,40.0,3.0,-0.02165,0.02604,0.03061,0.02606,0.02623,0.02607,0.02613,0.00909,-0.02165,0.02593,0.01502,-0.00114,0.01932,0.0084,0.02593,-0.02165
7,269834173,2023-06-30T00:00:00Z,APG,Wien Suedost - Gyoer 245 ,10T-AT-HU-00002U,DIRECT,Aus,Hun,Wien Suedost,Gyoer 245,TieLine,SEASONAL,MAVIR,Gyor - Neusiedl Neusiedl - Gyoer 246B,"[{'number': 1, 'branchName': 'Gyor - Neusiedl', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Neusiedl', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Neusiedl - Gyoer 246B', 'branchEic': '10T-AT-HU-00001W', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Neusiedl', 'substationTo': 'Gyoer 246B', 'elementType': 'TieLine'}]",True,179.0,24.6,0.2,,600.0,220.0,234.0,23.0,47.0,0.0,47.0,29.0,10.0,19.0,0.0,0.0,0.0,0.0,32.0,3.0,-0.02341,0.02738,0.03678,0.02743,0.02724,0.02738,0.02757,0.01024,-0.02341,0.02726,0.01552,-0.00127,0.02168,0.00845,0.02726,-0.02341
8,269834185,2023-06-30T00:00:00Z,APG,Neusiedl - Gyoer 246B ,10T-AT-HU-00001W,DIRECT,Aus,Hun,Neusiedl,Gyoer 246B,TieLine,SEASONAL,MAVIR,Gyor - Wien Wien Suedost - Gyoer 245,"[{'number': 1, 'branchName': 'Gyor - Wien', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Wien', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Wien Suedost - Gyoer 245', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Wien Suedost', 'substationTo': 'Gyoer 245', 'elementType': 'TieLine'}]",True,188.0,24.9,0.2,,600.0,220.0,234.0,23.0,36.0,0.0,36.0,20.0,2.0,18.0,0.0,0.0,0.0,0.0,23.0,3.0,-0.02382,0.02725,0.04041,0.02732,0.02684,0.02723,0.02751,0.01076,-0.02382,0.02712,0.01522,-0.00132,0.0227,0.00809,0.02712,-0.02382
9,269834186,2023-06-30T00:00:00Z,APG,Neusiedl - Gyoer 246B ,10T-AT-HU-00001W,OPPOSITE,Aus,Hun,Neusiedl,Gyoer 246B,TieLine,SEASONAL,MAVIR,Gyor - Wien Wien Suedost - Gyoer 245,"[{'number': 1, 'branchName': 'Gyor - Wien', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'HU', 'hubTo': 'AT', 'substationFrom': 'Gyor', 'substationTo': 'Wien', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Wien Suedost - Gyoer 245', 'branchEic': '10T-AT-HU-00002U', 'hubFrom': 'AT', 'hubTo': 'HU', 'substationFrom': 'Wien Suedost', 'substationTo': 'Gyoer 245', 'elementType': 'TieLine'}]",True,234.0,24.9,0.326,,600.0,220.0,234.0,23.0,-36.0,0.0,-36.0,-20.0,-2.0,-18.0,0.0,0.0,0.0,0.0,-23.0,-3.0,0.02382,-0.02725,-0.04041,-0.02732,-0.02684,-0.02723,-0.02751,-0.01076,0.02382,-0.02712,-0.01522,0.00132,-0.0227,-0.00809,-0.02712,0.02382
