"Time (CET/CEST)","Export/Import (BZN|CZ)","Net position [MW]"
"20.05.2023 00:00 - 20.05.2023 01:00","Import","77"
"20.05.2023 01:00 - 20.05.2023 02:00","Import","58"
"20.05.2023 02:00 - 20.05.2023 03:00","Import","80"
"20.05.2023 03:00 - 20.05.2023 04:00","Import","146"
"20.05.2023 04:00 - 20.05.2023 05:00","Import","147"
"20.05.2023 05:00 - 20.05.2023 06:00","Import","33"
"20.05.2023 06:00 - 20.05.2023 07:00","Import","134"
"20.05.2023 07:00 - 20.05.2023 08:00","Import","226"
"20.05.2023 08:00 - 20.05.2023 09:00","Import","202"
"20.05.2023 09:00 - 20.05.2023 10:00","Import","132"
"20.05.2023 10:00 - 20.05.2023 11:00","Import","140"
"20.05.2023 11:00 - 20.05.2023 12:00","Import","1148"
"20.05.2023 12:00 - 20.05.2023 13:00","Import","972"
"20.05.2023 13:00 - 20.05.2023 14:00","Import","927"
"20.05.2023 14:00 - 20.05.2023 15:00","Import","858"
"20.05.2023 15:00 - 20.05.2023 16:00","Import","975"
"20.05.2023 16:00 - 20.05.2023 17:00","Import","770"
"20.05.2023 17:00 - 20.05.2023 18:00","Import","25"
"20.05.2023 18:00 - 20.05.2023 19:00","Import","100"
"20.05.2023 19:00 - 20.05.2023 20:00","Import","371"
"20.05.2023 20:00 - 20.05.2023 21:00","Export","6"
"20.05.2023 21:00 - 20.05.2023 22:00","Import","244"
"20.05.2023 22:00 - 20.05.2023 23:00","Import","168"
"20.05.2023 23:00 - 21.05.2023 00:00","Export","64"
