"Time (CET/CEST)","Export/Import (BZN|SK)","Net position [MW]"
"12.06.2023 00:00 - 12.06.2023 01:00","Export","726"
"12.06.2023 01:00 - 12.06.2023 02:00","Export","787"
"12.06.2023 02:00 - 12.06.2023 03:00","Export","729"
"12.06.2023 03:00 - 12.06.2023 04:00","Export","826"
"12.06.2023 04:00 - 12.06.2023 05:00","Export","879"
"12.06.2023 05:00 - 12.06.2023 06:00","Export","1153"
"12.06.2023 06:00 - 12.06.2023 07:00","Export","797"
"12.06.2023 07:00 - 12.06.2023 08:00","Export","611"
"12.06.2023 08:00 - 12.06.2023 09:00","Export","598"
"12.06.2023 09:00 - 12.06.2023 10:00","Export","517"
"12.06.2023 10:00 - 12.06.2023 11:00","Export","512"
"12.06.2023 11:00 - 12.06.2023 12:00","Export","202"
"12.06.2023 12:00 - 12.06.2023 13:00","Import","74"
"12.06.2023 13:00 - 12.06.2023 14:00","Import","144"
"12.06.2023 14:00 - 12.06.2023 15:00","Import","122"
"12.06.2023 15:00 - 12.06.2023 16:00","Import","85"
"12.06.2023 16:00 - 12.06.2023 17:00","Export","119"
"12.06.2023 17:00 - 12.06.2023 18:00","Export","461"
"12.06.2023 18:00 - 12.06.2023 19:00","Export","604"
"12.06.2023 19:00 - 12.06.2023 20:00","Export","803"
"12.06.2023 20:00 - 12.06.2023 21:00","Export","792"
"12.06.2023 21:00 - 12.06.2023 22:00","Export","807"
"12.06.2023 22:00 - 12.06.2023 23:00","Export","827"
"12.06.2023 23:00 - 13.06.2023 00:00","Export","923"
