"Time (CET/CEST)","Export/Import (BZN|HR)","Net position [MW]"
"30.06.2023 00:00 - 30.06.2023 01:00","Export","144"
"30.06.2023 01:00 - 30.06.2023 02:00","Export","145"
"30.06.2023 02:00 - 30.06.2023 03:00","Export","32"
"30.06.2023 03:00 - 30.06.2023 04:00","Export","72"
"30.06.2023 04:00 - 30.06.2023 05:00","Export","117"
"30.06.2023 05:00 - 30.06.2023 06:00","Export","246"
"30.06.2023 06:00 - 30.06.2023 07:00","Export","503"
"30.06.2023 07:00 - 30.06.2023 08:00","Export","510"
"30.06.2023 08:00 - 30.06.2023 09:00","Export","499"
"30.06.2023 09:00 - 30.06.2023 10:00","Export","296"
"30.06.2023 10:00 - 30.06.2023 11:00","Export","70"
"30.06.2023 11:00 - 30.06.2023 12:00","Import","121"
"30.06.2023 12:00 - 30.06.2023 13:00","Import","336"
"30.06.2023 13:00 - 30.06.2023 14:00","Import","308"
"30.06.2023 14:00 - 30.06.2023 15:00","Import","475"
"30.06.2023 15:00 - 30.06.2023 16:00","Import","370"
"30.06.2023 16:00 - 30.06.2023 17:00","Import","338"
"30.06.2023 17:00 - 30.06.2023 18:00","Import","271"
"30.06.2023 18:00 - 30.06.2023 19:00","Import","112"
"30.06.2023 19:00 - 30.06.2023 20:00","Import","11"
"30.06.2023 20:00 - 30.06.2023 21:00","Import","158"
"30.06.2023 21:00 - 30.06.2023 22:00","Import","290"
"30.06.2023 22:00 - 30.06.2023 23:00","Import","143"
"30.06.2023 23:00 - 01.07.2023 00:00","Import","87"
