"Time (CET/CEST)","Export/Import (BZN|HU)","Net position [MW]"
"30.06.2023 00:00 - 30.06.2023 01:00","Import","997"
"30.06.2023 01:00 - 30.06.2023 02:00","Import","740"
"30.06.2023 02:00 - 30.06.2023 03:00","Import","526"
"30.06.2023 03:00 - 30.06.2023 04:00","Import","428"
"30.06.2023 04:00 - 30.06.2023 05:00","Import","464"
"30.06.2023 05:00 - 30.06.2023 06:00","Import","529"
"30.06.2023 06:00 - 30.06.2023 07:00","Import","695"
"30.06.2023 07:00 - 30.06.2023 08:00","Import","303"
"30.06.2023 08:00 - 30.06.2023 09:00","Export","407"
"30.06.2023 09:00 - 30.06.2023 10:00","Export","1081"
"30.06.2023 10:00 - 30.06.2023 11:00","Export","1453"
"30.06.2023 11:00 - 30.06.2023 12:00","Export","1580"
"30.06.2023 12:00 - 30.06.2023 13:00","Export","1574"
"30.06.2023 13:00 - 30.06.2023 14:00","Export","1477"
"30.06.2023 14:00 - 30.06.2023 15:00","Export","1063"
"30.06.2023 15:00 - 30.06.2023 16:00","Export","555"
"30.06.2023 16:00 - 30.06.2023 17:00","Export","115"
"30.06.2023 17:00 - 30.06.2023 18:00","Import","316"
"30.06.2023 18:00 - 30.06.2023 19:00","Import","809"
"30.06.2023 19:00 - 30.06.2023 20:00","Import","1341"
"30.06.2023 20:00 - 30.06.2023 21:00","Import","1455"
"30.06.2023 21:00 - 30.06.2023 22:00","Import","1536"
"30.06.2023 22:00 - 30.06.2023 23:00","Import","1305"
"30.06.2023 23:00 - 01.07.2023 00:00","Import","1183"
