"Time (CET/CEST)","Export/Import (BZN|HU)","Net position [MW]"
"11.01.2023 00:00 - 11.01.2023 01:00","Import","1978"
"11.01.2023 01:00 - 11.01.2023 02:00","Import","2081"
"11.01.2023 02:00 - 11.01.2023 03:00","Import","1996"
"11.01.2023 03:00 - 11.01.2023 04:00","Import","2301"
"11.01.2023 04:00 - 11.01.2023 05:00","Import","2081"
"11.01.2023 05:00 - 11.01.2023 06:00","Import","1847"
"11.01.2023 06:00 - 11.01.2023 07:00","Import","1944"
"11.01.2023 07:00 - 11.01.2023 08:00","Import","1959"
"11.01.2023 08:00 - 11.01.2023 09:00","Import","2009"
"11.01.2023 09:00 - 11.01.2023 10:00","Import","1648"
"11.01.2023 10:00 - 11.01.2023 11:00","Import","1176"
"11.01.2023 11:00 - 11.01.2023 12:00","Import","1331"
"11.01.2023 12:00 - 11.01.2023 13:00","Import","1303"
"11.01.2023 13:00 - 11.01.2023 14:00","Import","1461"
"11.01.2023 14:00 - 11.01.2023 15:00","Import","1586"
"11.01.2023 15:00 - 11.01.2023 16:00","Import","2125"
"11.01.2023 16:00 - 11.01.2023 17:00","Import","2405"
"11.01.2023 17:00 - 11.01.2023 18:00","Import","2375"
"11.01.2023 18:00 - 11.01.2023 19:00","Import","2475"
"11.01.2023 19:00 - 11.01.2023 20:00","Import","2547"
"11.01.2023 20:00 - 11.01.2023 21:00","Import","2441"
"11.01.2023 21:00 - 11.01.2023 22:00","Import","2549"
"11.01.2023 22:00 - 11.01.2023 23:00","Import","2893"
"11.01.2023 23:00 - 12.01.2023 00:00","Import","2519"
