"Time (CET/CEST)","Export/Import (BZN|SI)","Net position [MW]"
"11.01.2023 00:00 - 11.01.2023 01:00","Import","332"
"11.01.2023 01:00 - 11.01.2023 02:00","Import","286"
"11.01.2023 02:00 - 11.01.2023 03:00","Import","276"
"11.01.2023 03:00 - 11.01.2023 04:00","Import","332"
"11.01.2023 04:00 - 11.01.2023 05:00","Import","314"
"11.01.2023 05:00 - 11.01.2023 06:00","Import","439"
"11.01.2023 06:00 - 11.01.2023 07:00","Import","491"
"11.01.2023 07:00 - 11.01.2023 08:00","Import","199"
"11.01.2023 08:00 - 11.01.2023 09:00","Import","118"
"11.01.2023 09:00 - 11.01.2023 10:00","Import","178"
"11.01.2023 10:00 - 11.01.2023 11:00","Import","416"
"11.01.2023 11:00 - 11.01.2023 12:00","Import","449"
"11.01.2023 12:00 - 11.01.2023 13:00","Import","458"
"11.01.2023 13:00 - 11.01.2023 14:00","Import","442"
"11.01.2023 14:00 - 11.01.2023 15:00","Import","431"
"11.01.2023 15:00 - 11.01.2023 16:00","Import","160"
"11.01.2023 16:00 - 11.01.2023 17:00","Import","6"
"11.01.2023 17:00 - 11.01.2023 18:00","Export","100"
"11.01.2023 18:00 - 11.01.2023 19:00","Import","192"
"11.01.2023 19:00 - 11.01.2023 20:00","Import","184"
"11.01.2023 20:00 - 11.01.2023 21:00","Import","383"
"11.01.2023 21:00 - 11.01.2023 22:00","Import","418"
"11.01.2023 22:00 - 11.01.2023 23:00","Import","386"
"11.01.2023 23:00 - 12.01.2023 00:00","Import","302"
